samples_per_anchor_source,method,model_seed_count,do_mae_mean,do_mae_seed_sd,do_rmse_mean,do_rmse_seed_sd,signed_error_mean,signed_error_seed_sd,underestimation_fraction_mean,underestimation_fraction_seed_sd,regret_mean_mean,regret_mean_seed_sd,regret_median_mean,regret_median_seed_sd,regret_p90_mean,regret_p90_seed_sd,regret_cvar90_mean,regret_cvar90_seed_sd
16,action_level_min,3,2.870274293024725,0.13366195539221656,4.129698723167801,0.28954525578008666,-1.161471835438219,0.16619270876532544,0.5756029684601113,0.05324263202167025,0.7587967805527223,0.07373809902558996,0.5640030675373092,0.0999177997431611,1.5525779737147019,0.3015538958232782,2.7391801839012735,0.19768304591483668
16,pooled_balanced,3,3.8005182136360323,0.6309397932864228,5.19400367065973,0.3480799728415425,1.3879406577062496,0.49542245749395464,0.3110698824984539,0.04617377417511811,0.7830317003744992,0.1597633857920032,0.5257150125709321,0.08728431545304846,1.8686528333396974,0.31390463992559453,3.235139471582805,1.1747494937333194
16,source_1,3,3.7603120309346374,0.17324082149977124,4.904146269809634,0.1089603040726126,2.250717302600274,1.018190518129726,0.229282622139765,0.06956761469378238,0.893295926702771,0.19099869541521147,0.6009873102237672,0.021955419099001294,1.9596628818131447,0.523011518785966,3.528657347254981,1.2632349936760385
16,source_2,3,3.93390325439403,0.8278654310511387,5.299071448185541,1.2141905102995816,1.95692915797943,1.6607310230003016,0.319882498453927,0.14491471558704888,0.7807254459468251,0.07450690092986366,0.5718944717577396,0.09400784999096987,1.523228608326791,0.12667713154779475,2.6944840884171914,0.368706850664273
16,source_3,3,3.827454767709156,0.5607698694260316,4.688260805847896,0.7664388723284637,2.341244973793621,1.2667768476345547,0.23144712430426717,0.11771119775804231,0.7817521608247442,0.15600494130079323,0.5942056160608805,0.14144679798760312,1.66472201040178,0.3246908346975454,2.695361090055466,0.7474529039201315
16,state_level_min,3,2.884023226773696,0.16672964216788652,4.138766578280729,0.3254647946501015,-1.0329970398749726,0.23284228060297865,0.5553494124922697,0.06223745516590788,0.7478890421101418,0.08287323995679345,0.606187858859793,0.08663712791246081,1.656576514725627,0.33074306909184215,2.483594290934233,0.40233297263559414
32,action_level_min,3,2.3723345837920093,0.2065314214295149,3.296683870756212,0.28100893585332726,0.4625574668832311,0.6177839213073562,0.3611626468769326,0.07147423626042965,0.8083792774678411,0.09280229289978151,0.5133811153639461,0.08828830375451882,1.6904379466010189,0.3089939958244697,3.3335750277946112,0.2035525853862966
32,pooled_balanced,3,3.183286428507023,0.29322647051621303,4.07284849964753,0.24838779316701223,2.614057464155917,0.06460356406162727,0.15367965367965367,0.03405960514639471,0.8394076641344199,0.142053055485421,0.46466749146545777,0.08437487268659258,1.8810352572741855,0.42440251642673404,3.6897744228636764,0.6132002958049516
32,source_1,3,3.6527237006764017,0.1791351679340342,4.725891496689971,0.4540402207372534,2.5066776852823263,0.6678170025131324,0.17980828695114406,0.05776460516275864,0.8915648364144252,0.03511817117704523,0.5334973516895047,0.08915005265882496,1.8904487652042128,0.28793071141602533,3.7515471555628004,0.06435553065669415
32,source_2,3,3.2492788843279747,0.5564079224560279,4.119977738676636,0.5949038334165523,2.618487576806389,0.7519742702599155,0.18413729128014844,0.08723181577081576,0.8648345816068153,0.15661381323045204,0.6140881675246609,0.0427955828160171,1.9628566086964614,0.5570645221498817,3.2938852957543774,0.9140005053466368
32,source_3,3,3.6573962876033295,0.6479197845237155,4.609647113909807,0.7788989674097447,2.9548853308205607,0.8130937833486455,0.15058750773036486,0.0685724760111366,0.7711406218825814,0.09128350513077907,0.42819242526614215,0.12135008430514041,1.5952939594511213,0.14672301620039754,3.4955351845240457,0.17318254589332918
32,state_level_min,3,2.4923018012941416,0.20665252035628992,3.41805775580271,0.22961724693379543,0.779156405550796,0.813054240247726,0.3217377860235003,0.09958066279283957,0.808369368429577,0.10918403467391627,0.5219502458023916,0.09952841648448853,1.7897793575837702,0.4198528090806955,3.23352614512093,0.5269253126735886
64,action_level_min,3,1.926756305340402,0.028239409906028495,2.5951823862117354,0.03435435191592215,0.6554685910792081,0.1931587211556693,0.3106060606060606,0.018344923000861102,0.7486063563090717,0.04504182339883093,0.4933653492431442,0.06723433123715089,1.600852577848918,0.0851137683187307,2.691691701838368,0.2083991542194779
64,pooled_balanced,3,2.7464534675984384,0.14304303533456336,3.4375941083840176,0.1329232325612801,2.2464476508456275,0.25399597881079333,0.14100185528756956,0.01991195541156371,0.6898977644533147,0.045541254703213206,0.4517520776470481,0.05873818805408126,1.6065505715732575,0.1367782132873864,2.3723795928934237,0.2175699495671824
64,source_1,3,2.908004027093945,0.14840348804182246,3.7642857601339923,0.3819915024530596,2.240826700782044,0.2967315211449406,0.16094619666048238,0.002582451003167904,0.6850061752818056,0.06056933547887846,0.48921660773187153,0.026592285145595425,1.5353749964828853,0.06711800683371567,2.2739905670402827,0.39080763542171415
64,source_2,3,3.077153605148791,0.32524972186011203,3.9632897233024433,0.3581553941596708,2.605604316519416,0.4402571770768128,0.12507730364873224,0.018037444414845186,0.6845777128091806,0.11032729298733723,0.5033093838985868,0.08901705888658887,1.5055098954559571,0.1379777204974337,2.179687796365485,0.467424254807461
64,source_3,3,3.0683174197455716,0.18016481017380923,4.134532519080438,0.24605673772323133,2.5630161925770305,0.2711743138429681,0.13976499690785404,0.03364654076582146,0.7049025727713406,0.012296480772620131,0.414165597130913,0.03244487963375265,1.661006071842311,0.08155795554066383,2.802168226912869,0.26408156886494316
64,state_level_min,3,2.0464077300941317,0.03865045495965906,2.699904317416401,0.015649089579342586,0.8684345334123506,0.2022751482621132,0.27952999381570814,0.017663841446613593,0.7233156428743825,0.06012210448781876,0.5247022182407667,0.04054519799984351,1.645533282496439,0.13802699964309265,2.4245235086991017,0.25750296255896904
128,action_level_min,3,1.6824328543405374,0.04121835844891535,2.2451972167342955,0.07628866873295619,0.6834486192251674,0.07800555772270557,0.2898886827458256,0.018720256095186037,0.5661327617942313,0.06169458776432221,0.4053753706430901,0.1590309069224507,1.2616019821941566,0.10080614712240017,1.822736745007732,0.13049272637035736
128,pooled_balanced,3,2.396976376002867,0.027352261104880857,2.932653423117012,0.01952202776803697,2.111403222345601,0.18364822026892733,0.10142238713667284,0.021175556398745455,0.6027115948396846,0.01809604947666818,0.402801883262228,0.028005807472911686,1.4096023536480444,0.06819962308566577,2.0609915799828173,0.30153228253082803
128,source_1,3,2.6870881730395504,0.3606497068452705,3.550786055238934,0.6068973276129517,2.134466528674168,0.4523275175408258,0.15661719233147806,0.0071001623396444325,0.5480676411523318,0.06986168063789742,0.36780754146853195,0.08562735757251738,1.159835496243015,0.11132632095199572,2.0558192089024074,0.39967918849666023
128,source_2,3,2.405493774575053,0.12044762911940286,2.994434834983801,0.1406536768548276,2.0031131987103903,0.045587782804587626,0.12322201607915895,0.0107516008971637,0.49710348875613475,0.057543834816136244,0.35690675506767394,0.025073654679169558,1.0777948909561326,0.11607588011955922,1.6330117997190985,0.2714800524159461
128,source_3,3,2.5166906194518597,0.10913192052906771,3.305201818518445,0.2828551149899734,2.1094767126475666,0.1710963678610929,0.1349721706864564,0.019629038932744734,0.5458767835849944,0.054111272679594535,0.3324999255708671,0.04515949635821025,1.098340814402752,0.028092873857198896,2.230030976592262,0.3741773318504262
128,state_level_min,3,1.8145182407940126,0.04363270373117696,2.3706947066175084,0.07100092535253819,0.9259337722493005,0.12000187511686537,0.2515460729746444,0.025780042482491893,0.5268188597868463,0.017648723673639864,0.35636770619826547,0.09502037485093391,1.1781372878731269,0.11543165914038199,1.8104506056021148,0.30564520843204307
