condition,seed,data_label,samples_per_anchor_source,gradient_updates,model,step,train_loss,train_behavior_loss,train_state_loss,train_reward_loss,validation_loss,behavior_nll,delta_mse,reward_mse,total
confounded,0,n16,16,500,source_1,1,3.454866975545883,2.175410270690918,0.39008888602256775,0.8893678188323975,3.9433021545410156,2.1491858959198,0.43363359570503235,1.3604826927185059,3.9433021545410156
confounded,0,n16,16,500,source_1,10,3.6028735041618347,2.1597084999084473,0.45039719343185425,0.9927678108215332,3.8324246406555176,2.1472833156585693,0.42827287316322327,1.2568682432174683,3.8324246406555176
confounded,0,n16,16,500,source_1,20,3.378777176141739,2.143890380859375,0.4274638593196869,0.807422935962677,3.708946704864502,2.1446163654327393,0.4225570559501648,1.1417732238769531,3.708946704864502
confounded,0,n16,16,500,source_1,30,3.2839998304843903,2.15256929397583,0.3803437650203705,0.7510867714881897,3.5670437812805176,2.1405205726623535,0.41704195737838745,1.0094813108444214,3.5670437812805176
confounded,0,n16,16,500,source_1,40,3.146789848804474,2.1265552043914795,0.3533973693847656,0.6668372750282288,3.391629934310913,2.1331088542938232,0.4116767346858978,0.846844494342804,3.391629934310913
confounded,0,n16,16,500,source_1,50,3.0027507543563843,2.091667652130127,0.3519408702850342,0.5591422319412231,3.1794943809509277,2.1187989711761475,0.406438946723938,0.6542562246322632,3.1794943809509277
confounded,0,n16,16,500,source_1,60,2.815829247236252,2.0981149673461914,0.3490690588951111,0.36864522099494934,2.9507641792297363,2.091893196105957,0.4013243019580841,0.45754677057266235,2.9507641792297363
confounded,0,n16,16,500,source_1,70,2.607861712574959,2.026390552520752,0.363224595785141,0.21824656426906586,2.72304630279541,2.0459365844726562,0.39608895778656006,0.28102052211761475,2.72304630279541
confounded,0,n16,16,500,source_1,80,2.4203171879053116,1.9503891468048096,0.33813589811325073,0.13179214298725128,2.530268907546997,1.97688627243042,0.3908005356788635,0.16258209943771362,2.530268907546997
confounded,0,n16,16,500,source_1,90,2.220213405787945,1.8329710960388184,0.32014191150665283,0.0671003982424736,2.375882625579834,1.8906441926956177,0.38558515906333923,0.09965330362319946,2.375882625579834
confounded,0,n16,16,500,source_1,100,2.15555003285408,1.761610984802246,0.3484172821044922,0.04552176594734192,2.2637996673583984,1.8131762742996216,0.3804987668991089,0.07012450695037842,2.2637996673583984
confounded,0,n16,16,500,source_1,110,2.0534496903419495,1.7151191234588623,0.3054010570049286,0.03292950987815857,2.222682476043701,1.7914797067642212,0.37536102533340454,0.055841729044914246,2.222682476043701
confounded,0,n16,16,500,source_1,120,2.0414331816136837,1.7020353078842163,0.31326884031295776,0.02612903341650963,2.167675495147705,1.7515097856521606,0.3703255355358124,0.045840226113796234,2.167675495147705
confounded,0,n16,16,500,source_1,130,2.002298377454281,1.639980435371399,0.34417709708213806,0.018140845000743866,2.1102020740509033,1.7066205739974976,0.365288108587265,0.03829340636730194,2.1102020740509033
confounded,0,n16,16,500,source_1,140,1.887023246847093,1.5859779119491577,0.28591033816337585,0.015134996734559536,2.0670347213745117,1.6726810932159424,0.3602403700351715,0.034113164991140366,2.0670347213745117
confounded,0,n16,16,500,source_1,150,1.8944034166634083,1.5644515752792358,0.3168228566646576,0.013128984719514847,2.0348060131073,1.6497724056243896,0.35516056418418884,0.02987307496368885,2.0348060131073
confounded,0,n16,16,500,source_1,160,1.86955535877496,1.5618834495544434,0.2971896529197693,0.010482256300747395,1.997541069984436,1.6212637424468994,0.35018500685691833,0.026092277839779854,1.997541069984436
confounded,0,n16,16,500,source_1,170,1.7422040803357959,1.4311957359313965,0.30191922187805176,0.009089122526347637,1.9805327653884888,1.6112757921218872,0.34532052278518677,0.023936394602060318,1.9805327653884888
confounded,0,n16,16,500,source_1,180,1.9627267876639962,1.6373939514160156,0.3165372908115387,0.008795545436441898,1.9507642984390259,1.587484359741211,0.3403995633125305,0.022880395874381065,1.9507642984390259
confounded,0,n16,16,500,source_1,190,1.8304765848442912,1.5386030673980713,0.2849122881889343,0.006961229257285595,1.9316904544830322,1.5749036073684692,0.3353126049041748,0.021474270150065422,1.9316904544830322
confounded,0,n16,16,500,source_1,200,1.8209159635007381,1.5243897438049316,0.2910272181034088,0.00549900159239769,1.9239444732666016,1.5732392072677612,0.3304387927055359,0.02026650309562683,1.9239444732666016
confounded,0,n16,16,500,source_1,210,1.806230440735817,1.5289230346679688,0.2707562744617462,0.00655113160610199,1.9150729179382324,1.57095468044281,0.32555899024009705,0.018559254705905914,1.9150729179382324
confounded,0,n16,16,500,source_1,220,1.9279579878784716,1.6296160221099854,0.2931562066078186,0.005185759160667658,1.9124975204467773,1.5736206769943237,0.3208075761795044,0.018069230020046234,1.9124975204467773
confounded,0,n16,16,500,source_1,230,1.823575702495873,1.5518627166748047,0.26667699217796326,0.00503599364310503,1.9033666849136353,1.5701686143875122,0.31624114513397217,0.016956958919763565,1.9033666849136353
confounded,0,n16,16,500,source_1,240,1.687625138554722,1.420278549194336,0.2631487250328064,0.004197864327579737,1.8889737129211426,1.5607067346572876,0.31154683232307434,0.016720153391361237,1.8889737129211426
confounded,0,n16,16,500,source_1,250,1.7615414899773896,1.507028341293335,0.2500612139701843,0.004451934713870287,1.8782947063446045,1.5558024644851685,0.3069050908088684,0.015587136149406433,1.8782947063446045
confounded,0,n16,16,500,source_1,260,1.6444394900463521,1.3888463973999023,0.2517569959163666,0.003836096730083227,1.8731822967529297,1.5551872253417969,0.30233344435691833,0.015661541372537613,1.8731822967529297
confounded,0,n16,16,500,source_1,270,1.768735263030976,1.5352227687835693,0.2293102741241455,0.004202220123261213,1.8662762641906738,1.5532612800598145,0.2979036867618561,0.015111271291971207,1.8662762641906738
confounded,0,n16,16,500,source_1,280,1.7212528456002474,1.4882322549819946,0.22938594222068787,0.003634648397564888,1.8567662239074707,1.548441767692566,0.2935355305671692,0.014788849279284477,1.8567662239074707
confounded,0,n16,16,500,source_1,290,1.7198145962320268,1.503995656967163,0.2119201421737671,0.0038987970910966396,1.8527253866195679,1.549175500869751,0.2893601357936859,0.014189686626195908,1.8527253866195679
confounded,0,n16,16,500,source_1,300,1.7323274579830468,1.5051617622375488,0.223613440990448,0.003552254755049944,1.847905158996582,1.548335313796997,0.28544098138809204,0.01412888988852501,1.847905158996582
confounded,0,n16,16,500,source_1,310,1.8445576925296336,1.5991485118865967,0.2422325611114502,0.0031766195315867662,1.8437385559082031,1.5486252307891846,0.28155088424682617,0.013562429696321487,1.8437385559082031
confounded,0,n16,16,500,source_1,320,1.6696938362438232,1.4509732723236084,0.21552352607250214,0.003197037847712636,1.835096001625061,1.5440700054168701,0.2776492238044739,0.013376851566135883,1.835096001625061
confounded,0,n16,16,500,source_1,330,1.6910221639554948,1.4756487607955933,0.21251526474952698,0.002858138410374522,1.829558253288269,1.542994499206543,0.27371302247047424,0.012850776314735413,1.829558253288269
confounded,0,n16,16,500,source_1,340,1.7154911148827523,1.497131109237671,0.21537324786186218,0.0029867577832192183,1.8226834535598755,1.5404878854751587,0.2699635922908783,0.012231915257871151,1.8226834535598755
confounded,0,n16,16,500,source_1,350,1.6703444388695061,1.4601688385009766,0.2075885832309723,0.002587017137557268,1.8153691291809082,1.5368610620498657,0.26601937413215637,0.01248866505920887,1.8153691291809082
confounded,0,n16,16,500,source_1,360,1.7634773147292435,1.5551211833953857,0.2056654691696167,0.0026906621642410755,1.8090407848358154,1.5344783067703247,0.2623140513896942,0.012248341925442219,1.8090407848358154
confounded,0,n16,16,500,source_1,370,1.7044333168305457,1.4927927255630493,0.2088748663663864,0.002765724901109934,1.8019435405731201,1.5313355922698975,0.25891774892807007,0.011690185405313969,1.8019435405731201
confounded,0,n16,16,500,source_1,380,1.673762952676043,1.4551975727081299,0.21620330214500427,0.002362077822908759,1.8060342073440552,1.5385081768035889,0.25567924976348877,0.011846785433590412,1.8060342073440552
confounded,0,n16,16,500,source_1,390,1.6514171212911606,1.4572818279266357,0.19168506562709808,0.002450227737426758,1.797506332397461,1.533770203590393,0.2526191174983978,0.011116950772702694,1.797506332397461
confounded,0,n16,16,500,source_1,400,1.5842719262000173,1.3930659294128418,0.18871597945690155,0.002490017330273986,1.7934739589691162,1.532606601715088,0.24964174628257751,0.01122553925961256,1.7934739589691162
confounded,0,n16,16,500,source_1,410,1.6195077891461551,1.4187586307525635,0.1984168291091919,0.002332329284399748,1.7885465621948242,1.5309735536575317,0.24646702408790588,0.011105980724096298,1.7885465621948242
confounded,0,n16,16,500,source_1,420,1.6851405496709049,1.4989631175994873,0.18395018577575684,0.002227246295660734,1.787456750869751,1.533403754234314,0.24337168037891388,0.01068128366023302,1.787456750869751
confounded,0,n16,16,500,source_1,430,1.6373736097011715,1.4625766277313232,0.17258259654045105,0.0022143854293972254,1.7855780124664307,1.534617304801941,0.2404756247997284,0.01048501580953598,1.7855780124664307
confounded,0,n16,16,500,source_1,440,1.593526108074002,1.413403034210205,0.1784941852092743,0.0016288886545225978,1.7851414680480957,1.5368130207061768,0.23792918026447296,0.010399258695542812,1.7851414680480957
confounded,0,n16,16,500,source_1,450,1.6365346731618047,1.4639787673950195,0.17078807950019836,0.0017678262665867805,1.7834663391113281,1.5380288362503052,0.23542025685310364,0.010017311200499535,1.7834663391113281
confounded,0,n16,16,500,source_1,460,1.5917702191509306,1.4233585596084595,0.16642123460769653,0.0019904249347746372,1.7762023210525513,1.533203125,0.23303952813148499,0.009959651157259941,1.7762023210525513
confounded,0,n16,16,500,source_1,470,1.6297512764576823,1.4578478336334229,0.17015103995800018,0.0017524028662592173,1.7678881883621216,1.527462124824524,0.23048406839370728,0.009941882453858852,1.7678881883621216
confounded,0,n16,16,500,source_1,480,1.551847281632945,1.3820710182189941,0.16811709105968475,0.0016591723542660475,1.7629847526550293,1.525124192237854,0.22791555523872375,0.009945071302354336,1.7629847526550293
confounded,0,n16,16,500,source_1,490,1.5742604330880567,1.4159666299819946,0.15644648671150208,0.001847316394560039,1.7690623998641968,1.533794641494751,0.22566941380500793,0.009598423726856709,1.7690623998641968
confounded,0,n16,16,500,source_1,500,1.633860332192853,1.4641656875610352,0.16800950467586517,0.0016851399559527636,1.767513632774353,1.5344852209091187,0.22348140180110931,0.00954696536064148,1.767513632774353
confounded,0,n16,16,500,source_2,1,3.7975465655326843,2.168177604675293,0.3994371294975281,1.2299318313598633,3.9667434692382812,2.156982421875,0.44039180874824524,1.3693692684173584,3.9667434692382812
confounded,0,n16,16,500,source_2,10,3.5115543007850647,2.139110565185547,0.38582485914230347,0.9866188764572144,3.8543872833251953,2.155087947845459,0.4348742961883545,1.2644250392913818,3.8543872833251953
confounded,0,n16,16,500,source_2,20,3.334762364625931,2.128572463989258,0.43277570605278015,0.7734141945838928,3.7521603107452393,2.1524925231933594,0.42913010716438293,1.1705377101898193,3.7521603107452393
confounded,0,n16,16,500,source_2,30,3.2697339057922363,2.1510977745056152,0.40065956115722656,0.7179765701293945,3.6429173946380615,2.1486728191375732,0.4236825108528137,1.0705621242523193,3.6429173946380615
confounded,0,n16,16,500,source_2,40,3.1836094856262207,2.139993667602539,0.38438987731933594,0.6592259407043457,3.5091540813446045,2.1419003009796143,0.4184299111366272,0.9488239884376526,3.5091540813446045
confounded,0,n16,16,500,source_2,50,3.0782215893268585,2.1218984127044678,0.35299167037010193,0.6033315062522888,3.351168394088745,2.1288328170776367,0.41330379247665405,0.8090316653251648,3.351168394088745
confounded,0,n16,16,500,source_2,60,2.9455174803733826,2.0732107162475586,0.3451623320579529,0.5271444320678711,3.162626266479492,2.1040782928466797,0.40833228826522827,0.6502156257629395,3.162626266479492
confounded,0,n16,16,500,source_2,70,2.852349102497101,2.0571556091308594,0.3783622980117798,0.41683119535446167,2.9357428550720215,2.0608127117156982,0.403477281332016,0.47145283222198486,2.9357428550720215
confounded,0,n16,16,500,source_2,80,2.6549257934093475,1.9957540035247803,0.36505982279777527,0.294111967086792,2.6941847801208496,1.994369626045227,0.39866554737091064,0.3011496663093567,2.6941847801208496
confounded,0,n16,16,500,source_2,90,2.4014379382133484,1.8779513835906982,0.3528599143028259,0.17062664031982422,2.4676127433776855,1.908921241760254,0.3939151465892792,0.16477632522583008,2.4676127433776855
confounded,0,n16,16,500,source_2,100,2.2235353365540504,1.7932171821594238,0.3393896818161011,0.09092847257852554,2.3063039779663086,1.8340033292770386,0.3892793357372284,0.0830213651061058,2.3063039779663086
confounded,0,n16,16,500,source_2,110,2.0713516138494015,1.7223961353302002,0.3099345862865448,0.03902089223265648,2.237208127975464,1.8004345893859863,0.38473230600357056,0.05204126238822937,2.237208127975464
confounded,0,n16,16,500,source_2,120,2.059848915785551,1.6803275346755981,0.35024353861808777,0.029277842491865158,2.184983491897583,1.7654838562011719,0.3803481161594391,0.039151400327682495,2.184983491897583
confounded,0,n16,16,500,source_2,130,1.9995847698301077,1.6473379135131836,0.33242446184158325,0.019822394475340843,2.131777048110962,1.7230743169784546,0.3759523332118988,0.032750364392995834,2.131777048110962
confounded,0,n16,16,500,source_2,140,1.991955037228763,1.6443438529968262,0.33366233110427856,0.013948853127658367,2.092484712600708,1.6932624578475952,0.371516615152359,0.027705637738108635,2.092484712600708
confounded,0,n16,16,500,source_2,150,2.0390119049698114,1.6865683794021606,0.34128254652023315,0.01116097904741764,2.0631260871887207,1.6710237264633179,0.36714133620262146,0.024960985407233238,2.0631260871887207
confounded,0,n16,16,500,source_2,160,1.9464171212166548,1.580871343612671,0.3552699089050293,0.010275868698954582,2.0287082195281982,1.642153024673462,0.362560898065567,0.023994117975234985,2.0287082195281982
confounded,0,n16,16,500,source_2,170,1.9405744010582566,1.618807315826416,0.31155288219451904,0.010214203037321568,2.007502794265747,1.6289646625518799,0.35782769322395325,0.020710453391075134,2.007502794265747
confounded,0,n16,16,500,source_2,180,1.9199597528204322,1.5925326347351074,0.3186989426612854,0.008728175424039364,1.9894884824752808,1.6171340942382812,0.3530910313129425,0.01926339976489544,1.9894884824752808
confounded,0,n16,16,500,source_2,190,1.751565764658153,1.457168698310852,0.28688812255859375,0.007508943788707256,1.9775410890579224,1.6109673976898193,0.348392128944397,0.01818156987428665,1.9775410890579224
confounded,0,n16,16,500,source_2,200,1.8486413042992353,1.552250862121582,0.29016512632369995,0.0062253158539533615,1.9698292016983032,1.609374761581421,0.3437122404575348,0.01674223504960537,1.9698292016983032
confounded,0,n16,16,500,source_2,210,1.8370557948946953,1.533639907836914,0.29812392592430115,0.005291961133480072,1.9593693017959595,1.604190468788147,0.3390134871006012,0.01616537943482399,1.9593693017959595
confounded,0,n16,16,500,source_2,220,1.844026337377727,1.5544617176055908,0.2849431037902832,0.004621515981853008,1.949031949043274,1.5985673666000366,0.33439916372299194,0.016065508127212524,1.949031949043274
confounded,0,n16,16,500,source_2,230,1.7393212644383311,1.4677910804748535,0.2662891745567322,0.005241009406745434,1.9360442161560059,1.5913347005844116,0.3297983705997467,0.014911132864654064,1.9360442161560059
confounded,0,n16,16,500,source_2,240,1.8682022080756724,1.5800992250442505,0.28374043107032776,0.004362551961094141,1.925442099571228,1.5865368843078613,0.325325071811676,0.013580244034528732,1.925442099571228
confounded,0,n16,16,500,source_2,250,1.720321571920067,1.4574165344238281,0.2587542235851288,0.004150813911110163,1.929036021232605,1.5941803455352783,0.3210054934024811,0.013850224204361439,1.929036021232605
confounded,0,n16,16,500,source_2,260,1.7484398703090847,1.5140278339385986,0.23022663593292236,0.004185400437563658,1.9189250469207764,1.5887054204940796,0.3165610432624817,0.013658514246344566,1.9189250469207764
confounded,0,n16,16,500,source_2,270,1.8020749751012772,1.5152897834777832,0.28354138135910034,0.0032438102643936872,1.9066718816757202,1.581579566001892,0.3120045065879822,0.01308786403387785,1.9066718816757202
confounded,0,n16,16,500,source_2,280,1.7720250063575804,1.512190341949463,0.25667867064476013,0.003155993763357401,1.9020929336547852,1.5817230939865112,0.307496577501297,0.012873318046331406,1.9020929336547852
confounded,0,n16,16,500,source_2,290,1.8165031687822193,1.5430893898010254,0.27004700899124146,0.003366769989952445,1.9028698205947876,1.5870463848114014,0.30328798294067383,0.012535406276583672,1.9028698205947876
confounded,0,n16,16,500,source_2,300,1.7445185175165534,1.523148775100708,0.21791498363018036,0.0034547587856650352,1.8924306631088257,1.580297827720642,0.29935359954833984,0.012779293581843376,1.8924306631088257
confounded,0,n16,16,500,source_2,310,1.7116334396414459,1.4837565422058105,0.22513988614082336,0.002737011294811964,1.8873645067214966,1.5791566371917725,0.2954690456390381,0.012738795019686222,1.8873645067214966
confounded,0,n16,16,500,source_2,320,1.6996330933179706,1.4627512693405151,0.2339027374982834,0.0029790864791721106,1.887264370918274,1.5832622051239014,0.2915084958076477,0.01249371375888586,1.887264370918274
confounded,0,n16,16,500,source_2,330,1.6527158559765667,1.4241974353790283,0.22548708319664001,0.0030313374008983374,1.8873099088668823,1.587530493736267,0.2874596416950226,0.012319753877818584,1.8873099088668823
confounded,0,n16,16,500,source_2,340,1.7144370186142623,1.4749603271484375,0.23723432421684265,0.002242367248982191,1.8800565004348755,1.5845887660980225,0.283353328704834,0.01211441308259964,1.8800565004348755
confounded,0,n16,16,500,source_2,350,1.6122188628651202,1.3905960321426392,0.2195468544960022,0.002075976226478815,1.8749334812164307,1.5835254192352295,0.2795667052268982,0.011841258965432644,1.8749334812164307
confounded,0,n16,16,500,source_2,360,1.6880621616728604,1.4582014083862305,0.22740010917186737,0.0024606441147625446,1.8696268796920776,1.5819638967514038,0.2759513556957245,0.011711614206433296,1.8696268796920776
confounded,0,n16,16,500,source_2,370,1.5847519477829337,1.3793447017669678,0.20316964387893677,0.002237602137029171,1.868726134300232,1.5848220586776733,0.2723371386528015,0.011566998437047005,1.868726134300232
confounded,0,n16,16,500,source_2,380,1.7047046793159097,1.5142122507095337,0.1885172575712204,0.001975171035155654,1.8610241413116455,1.5812327861785889,0.26858484745025635,0.011206516996026039,1.8610241413116455
confounded,0,n16,16,500,source_2,390,1.6996485502459109,1.498164176940918,0.1997646540403366,0.0017197192646563053,1.8547693490982056,1.5786378383636475,0.26504939794540405,0.011082065291702747,1.8547693490982056
confounded,0,n16,16,500,source_2,400,1.5632836963050067,1.3727951049804688,0.18848681449890137,0.0020017768256366253,1.8531255722045898,1.5804415941238403,0.2617990970611572,0.010884868912398815,1.8531255722045898
confounded,0,n16,16,500,source_2,410,1.6135346218943596,1.4133555889129639,0.19815807044506073,0.0020209625363349915,1.8431159257888794,1.5730154514312744,0.25874653458595276,0.011353917419910431,1.8431159257888794
confounded,0,n16,16,500,source_2,420,1.7201276136329398,1.5143213272094727,0.2039967179298401,0.0018095684936270118,1.8404607772827148,1.5732578039169312,0.2559305429458618,0.011272482573986053,1.8404607772827148
confounded,0,n16,16,500,source_2,430,1.6902796591166407,1.5049443244934082,0.18369460105895996,0.001640733564272523,1.8394651412963867,1.5755614042282104,0.25299936532974243,0.010904364287853241,1.8394651412963867
confounded,0,n16,16,500,source_2,440,1.5852916043950245,1.3973053693771362,0.18644043803215027,0.0015457969857379794,1.8481111526489258,1.5871484279632568,0.25022003054618835,0.010742704384028912,1.8481111526489258
confounded,0,n16,16,500,source_2,450,1.6035150240641087,1.405104637145996,0.19675545394420624,0.0016549329739063978,1.8345699310302734,1.5762395858764648,0.2478354424238205,0.010494949296116829,1.8345699310302734
confounded,0,n16,16,500,source_2,460,1.6019719562027603,1.4016335010528564,0.19878560304641724,0.0015528521034866571,1.8315362930297852,1.5759862661361694,0.2452901303768158,0.010259808972477913,1.8315362930297852
confounded,0,n16,16,500,source_2,470,1.594809405039996,1.4198930263519287,0.17336678504943848,0.0015495936386287212,1.8378205299377441,1.5843353271484375,0.24291250109672546,0.010572647675871849,1.8378205299377441
confounded,0,n16,16,500,source_2,480,1.72475308412686,1.555171251296997,0.16803070902824402,0.0015511238016188145,1.8349522352218628,1.583660364151001,0.2409498691558838,0.010341986082494259,1.8349522352218628
confounded,0,n16,16,500,source_2,490,1.6710775033570826,1.5014758110046387,0.16824615001678467,0.0013555423356592655,1.8259273767471313,1.5763285160064697,0.23902633786201477,0.010572518222033978,1.8259273767471313
confounded,0,n16,16,500,source_2,500,1.5809681138489395,1.406791090965271,0.17290183901786804,0.0012751838658005,1.821414828300476,1.574474573135376,0.2368202805519104,0.010120072402060032,1.821414828300476
confounded,0,n16,16,500,source_3,1,3.7098915576934814,2.143338203430176,0.39258384704589844,1.1739695072174072,3.970520496368408,2.177067756652832,0.42129039764404297,1.3721622228622437,3.970520496368408
confounded,0,n16,16,500,source_3,10,3.4646124243736267,2.153902053833008,0.3999924659729004,0.9107179045677185,3.860621929168701,2.175196886062622,0.41559088230133057,1.2698339223861694,3.860621929168701
confounded,0,n16,16,500,source_3,20,3.423696219921112,2.1575326919555664,0.3462299704551697,0.919933557510376,3.738070487976074,2.1726412773132324,0.40961578488349915,1.1558135747909546,3.738070487976074
