condition,seed,data_label,samples_per_anchor_source,gradient_updates,method,candidate_count,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,regret_cvar90,regret_p95
confounded,0,n16,16,500,source_1,28,3.565086708927653,4.778964353093075,1.1768860612128749,0.3038033395176252,2.3709863850702635,0.9090909090909091,0.9090909090909091,0.03896103896103896,0.012987012987012988,0.03896103896103896,0.6778392443442026,0.6151688171075875,0.7456231687786229,1.3716798738014067,2.6961400897901626,3.793283773728755,2.49444960616404,2.122267198852466,2.1952820255421672
confounded,0,n16,16,500,source_2,28,4.887016495202789,6.687568950160121,3.8015440208943425,0.1989795918367347,4.344280258048566,0.8701298701298701,0.8701298701298701,0.03896103896103896,0.025974025974025976,0.03896103896103896,0.7081285347316811,0.47525451661044826,0.8138193608110366,1.558114483326415,3.423679135837375,5.372850518254795,5.021368536679619,2.27221045386179,1.9980847268753341
confounded,0,n16,16,500,source_3,28,4.452451927421062,5.559916317156241,3.4440963392730435,0.1614100185528757,3.948274133347052,0.8831168831168831,0.8831168831168831,0.05194805194805195,0.03896103896103896,0.03896103896103896,0.6137062043623738,0.4392788439256208,0.6949320255279821,1.4450659542142892,3.1138694954833,5.820870656053598,5.674515974245414,1.9710521060975736,1.759527569139789
confounded,0,n16,16,500,pooled_balanced,28,3.591586408564403,5.287475360400989,0.9568189746826905,0.3580705009276438,2.2742026916235467,0.8961038961038961,0.8961038961038961,0.05194805194805195,0.025974025974025976,0.025974025974025976,0.859451879529853,0.5615822710332736,0.9590984742579519,1.994123220976542,8.167771166500529,3.674479274247187,2.0517444746390567,3.8945352325550537,2.670056965179415
confounded,0,n16,16,500,state_level_min,28,3.0761518417030564,4.486657980074403,-0.8487273460293437,0.5231910946196661,1.1137122478368562,0.8961038961038961,0.8961038961038961,0.03896103896103896,0.012987012987012988,0.06493506493506493,0.6764654220851251,0.5488850548593405,0.754896195660212,1.444556289743179,3.1138694954833,2.5333544817654254,0.8914437847394373,2.0198174638346984,1.7860703450340798
confounded,0,n16,16,500,action_level_min,28,3.024369065915815,4.435049952887079,-1.0669615485968518,0.5533395176252319,0.9787037586594818,0.8961038961038961,0.8961038961038961,0.05194805194805195,0.025974025974025976,0.05194805194805195,0.761600154546537,0.5488850548593405,0.8499016217403383,1.3716798738014067,6.933652921823011,2.443611331287754,0.7915540234224026,2.9430359356415785,2.092942832714757
confounded,1,n16,16,500,source_1,28,3.8201399401278096,4.977667171396154,3.202213168812954,0.1660482374768089,3.511176554470382,0.8831168831168831,0.8831168831168831,0.0,0.012987012987012988,0.025974025974025976,0.9602282488288203,0.5756975437676601,1.0873172817620465,2.1342892506249203,8.564108765198455,5.0009592520863455,4.817232145610207,3.896721533436402,2.47815717328432
confounded,1,n16,16,500,source_2,28,3.3937657046495064,4.436553239008949,1.4885760594572126,0.28014842300556586,2.4411708820533597,0.948051948051948,0.948051948051948,0.025974025974025976,0.025974025974025976,0.05194805194805195,0.8570057055117962,0.6630281756556826,0.9039649222521686,1.6288073252269677,4.583011449869588,4.063693195093744,2.8413628532299815,2.858626492236535,2.5968182923497927
confounded,1,n16,16,500,source_3,28,3.368338456251167,4.119801804929014,0.9576457929490556,0.3673469387755102,2.162992124600111,0.9090909090909091,0.9090909090909091,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.9219708604032817,0.7164514553636536,1.01416794644361,2.0376803310726195,6.948491148516439,3.567164901853362,1.7797749175526187,3.4639860181020943,2.9066128865134044
confounded,1,n16,16,500,pooled_balanced,28,4.5094224077901455,5.485804308174758,1.9291454492762938,0.2657699443413729,3.2192839285332195,0.935064935064935,0.935064935064935,0.012987012987012988,0.025974025974025976,0.05194805194805195,0.8902324309001496,0.5893516386532269,0.9520541274904377,2.1004155331241194,8.557755822135789,5.052960236227705,3.723211614617003,3.9320546125587903,2.920243028500774
confounded,1,n16,16,500,state_level_min,28,2.7772949579706747,3.8417111215756825,-0.9555764752535816,0.5157699443413729,0.9108592413585465,0.9090909090909091,0.9090909090909091,0.025974025974025976,0.025974025974025976,0.03896103896103896,0.8387549433383323,0.7058553394844012,0.9226304376721656,2.0376803310726195,4.392989655815825,2.701672998915694,-0.042411310805056654,2.7390435163102147,2.3816613212942355
confounded,1,n16,16,500,action_level_min,28,2.7857023438009514,3.859095482085765,-1.0640864910706347,0.5371057513914657,0.8608079263651583,0.9090909090909091,0.9090909090909091,0.0,0.025974025974025976,0.05194805194805195,0.8310932147570764,0.6706183759222313,0.914202536232784,1.900692815293008,4.392989655815825,2.692108987213272,-0.11963184686918578,2.7261944858994624,2.3816613212942355
confounded,2,n16,16,500,source_1,28,3.89570944374845,4.955807284939674,2.373052677774993,0.21799628942486085,3.1343810607617213,0.9090909090909091,0.9090909090909091,0.025974025974025976,0.012987012987012988,0.025974025974025976,1.0418202869352904,0.612095569796054,1.1460023156288193,2.373019521013107,8.059060553865606,4.400779933782995,3.471938173379933,4.5669833094760754,3.585172593291103
confounded,2,n16,16,500,source_2,28,3.520927563329795,4.773092155387554,0.5806673935867349,0.4805194805194805,2.0507974784582648,0.9090909090909091,0.9090909090909091,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.7770420975969982,0.5774007230070879,0.854746307356698,1.3827640164269903,6.96417945758003,3.345284141207238,1.7489500206690813,2.9526153191532494,2.2509602999490883
confounded,2,n16,16,500,source_3,28,3.66157391945524,4.385064295458432,2.6219927891587647,0.16558441558441558,3.1417833543070026,0.961038961038961,0.961038961038961,0.07792207792207792,0.012987012987012988,0.05194805194805195,0.8095794177085772,0.626886548893367,0.842400204912979,1.511419745918431,6.96417945758003,4.1907981759044395,3.3166429009438247,2.65104514596673,1.8159778790855632
