variant,outer_iteration,epoch,optimizer_updates,training_loss,validation_loss,gradient_norm_mean,prediction_count,prediction_mean,prediction_std,prediction_min,prediction_max,prediction_p99,target_count,target_mean,target_std,target_min,target_max,target_p99,cached_target_blake2b_128,wall_seconds_cumulative,gradient_norm_max
real_transition_bootstrap,0,0,0,9.50180841130361,8.838572306471974,5.896757927152228,127872,-5.8644899247073956e-08,5.2120563877682587e-08,-1.8704447768413957e-07,8.179172539257706e-08,5.68006868206794e-08,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,0.0,
real_transition_bootstrap,1,1,125,8.864416122436523,5.226969772503539,7.72626002041983,127872,0.7312132395441281,0.24552525627857685,0.2146919220685959,1.5419354438781738,1.2361102104187012,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,0.5305977859534323,18.383704572867146
real_transition_bootstrap,1,2,250,0.8584729788899421,0.11793613111883706,6.157279095295629,127872,2.930281140472371,0.847576611060928,0.8886395692825317,6.03788423538208,5.499141216278076,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,0.859148864983581,21.419491729848698
real_transition_bootstrap,1,3,375,0.08978509229421616,0.08163074255770696,0.49356694923862393,127872,2.957799219242945,0.8058444578935003,0.9331904649734497,5.862605094909668,5.265657901763916,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,1.173293792991899,0.9159676380799404
real_transition_bootstrap,1,4,500,0.05559377384185791,0.06591510894822121,0.32788754262029013,127872,2.96479060622939,0.7972895928166669,0.9173751473426819,5.680479049682617,5.237154960632324,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,1.492866987013258,0.636582908608412
real_transition_bootstrap,1,5,625,0.039417918860912324,0.05438467440554982,0.2518196304895758,127872,2.9690432099082895,0.7916025569395153,0.9113726019859314,5.586057662963867,5.245567321777344,127872,2.9844415089199576,0.7713086078104603,0.8641770054349651,5.546590701922218,5.0076656956847865,27715c8379cd1857ed47b8cd532f7884,1.8111191500211135,0.6149307036561512
real_transition_bootstrap,2,6,750,0.6285938143730163,0.07193641631756253,12.554011141578464,127872,5.933070290844899,1.5807891890772474,1.8642500638961792,11.13406753540039,10.487887382507324,127872,5.940174242452026,1.5501037901117924,1.8433197331428528,11.21172637939453,10.259364650678634,27eb046843903e548e79a485a4c51dc6,2.2115330969681963,77.02780980919928
real_transition_bootstrap,2,7,875,0.041685307085514066,0.058235520683756994,0.4456304050334318,127872,5.932524658115888,1.5721534588980461,1.907402753829956,11.115100860595703,10.362950325012207,127872,5.940174242452026,1.5501037901117924,1.8433197331428528,11.21172637939453,10.259364650678634,27eb046843903e548e79a485a4c51dc6,2.5448074110317975,1.5642631626709942
real_transition_bootstrap,2,8,1000,0.032222633868455884,0.049037050771156096,0.3667559872155114,127872,5.934053740448302,1.5671911443304674,1.943168044090271,11.12557601928711,10.292885780334473,127872,5.940174242452026,1.5501037901117924,1.8433197331428528,11.21172637939453,10.259364650678634,27eb046843903e548e79a485a4c51dc6,2.8727879610378295,1.3642589447215183
real_transition_bootstrap,2,9,1125,0.026777290523052215,0.04270165423193777,0.3233285208944552,127872,5.935139426135564,1.563657978491533,1.9640032052993774,11.141097068786621,10.254528999328613,127872,5.940174242452026,1.5501037901117924,1.8433197331428528,11.21172637939453,10.259364650678634,27eb046843903e548e79a485a4c51dc6,3.1971508120186627,1.1958466428107837
real_transition_bootstrap,2,10,1250,0.023178287893533708,0.03783944293901106,0.2948659763640245,127872,5.93602054318911,1.5612490083172215,1.9792282581329346,11.148813247680664,10.239400863647461,127872,5.940174242452026,1.5501037901117924,1.8433197331428528,11.21172637939453,10.259364650678634,27eb046843903e548e79a485a4c51dc6,3.521009929012507,1.0567238355356732
real_transition_bootstrap,3,11,1375,0.4990024072229862,0.07067611287188717,17.26611223879122,127872,8.874567798740632,2.3463380675820042,3.028872013092041,16.7775821685791,15.338672637939453,127872,8.881318271081986,2.330053505793901,2.9249384427070617,16.983388538360593,15.33512178955078,86e3e5e60a9464ed799e52c43b4b1245,3.930163766955957,129.389822734741
