variant,epoch,probe_set,count,mean,std,min,max,p99
real_transition_bootstrap,0,train_anchor,333,-5.864489946180459e-08,5.212056336787473e-08,-1.8704447768413957e-07,8.179174670885914e-08,5.321717765127695e-08
real_transition_bootstrap,0,real_next_bootstrap,19584,-4.940140767970724e-08,4.920459588034518e-08,-2.4954698574219947e-07,5.897334176552249e-08,4.5323515429629415e-08
real_transition_bootstrap,0,model_next,186368,-8.179216581254175e-08,4.109887443442902e-08,-2.452700300636934e-07,-2.2187681025798156e-08,-4.247235558807462e-08
real_transition_bootstrap,10,train_anchor,333,5.936020537181659,1.5612490274250086,1.9792283773422241,11.148815155029297,10.207026596069337
real_transition_bootstrap,10,real_next_bootstrap,19584,5.6253035225802,1.8098583027719848,2.022498607635498,10.05218505859375,9.906505823135376
real_transition_bootstrap,10,model_next,186368,4.300977244421809,1.246831500040284,1.9952964782714844,5.810571193695068,5.624131374359131
real_transition_bootstrap,20,train_anchor,333,11.795857740236116,3.119708847961441,4.2008957862854,22.338329315185547,20.609712295532226
real_transition_bootstrap,20,real_next_bootstrap,19584,11.220330251222537,3.565902836781062,4.304174900054932,20.40459632873535,20.17527305603027
real_transition_bootstrap,20,model_next,186368,8.50502231896722,2.5113508201567365,4.190521717071533,11.504451751708984,11.297760629653931
real_transition_bootstrap,30,train_anchor,333,17.580447961618233,4.681846466721413,6.552471160888672,33.61899948120117,31.274338302612303
real_transition_bootstrap,30,real_next_bootstrap,19584,16.806383425211596,5.290706754775146,6.768094539642334,30.679546356201172,30.41592721939087
real_transition_bootstrap,30,model_next,186368,12.685934076955604,3.736213433174377,6.579854965209961,17.136775970458984,16.92368242263794
real_transition_bootstrap,40,train_anchor,333,23.27684442560236,6.210213111714044,9.095040321350098,44.68302917480469,41.78321960449219
real_transition_bootstrap,40,real_next_bootstrap,19584,22.33265056344224,6.942212003419974,9.368724822998047,40.657711029052734,40.35904434204101
real_transition_bootstrap,40,model_next,186368,16.81109756865324,4.8714888991605,9.091431617736816,22.5842227935791,22.393945388793945
real_transition_bootstrap,50,train_anchor,333,28.90513905820188,7.709253022881456,11.723490715026855,55.2515869140625,52.13995468139648
real_transition_bootstrap,50,real_next_bootstrap,19584,27.798399731175962,8.539144878389196,12.112388610839844,50.508358001708984,50.20538639068603
real_transition_bootstrap,50,model_next,186368,20.897361983964732,5.941307225891313,11.655890464782715,28.0328311920166,27.80684143066406
real_transition_bootstrap,60,train_anchor,333,34.45896826277266,9.162132059353135,14.446650505065918,65.4228515625,62.31506088256836
real_transition_bootstrap,60,real_next_bootstrap,19584,33.206012329391015,10.09390758754316,14.932886123657227,60.19626998901367,59.97419567108154
real_transition_bootstrap,60,model_next,186368,24.899873521905597,6.907255883280432,14.281551361083984,33.36725616455078,33.02675479888916
real_transition_bootstrap,80,train_anchor,333,45.39385788147156,11.969904766676152,20.150686264038086,86.21570587158203,82.18655914306642
real_transition_bootstrap,80,real_next_bootstrap,19584,43.90693046775908,13.072372043625776,21.106746673583984,79.31797790527344,78.9708738708496
real_transition_bootstrap,80,model_next,186368,32.872785917401394,8.522700477368971,19.634632110595703,43.99463653564453,43.30954730987549
real_transition_bootstrap,100,train_anchor,333,56.039243148253846,14.619961601924189,26.238431930541992,105.30337524414062,99.72498382568361
real_transition_bootstrap,100,real_next_bootstrap,19584,54.297643228878385,15.869166189999028,27.426166534423828,97.02813720703125,96.08607223510742
real_transition_bootstrap,100,model_next,186368,40.64927634693027,9.987589878936893,25.039424896240234,54.43673324584961,53.40293804168701
real_transition_bootstrap,120,train_anchor,333,66.69002589091167,17.10125287223743,32.79094696044922,125.04500579833984,115.97992156982424
real_transition_bootstrap,120,real_next_bootstrap,19584,64.92962655093935,18.737216015218745,34.21692657470703,113.23062896728516,112.20464599609375
real_transition_bootstrap,120,model_next,186368,49.662821312475906,12.341772751497912,30.942405700683594,68.11178588867188,66.43037506103515
real_transition_bootstrap,140,train_anchor,333,77.6772792919262,19.68294219854705,40.20035934448242,145.78880310058594,136.38398620605471
real_transition_bootstrap,140,real_next_bootstrap,19584,76.17129544300191,22.335946185714562,42.3975830078125,139.2309112548828,137.8521174621582
real_transition_bootstrap,140,model_next,186368,59.85147680411791,15.127455822686606,37.24848175048828,83.44747924804688,81.09897201538085
real_transition_bootstrap,160,train_anchor,333,88.9558410071754,22.828812925803568,45.90990447998047,190.3956756591797,167.46040466308594
real_transition_bootstrap,160,real_next_bootstrap,19584,88.14418128483436,27.36151105196176,51.43161392211914,181.03785705566406,179.5313626098633
real_transition_bootstrap,160,model_next,186368,71.17886888497806,18.783649449350328,44.86180877685547,101.02437591552734,98.29564842224121
real_transition_bootstrap,180,train_anchor,333,101.1474887859356,27.480172836075365,47.739498138427734,248.7640838623047,191.30061828613282
real_transition_bootstrap,180,real_next_bootstrap,19584,101.45250936933593,34.52090600936285,57.59329605102539,233.6201171875,231.71485092163084
real_transition_bootstrap,180,model_next,186368,83.40107543862702,22.071557357359097,56.25001525878906,118.48165130615234,115.54402381896972
real_transition_bootstrap,200,train_anchor,333,114.21861865069415,34.525823600760106,48.71845626831055,321.6378173828125,219.07659118652347
real_transition_bootstrap,200,real_next_bootstrap,19584,115.90040863222546,44.52925217799797,64.2274169921875,299.01885986328125,296.1307244873047
real_transition_bootstrap,200,model_next,186368,94.11767676104229,26.927579823240062,66.64115142822266,136.76026916503906,133.12152420043944
