variant,outer_iteration,epoch,recomputed_bellman_residual_rmse,residual_target_blake2b_128,uses_current_network_recomputation
real_transition_bootstrap,0,0,2.972973647120333,1276c687ef5b92c2af4834e1b634a42b,True
real_transition_bootstrap,1,5,2.9780923673057917,582a9bc4f4e402eb02edd00492f32266,True
real_transition_bootstrap,2,10,2.9698530462427883,cdf739db7e36cd56bbc238603c63ae07,True
real_transition_bootstrap,3,15,2.9596006784352813,1ed553c8aa8f56ee59b3089ac02a2ebe,True
real_transition_bootstrap,4,20,2.954715714817999,5c2074b86fb5a14d320777c22f27217d,True
real_transition_bootstrap,5,25,2.954223030738839,de027c60dcf8e48da4e37f6a0a387646,True
real_transition_bootstrap,6,30,2.957470745909882,9509e63e7dace5ceb1fc7d1e2e7506af,True
real_transition_bootstrap,7,35,2.9647422057149853,02ffd5f24faf1d37edd44ad2d92b4477,True
real_transition_bootstrap,8,40,2.970890587755082,fd31c328a0c17b5054c9082a2fe49c62,True
real_transition_bootstrap,9,45,2.9755712407212065,9c6fce1e13ffcd66ff6c26682cf9c372,True
real_transition_bootstrap,10,50,2.985442840988439,093070762ffedc53df6a4460b27e7d8e,True
real_transition_bootstrap,11,55,2.9996153454032717,dc306e0f607937dc937af82b65133ebe,True
real_transition_bootstrap,12,60,3.0187268770365794,6b11deb651eabf075cc0c661b3ac111f,True
real_transition_bootstrap,13,65,3.0528794927456664,8a7590565ff6a8e21827586038ab3c58,True
real_transition_bootstrap,14,70,3.0986603654498697,023d4faa0c00b6a4a9347eeb2816effc,True
real_transition_bootstrap,15,75,3.1429108925598572,e4323fc23a982b8e5ebd77ba41ae6efb,True
real_transition_bootstrap,16,80,3.202139171195516,dbdb8efae554ea3959db70c4c6492736,True
real_transition_bootstrap,17,85,3.290115682203451,976375df94df03cc5eacf1488622e174,True
real_transition_bootstrap,18,90,3.381720680151317,287078fce8b7bd55746f325ee28fd8e7,True
real_transition_bootstrap,19,95,3.479396229786043,85363a314a31d95d1383850815f51215,True
real_transition_bootstrap,20,100,3.5874344391706274,51a98915e6330a15b6d4435e4dc986e1,True
real_transition_bootstrap,21,105,3.7147065108349393,b738e097aae1d48d5f20a7d624602ffe,True
real_transition_bootstrap,22,110,3.8700660220646337,9ea918ccf3204b922bdcc3fbcc78f75a,True
real_transition_bootstrap,23,115,4.045318165815798,8b8ba766db9199a5f0db988d2137c7c3,True
real_transition_bootstrap,24,120,4.269155931012829,07d09c0beb71fd8e9c4d92ac1380765b,True
real_transition_bootstrap,25,125,4.533536533928972,b180c7dd94932197068f1f6534b085d3,True
real_transition_bootstrap,26,130,4.822572511083909,1af8237a794614fb88710dd10230121e,True
real_transition_bootstrap,27,135,5.151427633810752,c055af64675bfdb9e2ef51774fa14ad1,True
real_transition_bootstrap,28,140,5.532702380310227,75fdbb3bbf4c16f75b748b9609be30cf,True
real_transition_bootstrap,29,145,5.9490812248582285,ca0765034c0cb05f77dd47fc9f23a6ee,True
real_transition_bootstrap,30,150,6.409431184716949,8dee762ac30648afeaec21f90fc89107,True
real_transition_bootstrap,31,155,6.892778429070781,31c65ca606639033f7f76afca890beaa,True
real_transition_bootstrap,32,160,7.387808148317585,f38423a588267307f80be37f6a99582f,True
real_transition_bootstrap,33,165,7.898892685975402,c9c9b676e93575fa592ca42cb5b54e95,True
real_transition_bootstrap,34,170,8.418874657085372,38a64dc5453c7cd642d59d38a56539c3,True
real_transition_bootstrap,35,175,8.97476404947418,15dbf0d23246e4d415752bf78f8a704c,True
real_transition_bootstrap,36,180,9.550338924998723,ce81a83b439a3f1adbc334c25ba3f667,True
real_transition_bootstrap,37,185,10.205309017662469,7de6d1aad8017b3ebd5650886dd059de,True
real_transition_bootstrap,38,190,10.931367661199747,c82e4b4a9f797a973800a0e3dcde25b8,True
real_transition_bootstrap,39,195,11.634456156166658,310b62c1350702687916d6dadafd301a,True
real_transition_bootstrap,40,200,12.391086025889312,e7f9134fb959f27109efac35397222e5,True
