anchor_count,condition,failure_type,fraction,kappa,lambda_reward,mixture,model_seed,n_anchors
4,confounded,A,0.05128205128205128,0.0,0.05,logger1_heavy,0,78
0,confounded,B,0.0,0.0,0.05,logger1_heavy,0,78
72,confounded,C,0.9230769230769231,0.0,0.05,logger1_heavy,0,78
2,confounded,D,0.02564102564102564,0.0,0.05,logger1_heavy,0,78
0,confounded,E,0.0,0.0,0.05,logger1_heavy,0,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger1_heavy,1,78
0,confounded,B,0.0,0.0,0.05,logger1_heavy,1,78
70,confounded,C,0.8974358974358975,0.0,0.05,logger1_heavy,1,78
3,confounded,D,0.038461538461538464,0.0,0.05,logger1_heavy,1,78
1,confounded,E,0.01282051282051282,0.0,0.05,logger1_heavy,1,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger1_heavy,2,78
0,confounded,B,0.0,0.0,0.05,logger1_heavy,2,78
74,confounded,C,0.9487179487179487,0.0,0.05,logger1_heavy,2,78
0,confounded,D,0.0,0.0,0.05,logger1_heavy,2,78
0,confounded,E,0.0,0.0,0.05,logger1_heavy,2,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger12_balanced,0,78
0,confounded,B,0.0,0.0,0.05,logger12_balanced,0,78
71,confounded,C,0.9102564102564102,0.0,0.05,logger12_balanced,0,78
3,confounded,D,0.038461538461538464,0.0,0.05,logger12_balanced,0,78
0,confounded,E,0.0,0.0,0.05,logger12_balanced,0,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger12_balanced,1,78
0,confounded,B,0.0,0.0,0.05,logger12_balanced,1,78
72,confounded,C,0.9230769230769231,0.0,0.05,logger12_balanced,1,78
1,confounded,D,0.01282051282051282,0.0,0.05,logger12_balanced,1,78
1,confounded,E,0.01282051282051282,0.0,0.05,logger12_balanced,1,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger12_balanced,2,78
0,confounded,B,0.0,0.0,0.05,logger12_balanced,2,78
74,confounded,C,0.9487179487179487,0.0,0.05,logger12_balanced,2,78
0,confounded,D,0.0,0.0,0.05,logger12_balanced,2,78
0,confounded,E,0.0,0.0,0.05,logger12_balanced,2,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger2_heavy,0,78
0,confounded,B,0.0,0.0,0.05,logger2_heavy,0,78
70,confounded,C,0.8974358974358975,0.0,0.05,logger2_heavy,0,78
3,confounded,D,0.038461538461538464,0.0,0.05,logger2_heavy,0,78
1,confounded,E,0.01282051282051282,0.0,0.05,logger2_heavy,0,78
4,confounded,A,0.05128205128205128,0.0,0.05,logger2_heavy,1,78
0,confounded,B,0.0,0.0,0.05,logger2_heavy,1,78
71,confounded,C,0.9102564102564102,0.0,0.05,logger2_heavy,1,78
2,confounded,D,0.02564102564102564,0.0,0.05,logger2_heavy,1,78
