condition,conditional_positive_mean,kappa,lambda_reward,max,mean,median,min,mixture,model_seed,n,negative_fraction,p90,p99,positive_fraction,source,top_1pct_total_contribution,top_set_rule,zero_fraction
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger12_balanced,1,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger12_balanced,1,78,,0.0,0.0,,observational,0.0,worst,
independent_latents,0.005000119881218333,0.0,0.0,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger12_balanced,1,78,,0.004822156753045846,0.013462890694509353,,neural,0.10898991805892413,best,
independent_latents,0.005000119881218333,0.0,0.0,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger12_balanced,1,78,,0.004822156753045846,0.013462890694509353,,neural,0.10898991805892413,worst,
independent_latents,0.005000119881218333,0.0,0.0,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger12_balanced,1,78,0.0,0.004822156753045846,0.013462890694509353,0.3333333333333333,neural_minus_observational,0.10898991805892413,best,0.6666666666666666
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger12_balanced,2,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger12_balanced,2,78,,0.0,0.0,,observational,0.0,worst,
independent_latents,0.004618029865444801,0.0,0.0,0.013251966247791458,0.002072192888340616,0.0,0.0,logger12_balanced,2,78,,0.005537158616446325,0.01275612802292187,,neural,0.08198899056779642,best,
independent_latents,0.004618029865444801,0.0,0.0,0.013251966247791458,0.002072192888340616,0.0,0.0,logger12_balanced,2,78,,0.005537158616446325,0.01275612802292187,,neural,0.08198899056779642,worst,
independent_latents,0.004618029865444801,0.0,0.0,0.013251966247791458,0.002072192888340616,0.0,0.0,logger12_balanced,2,78,0.0,0.005537158616446325,0.01275612802292187,0.44871794871794873,neural_minus_observational,0.08198899056779642,best,0.5512820512820513
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger2_heavy,0,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.0,0.0,0.0,0.0,0.0,logger2_heavy,0,78,,0.0,0.0,,observational,0.0,worst,
