lambda,neural_calibration_mae,neural_do_rank_error,neural_gap_error,neural_gap_signed_error,neural_obs_rank_error,neural_oracle_hit_rate,neural_regret,obs_do_rank_error,obs_gap_error,obs_gap_signed_error,obs_regret,observational_oracle_hit_rate,random_action_regret,random_oracle_hit_rate
0.0,0.024041155822688766,0.3475783475783476,0.0057794382280502874,0.0008334944238212702,0.3554131054131054,0.6524216524216524,0.0013752590228171054,0.01282051282051282,0.001186411391788093,0.0011721231550036995,3.3996583848858673e-06,0.9871794871794872,0.002905727905586376,0.3333333333333333
0.05,0.03341074488427323,0.9316239316239316,0.024053826753105686,-0.0185876790172359,0.03561253561253561,0.06837606837606836,0.005483613531266896,0.9487179487179487,0.029513089666112814,-0.02325095376807319,0.00565900016805787,0.05128205128205132,0.002905727905586376,0.3333333333333333
0.1,0.04519003330187708,0.9408831908831908,0.03642122904249886,-0.02842836212463792,0.01566951566951567,0.059116809116809166,0.00559711683774055,0.9487179487179487,0.06009001274303587,-0.04767403069115007,0.00565900016805787,0.05128205128205132,0.002905727905586376,0.3333333333333333
0.2,0.06875919872117976,0.9444444444444444,0.0604256263138732,-0.0480616770242521,0.005698005698005698,0.05555555555555558,0.005635673399401648,0.9487179487179487,0.12124385889688219,-0.09652018453730409,0.00565900016805787,0.05128205128205132,0.002905727905586376,0.3333333333333333
