action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
base,independent_latents,total_neural_do_error,0.0,0.0,0.02725270910171651,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger1_heavy,1,78,,0.06069462390609884,action_error,0.04775122971447319,-0.003067968799365115
plus,independent_latents,population_causal_bias,0.0,0.0,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.0,0.027072883844374642,0.12937193961136773,0.2416003675876719,,,,0.0008412284749570453,-0.2416003675876719,logger1_heavy,1,78,,0.06570962870969471,action_error,0.04644963630216072,-0.002177227685795269
plus,independent_latents,total_neural_do_error,0.0,0.0,0.02707288384437465,0.12937193961136817,0.2416003675876719,,,,0.0008412284749574894,-0.2416003675876719,logger1_heavy,1,78,,0.06570962870969471,action_error,0.04644963630216069,-0.0021772276857950413
minus,independent_latents,population_causal_bias,0.0,0.0,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.0,0.02732669496181921,0.1882959255205061,0.1882959255205061,,,,-0.002002634060178199,-0.16496279952200865,logger1_heavy,2,78,,0.058479528581606266,action_error,0.04684550015990117,-0.0023475026304348766
minus,independent_latents,total_neural_do_error,0.0,0.0,0.027326694961819182,0.18829592552050656,0.18829592552050656,,,,-0.002002634060177977,-0.16496279952200865,logger1_heavy,2,78,,0.058479528581606266,action_error,0.04684550015990118,-0.0023475026304346732
base,independent_latents,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.0,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger1_heavy,2,78,,0.058954949041496486,action_error,0.043044260948492556,-0.0008052667439280954
base,independent_latents,total_neural_do_error,0.0,0.0,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger1_heavy,2,78,,0.058954949041496174,action_error,0.04304426094849254,-0.0008052667439280726
plus,independent_latents,population_causal_bias,0.0,0.0,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.0,0.025469395376761267,0.15520379432299558,0.15520379432299558,,,,0.002012813862656726,-0.1315841832196365,logger1_heavy,2,78,,0.0573908244886918,action_error,0.039859111286949675,0.0010484318077251965
plus,independent_latents,total_neural_do_error,0.0,0.0,0.02546939537676132,0.15520379432299602,0.15520379432299602,,,,0.00201281386265717,-0.1315841832196365,logger1_heavy,2,78,,0.057390824488692115,action_error,0.039859111286949696,0.0010484318077254241
minus,independent_latents,population_causal_bias,0.0,0.0,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,3.39411609061636e-16,1.9500071073544416e-16
minus,independent_latents,neural_approximation_error,0.0,0.0,0.02010732147043388,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477961,-0.07157314435117179,logger12_balanced,0,78,,0.052864278789589526,action_error,0.027615753118164072,-0.0022382220044509273
