condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
confounded,0.0,0.0,logger1_heavy,0,78,0.02257186964917454,0.00578347824808483,0.41025641025641024,0.41025641025641024,0.001692100478083342,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger1_heavy,1,78,0.02559207808089634,0.005339221329748342,0.2692307692307692,0.2692307692307692,0.0009544150085085007,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger1_heavy,2,78,0.023932443766281015,0.005114365675423795,0.34615384615384615,0.34615384615384615,0.001458401991181007,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger12_balanced,0,78,0.02257186964917454,0.00578347824808483,0.41025641025641024,0.41025641025641024,0.001692100478083342,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger12_balanced,1,78,0.02559207808089634,0.005339221329748342,0.2692307692307692,0.2692307692307692,0.0009544150085085007,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger12_balanced,2,78,0.023932443766281015,0.005114365675423795,0.34615384615384615,0.34615384615384615,0.001458401991181007,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger2_heavy,0,78,0.02257186964917454,0.00578347824808483,0.41025641025641024,0.41025641025641024,0.001692100478083342,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger2_heavy,1,78,0.02559207808089634,0.005339221329748342,0.2692307692307692,0.2692307692307692,0.0009544150085085007,0.0,0.0,0.0030295417686908876
confounded,0.0,0.0,logger2_heavy,2,78,0.023932443766281015,0.005114365675423795,0.34615384615384615,0.34615384615384615,0.001458401991181007,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger1_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger1_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger1_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger12_balanced,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger12_balanced,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger12_balanced,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger2_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.0,logger2_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
