absolute_gap_error,aggregate_margin_ratio,condition,kappa,lambda_reward,matched_aggregate_gap_ratio,mean_margin_do,mean_margin_on_do_pair,mean_matched_gap_difference,median_absolute_gap_error,mixture,model_seed,n_anchors,n_matching_top_sets,n_non_tied_do_pairs,overconfident_fraction,p90_absolute_gap_error,pearson_true_margin,sign_preservation_rate,signed_gap_error,source,spearman_true_margin,underconfident_fraction
2.391249591500337e-16,1.0000000000000533,confounded,0.0,0.0,,0.0029923784019148868,0.002992378401915046,,0.0,logger1_heavy,0,78,,78,,4.440892098500626e-16,1.0,1.0,1.594166394333558e-16,observational,0.9999999999999999,
0.00578347824808483,1.1079696490301782,confounded,0.0,0.0,2.3710230046867986,0.0029923784019148868,0.0033154644477351226,0.004615733438966328,0.004561513355826774,logger1_heavy,0,78,46,78,0.8043478260869565,0.012952530848509928,0.3056060890064837,0.6410256410256411,0.000323086045820236,neural,0.2791006461892538,0.1956521739130435
2.391249591500337e-16,1.0000000000000533,confounded,0.0,0.0,,0.0029923784019148868,0.002992378401915046,,0.0,logger1_heavy,1,78,,78,,4.440892098500626e-16,1.0,1.0,1.594166394333558e-16,observational,0.9999999999999999,
0.005339221329748342,0.9010708498694363,confounded,0.0,0.0,1.6774662985239788,0.0029923784019148868,0.0026963449497443928,0.0022153545054940187,0.004537325128919356,logger1_heavy,1,78,57,78,0.6666666666666666,0.010266619530637119,0.13667266766444922,0.7307692307692307,-0.0002960334521704937,neural,0.07909811707280061,0.3333333333333333
2.391249591500337e-16,1.0000000000000533,confounded,0.0,0.0,,0.0029923784019148868,0.002992378401915046,,0.0,logger1_heavy,2,78,,78,,4.440892098500626e-16,1.0,1.0,1.594166394333558e-16,observational,0.9999999999999999,
0.005114365675423795,1.1849737265890776,confounded,0.0,0.0,2.1616994776930736,0.0029923784019148868,0.003545889786281752,0.0037120550508387795,0.003862295133756799,logger1_heavy,2,78,51,78,0.7843137254901961,0.012251722115448692,0.06857895156557081,0.7051282051282052,0.0005535113843668654,neural,0.06913339824732229,0.21568627450980393
1.6938017939794054e-16,0.9999999999999957,confounded,0.0,0.0,,0.0029923784019148868,0.0029923784019148737,,0.0,logger12_balanced,0,78,,78,,4.440892098500626e-16,0.9999999999999999,1.0,-1.2810265668751807e-17,observational,0.9999999999999999,
0.00578347824808483,1.1079696490301782,confounded,0.0,0.0,2.3710230046867986,0.0029923784019148868,0.0033154644477351226,0.004615733438966328,0.004561513355826774,logger12_balanced,0,78,46,78,0.8043478260869565,0.012952530848509928,0.3056060890064837,0.6410256410256411,0.000323086045820236,neural,0.2791006461892538,0.1956521739130435
1.6938017939794054e-16,0.9999999999999957,confounded,0.0,0.0,,0.0029923784019148868,0.0029923784019148737,,0.0,logger12_balanced,1,78,,78,,4.440892098500626e-16,0.9999999999999999,1.0,-1.2810265668751807e-17,observational,0.9999999999999999,
0.005339221329748342,0.9010708498694363,confounded,0.0,0.0,1.6774662985239788,0.0029923784019148868,0.0026963449497443928,0.0022153545054940187,0.004537325128919356,logger12_balanced,1,78,57,78,0.6666666666666666,0.010266619530637119,0.13667266766444922,0.7307692307692307,-0.0002960334521704937,neural,0.07909811707280061,0.3333333333333333
