scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,221,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,222,plus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,300,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,301,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,302,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_scale,balanced_error_over_action_range,logger12_balanced,24,1.5843668850920433e-14,,,,,,,,5.8388653362932635e-15,3.3622433387496684e-14,anchor_id,100,400,,1.1102230246251565e-16,0.007007360700805473,True,100,,
primary_common_horizon,all,0.0,1,decision_scale,balanced_error_over_top_second_margin,logger12_balanced,24,3.290264519437875e-14,,,,,,,,1.1832280087444617e-14,5.2765564890761516e-14,anchor_id,100,401,,1.1102230246251565e-16,0.0033742667741948986,True,100,24,
secondary_per_horizon,all,0.0,1,long_horizon,absolute_initial_u_return_effect,none,24,6.1679056923619804e-18,3.0216443455789297e-17,0.0,0.0,0.0,0.0,0.0,1.4802973661668753e-16,0.0,1.850371707708594e-17,anchor_id,100,100000,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_do_error,logger12_balanced,24,4.9343245538895844e-17,9.429820735678827e-17,0.0,0.0,0.0,3.700743415417188e-17,1.4802973661668753e-16,2.9605947323337506e-16,1.5265566588595904e-17,8.958883018155772e-17,anchor_id,100,100001,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,heavy_mixture_drift,none,24,2.6213599192538415e-17,7.112594491966848e-17,0.0,0.0,0.0,0.0,1.1472304587793276e-16,2.9605947323337506e-16,1.5419764230904951e-18,5.015278316101834e-17,anchor_id,100,100002,,,,,,,
