scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
secondary_per_horizon,all,0.0,1,decision_regret,decision_regret_best,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100120,,,,,,,
secondary_per_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100121,,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,100220,minus,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100221,base,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100222,plus,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,do,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,100300,minus,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100301,base,,,,,,
secondary_per_horizon,all,0.0,1,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100302,plus,,,,,,
secondary_per_horizon,all,0.0,1,decision_scale,balanced_error_over_action_range,logger12_balanced,24,1.5843668850920433e-14,,,,,,,,5.608139345212717e-15,2.892143083515454e-14,anchor_id,100,100400,,1.1102230246251565e-16,0.007007360700805473,True,100,,
secondary_per_horizon,all,0.0,1,decision_scale,balanced_error_over_top_second_margin,logger12_balanced,24,3.290264519437875e-14,,,,,,,,1.1911496493672403e-14,5.3357303368806545e-14,anchor_id,100,100401,,1.1102230246251565e-16,0.0033742667741948986,True,100,24,
