kappa,horizon,replicates,antithetic_pairs,n_anchors,branch_standard_error_mean,branch_standard_error_max,first_half_vs_second_half_absolute_mean,balanced_do_error_r_half,balanced_do_error_r,balanced_do_error_absolute_change,horizon5_mc_vs_exact_absolute_mean,common_random_numbers,antithetic_pairing
0.0,20,32,16,1994,3.0165947706714913e-15,2.997783086261874e-14,4.587882508982593e-16,1.1766656596662474e-15,1.1796351629083074e-15,2.9695032420599746e-18,5.573683347765438e-15,True,True
0.0,50,32,16,1994,6.3707363247276565e-15,4.5524667710996444e-14,2.2075287101473525e-15,2.1215615912897176e-15,2.0669227316358147e-15,5.46388596539029e-17,5.573683347765438e-15,True,True
0.1,20,32,16,1994,0.003038586907825797,0.5826713072243005,0.020270169357421656,0.00636949078530624,0.006363127532609876,6.363252696364383e-06,0.0001450594611303821,True,True
0.1,50,32,16,1994,0.028029451748897746,2.786001163670289,0.09191931113673141,0.015206970869220411,0.013837466902070628,0.0013695039671497832,0.0001450594611303821,True,True
0.2,20,32,16,1994,0.005775436922520651,0.6362152758548166,0.03730269597611349,0.012343830218745959,0.012316670764969947,2.7159453776012116e-05,0.00033426804508404406,True,True
0.2,50,32,16,1994,0.04755097350167869,4.803286995589371,0.16436958161776935,0.02621881177343128,0.024161756130288082,0.002057055643143197,0.00033426804508404406,True,True
0.3,20,32,16,1994,0.009162157515647935,1.0320028345260646,0.05362787546724868,0.01812408137830125,0.01804782249336587,7.62588849353811e-05,0.0006004288115886617,True,True
0.3,50,32,16,1994,0.07071808143654354,7.117253516672447,0.23503678768767167,0.03738960301633795,0.03553555276782843,0.0018540502485095214,0.0006004288115886617,True,True
