scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8966900702106319,0.921765295887663,anchor_id,2000,220,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,221,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.08475426278836509,0.27858553344068615,0.0,0.0,0.0,0.0,0.0,1.0,0.07221664994984955,0.09779338014042126,anchor_id,2000,222,plus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8966900702106319,0.9222668004012036,anchor_id,2000,300,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,301,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,1994,0.08475426278836509,0.27858553344068615,0.0,0.0,0.0,0.0,0.0,1.0,0.07271815446339017,0.09729187562688064,anchor_id,2000,302,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_scale,balanced_error_over_action_range,logger12_balanced,1994,2.59260809523629e-14,,,,,,,,2.4611901965352172e-14,2.7355462222856127e-14,anchor_id,2000,400,,2.0344809087163098e-16,0.007847236581782283,True,2000,,
primary_common_horizon,all,0.0,1,decision_scale,balanced_error_over_top_second_margin,logger12_balanced,1994,5.283618036400936e-14,,,,,,,,5.0028099877616823e-14,5.574346567990278e-14,anchor_id,2000,401,,2.0344809087163098e-16,0.0038505450142307138,True,2000,1994,
secondary_per_horizon,all,0.0,1,long_horizon,absolute_initial_u_return_effect,none,2048,1.6985834035606237e-18,3.787133316999665e-17,0.0,0.0,0.0,0.0,0.0,1.1842378929335002e-15,3.9754079657801823e-19,3.541727096785981e-18,anchor_id,2000,100000,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_do_error,logger12_balanced,2048,7.618327265331479e-17,9.222603621372614e-17,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,5.921189464667501e-16,7.231492965206752e-17,8.00502604018464e-17,anchor_id,2000,100001,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,heavy_mixture_drift,none,2048,4.557263131680737e-17,7.701957900131377e-17,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,4.440892098500626e-16,4.228343297602944e-17,4.8951728087720476e-17,anchor_id,2000,100002,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,do_action_range,none,2048,0.007876400342523519,0.004644717909262655,0.006332362223688381,0.0027872726429476803,0.004321672557533018,0.012545057289696127,0.01413403885067299,0.021094037893782946,0.007682487043390821,0.008075452826636883,anchor_id,2000,100003,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,do_top_second_margin,none,2048,0.003865745498299478,0.0023367076557693723,0.003105131955640106,0.001350112348948207,0.002087107191950821,0.006214379557879068,0.0070164194018943245,0.013160055390878167,0.0037645542010601857,0.003965682173252732,anchor_id,2000,100004,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,max_balanced_do_error,logger12_balanced,2048,2.0285422647203788e-16,2.300468865463009e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,1.3322676295501878e-15,1.9347587768003827e-16,2.1272182149437156e-16,anchor_id,2000,100005,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_survival_difference_abs,logger12_balanced,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100006,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_termination_difference_abs,logger12_balanced,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100007,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_restricted_time_difference_abs,logger12_balanced,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100008,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_future_clipping_rate,logger12_balanced,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100009,,,,,,,
secondary_per_horizon,all,0.0,1,long_horizon,balanced_vs_do_top_set_disagreement,logger12_balanced,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100010,,,,,,,
