comparison,do_mae_difference,do_mae_difference_sd,do_mae_difference_negative_seed_fraction,do_mae_difference_positive_seed_fraction,do_mae_difference_per_seed,rank_difference,rank_difference_sd,rank_difference_negative_seed_fraction,rank_difference_positive_seed_fraction,rank_difference_per_seed,regret_difference,regret_difference_sd,regret_difference_negative_seed_fraction,regret_difference_positive_seed_fraction,regret_difference_per_seed
"Correct - Shuffle, M=5 diverse",0.0011626743253292451,0.004018494198298642,0.3333333333333333,0.6666666666666666,"[0.0003148471319793858, 0.005537434338839714, -0.0023642584948313644]",0.006060606060606044,0.09942772100402136,0.6666666666666666,0.3333333333333333,"[-0.007792207792207795, 0.11168831168831161, -0.08571428571428569]",4.052501242236314e-06,0.00036973234542789376,0.6666666666666666,0.3333333333333333,"[-3.952670815024397e-05, 0.00039364320250720084, -0.0003419589906302479]"
M=5 diverse - M=2 diverse,0.0028583623486263996,0.0016805472830045637,0.0,1.0,"[0.0019863670671326633, 0.00479567852392998, 0.0017930414548165546]",0.002597402597402617,0.048104569292083454,0.3333333333333333,0.3333333333333333,"[0.0, 0.051948051948051965, -0.044155844155844115]",6.030909370167435e-05,0.00013687365954612567,0.3333333333333333,0.6666666666666666,"[2.9946900857739846e-05, 0.00020981443072015313, -5.883405047286993e-05]"
M=5 redundant - M=5 diverse,-0.0030998868867533566,0.000868954136510244,1.0,0.0,"[-0.0029844014895844817, -0.004020808960461426, -0.002294450210214162]",0.04242424242424242,0.0691774349971885,0.3333333333333333,0.6666666666666666,"[-0.0025974025974025983, 0.007792207792207795, 0.12207792207792206]",7.846928017406359e-05,0.00020875141959007153,0.3333333333333333,0.6666666666666666,"[1.2907565987868271e-05, -8.963142337391856e-05, 0.00031213169790824107]"
B=64 - B=0,0.001802954245060678,0.003910921594946916,0.3333333333333333,0.6666666666666666,"[0.0008220967365275486, 0.0061109406783659975, -0.0015241746797115124]",-0.5142857142857142,0.22534619456357363,1.0,0.0,"[-0.5584415584415584, -0.2701298701298702, -0.7142857142857142]",-0.004116817176159151,0.0007572909248474189,1.0,0.0,"[-0.004144766899159898, -0.0033459383216752577, -0.004859746307642296]"
