setting,source_count,lambda_reward,condition,seed,method,calibration_budget,calibration_replicate,selected_rank,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution
M2_diverse,2,0.0,confounded,0,pooled_rank0,16,0,0,0.029495963880456118,0.04301416206287815,0.0037666019983396497,0.12987012987012986,0.12987012987012986,0.0003559002571725768,0.0003559002571725768,0.0027404319802288414,0.0010044214063510662,0.011505416024836235,0.4198395036929714
M2_diverse,2,0.0,confounded,0,pooled_rank0,64,0,0,0.02741897498585918,0.041101322928998145,-0.008471465011752641,0.2727272727272727,0.2727272727272727,0.0013855620611931822,0.0013855620611931822,0.0050803942243750014,0.005354984728985014,0.013251966247791458,0.1242120166131843
M2_diverse,2,0.0,confounded,0,pooled_rank0,16,1,0,0.029054420522390354,0.042403145237796064,-0.010279816668499914,0.987012987012987,0.987012987012987,0.0030390934014338667,0.0030390934014338667,0.0030790814725053647,0.006269755787305798,0.0072405946980955704,0.03094136472854002
M2_diverse,2,0.0,confounded,0,pooled_rank0,64,1,0,0.02787123921227333,0.04145251106958179,-0.009605118907432004,0.2597402597402597,0.2597402597402597,0.0013079241023163674,0.0013079241023163674,0.0050355077939180145,0.005219754935081334,0.013251966247791458,0.13158520242782112
M2_diverse,2,0.0,confounded,0,pooled_rank0,16,2,0,0.036551753377562446,0.05002696514658595,-0.01247439147492517,0.37662337662337664,0.37662337662337664,0.0012350231942847949,0.0012350231942847949,0.003279199515859628,0.003341005050118007,0.011505416024836235,0.12098638149226468
M2_diverse,2,0.0,confounded,0,pooled_rank0,64,2,0,0.03072759483447836,0.04352143246790438,-0.014727134609003968,0.2077922077922078,0.2077922077922078,0.0008633031815684024,0.0008633031815684024,0.004154646561297937,0.003683786753405017,0.011505416024836235,0.17308054751295548
M2_diverse,2,0.0,confounded,0,pooled_rank0,16,3,0,0.027329348988138435,0.04147482271327327,0.0034399009930397816,0.16883116883116883,0.16883116883116883,0.0006189339753265141,0.0006189339753265141,0.0036659935461647373,0.0027050973789950923,0.011505416024836235,0.24141668302618155
M2_diverse,2,0.0,confounded,0,pooled_rank0,64,3,0,0.03370575766162362,0.045670238667407395,-0.021486764316147766,0.36363636363636365,0.36363636363636365,0.00192695504599671,0.00192695504599671,0.0052991263764909525,0.005671927372521425,0.014561894727489477,0.09814215247746089
M2_diverse,2,0.0,confounded,0,pooled_rank0,16,4,0,0.03595952226319094,0.048228400349373465,-0.02030084823363626,0.961038961038961,0.961038961038961,0.0029540837605811325,0.0029540837605811325,0.0030738439130371244,0.006269755787305798,0.0072405946980955704,0.03183176409302831
M2_diverse,2,0.0,confounded,0,pooled_rank0,64,4,0,0.032653120312157835,0.04488360198271653,-0.018551278823782838,0.5324675324675324,0.5324675324675324,0.0016216979622008586,0.0016216979622008586,0.0030456278802308808,0.005666962530930242,0.0072405946980955704,0.05798471698777274
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,16,0,1,0.04001597692172902,0.056570240626500415,0.014677932703099219,0.36363636363636365,0.36363636363636365,0.0014143087472674439,0.0014143087472674439,0.003889349054985471,0.005219754935081334,0.011505416024836235,0.1056494825647007
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,64,0,0,0.02635515963051901,0.04005551156616864,-0.007300852236866586,0.44155844155844154,0.44155844155844154,0.0020249438029500267,0.0020249438029500267,0.00458590214197506,0.005536482100515272,0.013251966247791458,0.08499172051727934
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,16,1,0,0.02769251173119368,0.04108991321363496,-0.008605682381016666,0.922077922077922,0.922077922077922,0.0028970067702278686,0.0028970067702278686,0.0031418242437682518,0.006194578235403725,0.0072405946980955704,0.032458915299831415
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,64,1,0,0.026554705602286562,0.040240827183918935,-0.007862483797020087,0.19480519480519481,0.19480519480519481,0.000777045729251654,0.000777045729251654,0.003988834743491824,0.0036234016877320307,0.0066887597653066955,0.11179137426404315
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,16,2,0,0.03386066743645986,0.04709270807685186,-0.010752970835920096,0.3116883116883117,0.3116883116883117,0.0008332599592255744,0.0008332599592255744,0.002673375702515385,0.0028810552404601184,0.00615536485621071,0.09593621107356133
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,64,2,0,0.02929426087152496,0.04226752682867617,-0.013559733088111177,0.18181818181818182,0.18181818181818182,0.0006270151842938189,0.0006270151842938189,0.003448583513616004,0.003083142528157802,0.006226166062848204,0.12895907713714716
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,16,3,0,0.026943412260396024,0.04057686085771321,0.005049582791305924,0.15584415584415584,0.15584415584415584,0.0006082404019273371,0.0006082404019273371,0.00390287591236708,0.0027050973789950923,0.011505416024836235,0.24566106898204035
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,64,3,0,0.032215786605874236,0.044439070565869127,-0.02056727476868819,0.37662337662337664,0.37662337662337664,0.0018708724408656502,0.0018708724408656502,0.0049674888947122435,0.0055081266737810886,0.013251966247791458,0.09199101659966373
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,16,4,0,0.03240683666330016,0.04517884253916883,-0.017572865414641953,0.8571428571428571,0.8571428571428571,0.002537270979533708,0.002537270979533708,0.002960149476122659,0.0061424222195808125,0.0072405946980955704,0.037060959643792475
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,64,4,0,0.03128566273908008,0.044096558398123,-0.017768127891465355,0.5324675324675324,0.5324675324675324,0.0016259211772381922,0.0016259211772381922,0.003053559284081483,0.005666962530930242,0.0072405946980955704,0.05783410579447107
M2_diverse,2,0.0,confounded,0,MSCSC_source_shuffle,16,0,1,0.030565276531913644,0.044490199352751544,0.0020219335439212375,0.2987012987012987,0.2987012987012987,0.0014903432089313094,0.0014903432089313094,0.0049894098733787315,0.005375167094975898,0.013315073235235175,0.11602899787964098
