kappa,lambda_reward,condition,mixture,seed,method,best_validation_nll,best_validation_step,mae,rmse,signed_bias,top_set_disagreement,mean_regret
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,-1.868131399154663,2971,0.014715192091205446,0.020263839027592784,-0.005068419489487021,0.24919093851132687,0.00089448953127864
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,-1.8916616439819336,3000,0.01362215542170274,0.018663659297718762,0.006841582436266978,0.24271844660194175,0.0008309313082942298
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,-1.8996143341064453,2971,0.011753120883886109,0.017649341150588214,0.0009346513142282624,0.1715210355987055,0.0005033433782581747
0.0,0.0,confounded,logger1_heavy,0,per_source_models,-1.8621052503585815,2971,0.01027672463982566,0.01577091715242687,0.0008384235202998288,0.24919093851132687,0.0008801220525833904
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,-1.2561990022659302,2971,0.010991988434313107,0.015614454154449809,-0.0018318636394004705,0.22330097087378642,0.0007574736030740385
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,-1.881014108657837,2941,0.011105966085779436,0.015160571695915864,0.0037301305867274807,0.22006472491909385,0.0007400698039444488
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,-0.9546895027160645,2971,0.011277067775809526,0.016161627636754473,0.0023046588940687806,0.2783171521035599,0.0009737853441942594
0.0,0.0,confounded,logger1_heavy,0,no_behavior,-1.9050129652023315,2971,0.012667707021465578,0.017272229836808466,0.0016799793347171338,0.21035598705501618,0.0007221503426598778
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,-1.2346042394638062,3000,0.014053203618677885,0.019596409835959713,0.008812129652874728,0.2459546925566343,0.000955793136748024
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,-1.8951880931854248,3000,0.013439155773809202,0.018688663896215915,-0.0007166717088325493,0.27184466019417475,0.0009615624102798124
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,-1.9545724391937256,3000,0.011112626820853129,0.016463438424725068,0.0035975246459361734,0.2168284789644013,0.0007033718514818981
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,-1.8458106517791748,3000,0.013375428796880438,0.018574339692588523,0.004871003204599214,0.2815533980582524,0.0009286966150878381
0.0,0.0,confounded,logger1_heavy,1,per_source_models,-1.9009644985198975,3000,0.009935404400587471,0.015790050325664395,-0.002210469357116671,0.18770226537216828,0.0006349803787075272
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,-1.2276108264923096,3000,0.012004430790249628,0.01678992076185972,0.00570560087393244,0.19093851132686085,0.0006473944900778355
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,-1.859344244003296,2971,0.013719708619685226,0.01945693142157116,0.007336850689102308,0.2588996763754045,0.0009964342501115337
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,-0.928799569606781,2911,0.01011809480714318,0.015688810821699577,-0.0005773261116889226,0.23300970873786409,0.000778266926559587
0.0,0.0,confounded,logger1_heavy,1,no_behavior,-1.9199926853179932,3000,0.010315675330603971,0.015505995705668699,0.003901068984189122,0.20388349514563106,0.0007158346573894038
0.0,0.0,confounded,logger1_heavy,1,source_dependent_reward,-1.281970500946045,3000,0.010320567118363615,0.015837682547091506,-0.001843393870293751,0.18770226537216828,0.0005848704286425467
0.0,0.0,confounded,logger1_heavy,2,pooled_mlp,-1.9541664123535156,3000,0.010909933996749815,0.01645373817177476,-0.0009611863320900028,0.23948220064724918,0.0008261002871911174
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,-1.9541925191879272,3000,0.010860888297006576,0.016293533425490277,0.00267547405138817,0.23300970873786409,0.0008703387554489394
