kappa,lambda_reward,condition,mixture,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,0.00089448953127864,0.00089448953127864,0.003589574872274023,0.003646718428060768,0.013251966247791458,0.14432965737987036
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,0.0008309313082942298,0.0008624691074869688,0.0034696996522015815,0.003290298956751588,0.011353203446494042,0.13186922243760812
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,0.0005033433782581747,0.0005033433782581747,0.0029345868656938867,0.002756350797525453,0.0065723846529146535,0.16273288131676608
0.0,0.0,confounded,logger1_heavy,0,per_source_models,0.0008801220525833904,0.0008801220525833904,0.003531918366860619,0.0037039172227502524,0.013251966247791458,0.1480390324244855
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,0.0007574736030740385,0.000758523246454243,0.003442049166909969,0.0031947427926972694,0.013315073235235175,0.15604220700960952
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,0.0007400698039444488,0.0007400698039444488,0.0033629642561593333,0.003232132161211698,0.007581168661232152,0.11601157315191298
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,0.0009737853441942594,0.0009737853441942594,0.003498833387860769,0.0033802435709006312,0.013315073235235175,0.1521059160226596
0.0,0.0,confounded,logger1_heavy,0,no_behavior,0.0007221503426598778,0.0007221503426598778,0.0034329916289523423,0.0030185332767737254,0.013251966247791458,0.17985804412711984
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,0.000955793136748024,0.000955793136748024,0.0038860536744097286,0.0041090020907356365,0.013251966247791458,0.14515327882562515
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,0.0009615624102798124,0.0009615624102798124,0.003537176009243596,0.0038689374434279773,0.012785322566512658,0.13395326316196607
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,0.0007033718514818981,0.0007033718514818981,0.0032439089866851717,0.002965807560945374,0.013315073235235175,0.1883219322917614
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,0.0009286966150878381,0.0009286966150878381,0.0032984741846223214,0.0037444627374894957,0.007441921263924067,0.09615324007091026
0.0,0.0,confounded,logger1_heavy,1,per_source_models,0.0006349803787075272,0.0006349803787075272,0.003382912707252171,0.003232132161211698,0.00748936456819127,0.1437107864023974
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,0.0006473944900778355,0.0006473944900778355,0.003390591481933071,0.002838084501586735,0.013251966247791458,0.1940084161117424
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,0.0009964342501115337,0.0009964342501115337,0.0038487272910557994,0.004429133114892458,0.016470852737632935,0.14473682033779361
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,0.000778266926559587,0.000778266926559587,0.003340062226484894,0.0033628753378181354,0.013251966247791458,0.1328087987635558
0.0,0.0,confounded,logger1_heavy,1,no_behavior,0.0007158346573894038,0.0007158346573894038,0.003510998557671838,0.003192764655500202,0.014126174632168809,0.18782864206675892
0.0,0.0,confounded,logger1_heavy,1,source_dependent_reward,0.0005848704286425467,0.0005848704286425467,0.0031159476284577056,0.002662456742821017,0.010190327602197957,0.18678161710367328
0.0,0.0,confounded,logger1_heavy,2,pooled_mlp,0.0008261002871911174,0.0008261002871911174,0.003449526874892639,0.003232132161211698,0.014334114235150075,0.16411132623604774
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,0.0008703387554489394,0.0008703387554489394,0.003735203825468365,0.0034041829065577273,0.014334114235150075,0.17856389208084647
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,0.0007020714740042374,0.0007020714740042374,0.003556394843726383,0.0034071614799488607,0.007581168661232152,0.1321432830043242
0.0,0.0,confounded,logger1_heavy,2,per_source_models,0.0009680726904922222,0.0009680726904922222,0.003693018041507366,0.003956913139547867,0.014334114235150075,0.15162939281498278
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,0.0006258473461336968,0.0006258473461336968,0.0035161241810056786,0.0031609603647264613,0.010190327602197957,0.15485206103140126
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,0.0009311271228480749,0.0009311271228480749,0.0036886959097442965,0.003875860922243123,0.010190327602197957,0.10950779622101524
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,0.0008139054546191141,0.0008139054546191141,0.003698482139372151,0.0037105450964555857,0.010190327602197957,0.12602296624633685
0.0,0.0,confounded,logger1_heavy,2,no_behavior,0.00070635783278757,0.00070635783278757,0.0034103839114274868,0.003203942084661193,0.010190327602197957,0.1424054403983461
0.0,0.0,confounded,logger1_heavy,2,source_dependent_reward,0.0007749782699784382,0.0007749782699784382,0.003372792752441372,0.0032663596210944926,0.0078077590748883985,0.12576549713657542
