kappa,lambda_reward,condition,mixture,seed,method,split,scope,observational_nll,mae,rmse,signed_bias,logger_id
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,validation,mixture,-2.2175746931068674,0.013900056382813556,0.021384131165278566,-0.003909766848780865,
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,test,mixture,-2.2339538609572456,0.01480399067769291,0.020330549894482398,-0.005114251606350878,
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,test,source,,0.014842048108517393,0.020359073181715176,-0.005133894102443296,0
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,test,source,,0.014842048108517384,0.02035907318171519,-0.005133894102443319,1
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,test,source,,0.014461473800272628,0.020072016409780055,-0.0049374691415190524,2
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,validation,mixture,-2.2411046927851896,0.014221392007388778,0.0213392812947659,0.007358645692816032,
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,test,mixture,-2.2836976529129793,0.013623953690156489,0.018677350956362367,0.006811135527729213,
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,test,source,,0.013624725907926566,0.018683217867572446,0.006798088551511235,0
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,test,source,,0.013624725907926565,0.018683217867572453,0.006798088551511207,1
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,test,source,,0.013617003730225806,0.01862446558929116,0.006928558313691295,2
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,validation,mixture,-2.249057386477966,0.011644901217221136,0.01927351681075182,-0.00017063136381371025,
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,test,mixture,-2.265260021508629,0.012068454858709648,0.018131929974605134,0.0009833410179894337,
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,test,source,,0.012220976430427499,0.01840664147060662,0.0011076894581372547,0
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,test,source,,0.012173411203975896,0.017856158446300497,0.0009792947747482876,1
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,test,source,,0.011621599394966781,0.016996587974861862,-7.400259951832673e-06,2
0.0,0.0,confounded,logger1_heavy,0,per_source_models,validation,mixture,-2.211548425656375,0.012717730426940488,0.020607808492372648,-0.001568141440891679,
0.0,0.0,confounded,logger1_heavy,0,per_source_models,test,mixture,-2.239010154696436,0.012623124350774237,0.01849815198304242,-0.002211636675424767,
0.0,0.0,confounded,logger1_heavy,0,per_source_models,test,source,,0.013195750961527253,0.01913720986090869,-0.004379249509006743,0
0.0,0.0,confounded,logger1_heavy,0,per_source_models,test,source,,0.013970331993949661,0.019837378741603247,0.004278449887973343,1
0.0,0.0,confounded,logger1_heavy,0,per_source_models,test,source,,0.01574408205530035,0.02217618338364637,0.008639179429832953,2
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,validation,mixture,-2.2515871579975677,0.011564886459698236,0.01930203222191905,-0.0028071584972618508,
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,test,mixture,-2.2993993245561093,0.01101466497372713,0.015656976066609634,-0.0018325132946051368,
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,test,source,,0.011024045509831819,0.01567472739660218,-0.0018325546329056662,0
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,test,source,,0.011024058275868418,0.015674728002593005,-0.001832532753356558,1
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,test,source,,0.010930227382748599,0.015496298462159858,-0.001832163129449509,2
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,validation,mixture,-2.230457204882737,0.011523620762935043,0.01898825184569052,0.0035629840861377744,
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,test,mixture,-2.2744661892953717,0.011277188557089339,0.015392934461804168,0.003661216469437256,
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,test,source,,0.01133227322259771,0.015464134337592573,0.0036426552321116206,0
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,test,source,,0.011177427246216292,0.015288114745176036,0.003668260917697395,1
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,test,source,,0.010999467595046757,0.014981941422982632,0.003802661919782241,2
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,validation,mixture,-2.252106993470184,0.010634123696968293,0.019268465306090977,0.001488883359457446,
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,test,mixture,-2.2930426632275633,0.011329291131023657,0.016192082618190315,0.002297466207481069,
