kappa,lambda_reward,condition,seed,method,left_mixture,right_mixture,prediction_mae
0.0,0.0,confounded,2,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,confounded,2,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,confounded,2,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.008302410915642312
0.0,0.0,confounded,2,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.007143869936897299
0.0,0.0,confounded,2,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.006093418362340809
0.0,0.0,confounded,2,per_source_models,logger1_heavy,logger12_balanced,0.005971841968910063
0.0,0.0,confounded,2,per_source_models,logger1_heavy,logger2_heavy,0.007141141998599152
0.0,0.0,confounded,2,per_source_models,logger12_balanced,logger2_heavy,0.005840110447480831
0.0,0.0,confounded,2,mechanism_separated,logger1_heavy,logger12_balanced,0.00913573969303227
0.0,0.0,confounded,2,mechanism_separated,logger1_heavy,logger2_heavy,0.0064708953561612775
0.0,0.0,confounded,2,mechanism_separated,logger12_balanced,logger2_heavy,0.008082168012958992
0.0,0.0,confounded,2,oracle_u_aware,logger1_heavy,logger12_balanced,0.011902979014975817
0.0,0.0,confounded,2,oracle_u_aware,logger1_heavy,logger2_heavy,0.009247732810433257
0.0,0.0,confounded,2,oracle_u_aware,logger12_balanced,logger2_heavy,0.007919615320562528
0.0,0.0,confounded,2,source_shuffle,logger1_heavy,logger12_balanced,0.007752439673742209
0.0,0.0,confounded,2,source_shuffle,logger1_heavy,logger2_heavy,0.00960562465104435
0.0,0.0,confounded,2,source_shuffle,logger12_balanced,logger2_heavy,0.00799340835370873
0.0,0.0,confounded,2,no_behavior,logger1_heavy,logger12_balanced,0.008171940638700591
0.0,0.0,confounded,2,no_behavior,logger1_heavy,logger2_heavy,0.0073729895527749785
0.0,0.0,confounded,2,no_behavior,logger12_balanced,logger2_heavy,0.005714973065896157
0.0,0.0,confounded,2,source_dependent_reward,logger1_heavy,logger12_balanced,0.006541522966807892
0.0,0.0,confounded,2,source_dependent_reward,logger1_heavy,logger2_heavy,0.00922892266246713
0.0,0.0,confounded,2,source_dependent_reward,logger12_balanced,logger2_heavy,0.00700218623031994
0.0,0.0,confounded,3,pooled_mlp,logger1_heavy,logger12_balanced,0.009344109666216878
0.0,0.0,confounded,3,pooled_mlp,logger1_heavy,logger2_heavy,0.008782567421979295
0.0,0.0,confounded,3,pooled_mlp,logger12_balanced,logger2_heavy,0.006298255351052424
0.0,0.0,confounded,3,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,confounded,3,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,confounded,3,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,confounded,3,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.010074889786153233
0.0,0.0,confounded,3,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.01050077833323589
0.0,0.0,confounded,3,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.009728993321091211
0.0,0.0,confounded,3,per_source_models,logger1_heavy,logger12_balanced,0.006878896340475266
0.0,0.0,confounded,3,per_source_models,logger1_heavy,logger2_heavy,0.005091460259148752
0.0,0.0,confounded,3,per_source_models,logger12_balanced,logger2_heavy,0.005831468582576823
0.0,0.0,confounded,3,mechanism_separated,logger1_heavy,logger12_balanced,0.010627622148138343
0.0,0.0,confounded,3,mechanism_separated,logger1_heavy,logger2_heavy,0.008458342696753123
0.0,0.0,confounded,3,mechanism_separated,logger12_balanced,logger2_heavy,0.008914405447458518
0.0,0.0,confounded,3,oracle_u_aware,logger1_heavy,logger12_balanced,0.006653978325611622
0.0,0.0,confounded,3,oracle_u_aware,logger1_heavy,logger2_heavy,0.011756055014998061
