kappa,lambda_reward,condition,mixture,seed,method,top_set_disagreement,strict_flip,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus,estimated_first_nonzero_grid_dose
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,0.24919093851132687,0.24919093851132687,0.6731391585760518,0.11650485436893204,0.21035598705501618,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,0.24271844660194175,0.23948220064724918,0.6796116504854369,0.11650485436893204,0.20711974110032363,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,0.1715210355987055,0.1715210355987055,0.7443365695792881,0.04854368932038835,0.20711974110032363,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,per_source_models,0.24919093851132687,0.24919093851132687,0.6601941747572816,0.061488673139158574,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,0.22330097087378642,0.22006472491909385,0.6925566343042071,0.0970873786407767,0.21359223300970873,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,0.22006472491909385,0.22006472491909385,0.6925566343042071,0.07119741100323625,0.23624595469255663,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,0.2783171521035599,0.2783171521035599,0.6343042071197411,0.10355987055016182,0.2621359223300971,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,no_behavior,0.21035598705501618,0.21035598705501618,0.6990291262135923,0.07119741100323625,0.2297734627831715,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,0.2459546925566343,0.2459546925566343,0.6666666666666666,0.05825242718446602,0.2750809061488673,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,0.27184466019417475,0.27184466019417475,0.6407766990291263,0.08090614886731391,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,0.2168284789644013,0.2168284789644013,0.6957928802588996,0.08737864077669903,0.2168284789644013,0.9029126213592233,0.006472491909385114,0.09061488673139159,
