kappa,lambda_reward,condition,mixture,seed,method,action,anchor_id,prediction,mae,rmse,signed_bias
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,all,,,0.014715192091205446,0.020263839027592784,-0.005068419489487021
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,minus,,,0.01458621803725609,0.020213178038625882,-0.004929404436267892
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,base,,,0.014461471258647121,0.020072011079365373,-0.004937465630845706
0.0,0.0,confounded,logger1_heavy,0,pooled_mlp,plus,,,0.015097886977713127,0.020503934286307677,-0.005338388401347464
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,all,,,0.01362215542170274,0.018663659297718762,0.006841582436266978
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,minus,,,0.013170243735224246,0.018330732627088616,0.0061850733603279985
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,base,,,0.013617007861429798,0.018624470393780027,0.006928562971921305
0.0,0.0,confounded,logger1_heavy,0,source_balanced_pooled_mlp,plus,,,0.01407921466845418,0.019029184928666072,0.00741111097655163
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,all,,,0.011753120883886109,0.017649341150588214,0.0009346513142282624
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,minus,,,0.012041495436311885,0.01820284652114995,0.0008355609505187169
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,base,,,0.011680138547671016,0.017537197698715444,0.0009260169031893596
0.0,0.0,confounded,logger1_heavy,0,source_conditioned_decoder,plus,,,0.011537728667675424,0.017193045237920142,0.001042376088976711
0.0,0.0,confounded,logger1_heavy,0,per_source_models,all,,,0.01027672463982566,0.01577091715242687,0.0008384235202998288
0.0,0.0,confounded,logger1_heavy,0,per_source_models,minus,,,0.010240146428895503,0.015795650693227945,-0.0001948935767863896
0.0,0.0,confounded,logger1_heavy,0,per_source_models,base,,,0.010174788223894326,0.015681127616697977,0.0008275437828023596
0.0,0.0,confounded,logger1_heavy,0,per_source_models,plus,,,0.010415239266687151,0.015835565646117458,0.0018826203548835162
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,all,,,0.010991988434313107,0.015614454154449809,-0.0018318636394004705
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,minus,,,0.01101584779622738,0.015514652277172422,-0.002111918741101484
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,base,,,0.010928847076091649,0.015494483366550916,-0.0018310465398144113
0.0,0.0,confounded,logger1_heavy,0,mechanism_separated,plus,,,0.011031270430620296,0.015831932464053466,-0.0015526256372855166
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,all,,,0.011105966085779436,0.015160571695915864,0.0037301305867274807
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,minus,,,0.011133863090232083,0.015383996849900333,0.0030742634157345508
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,base,,,0.010999468130573216,0.014981940986270911,0.00380265982017856
0.0,0.0,confounded,logger1_heavy,0,oracle_u_aware,plus,,,0.011184567036533009,0.015113003925334236,0.004313468524269332
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,all,,,0.011277067775809526,0.016161627636754473,0.0023046588940687806
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,minus,,,0.011109557092237163,0.01580427754946401,0.001171659399711858
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,base,,,0.011128534566030855,0.016074351529873743,0.002326001422193316
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,plus,,,0.011593111669160567,0.016596224198319066,0.0034163158603011667
0.0,0.0,confounded,logger1_heavy,0,no_behavior,all,,,0.012667707021465578,0.017272229836808466,0.0016799793347171338
0.0,0.0,confounded,logger1_heavy,0,no_behavior,minus,,,0.01253772131901786,0.017241072975154238,0.0010715027058494234
0.0,0.0,confounded,logger1_heavy,0,no_behavior,base,,,0.01267044335477672,0.01711885465418617,0.0017373600492747061
0.0,0.0,confounded,logger1_heavy,0,no_behavior,plus,,,0.012794956390602148,0.01745508489239925,0.002231075249027272
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,all,,,0.014053203618677885,0.019596409835959713,0.008812129652874728
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,minus,,,0.013688946685101608,0.019609310919101376,0.007814271066590434
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,base,,,0.013969273513833034,0.019467609420402685,0.008784867695459136
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,plus,,,0.014501390657099014,0.019711543422810812,0.009837250196574616
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,all,,,0.013439155773809202,0.018688663896215915,-0.0007166717088325493
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,minus,,,0.013420372147623646,0.018595995352156374,-0.0018722535410703
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,base,,,0.01336682928906293,0.018596394675364208,-0.0006457175061118571
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,plus,,,0.013530265884741028,0.0188722424904365,0.00036795592068450937
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,all,,,0.011112626820853129,0.016463438424725068,0.0035975246459361734
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,minus,,,0.010774400846813904,0.016008052388920755,0.0033417056105292066
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,base,,,0.010970062901176268,0.01627590580715497,0.003673467231078016
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,plus,,,0.011593416714569213,0.017087175400408605,0.0037774010962012983
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,all,,,0.013375428796880438,0.018574339692588523,0.004871003204599214
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,minus,,,0.012923446610011597,0.018398681230756254,0.003412348305701914
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,base,,,0.013272471591049955,0.018433769346424985,0.004867163774077472
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,plus,,,0.013930368189579769,0.01888658152495652,0.006333497534018257
0.0,0.0,confounded,logger1_heavy,1,per_source_models,all,,,0.009935404400587471,0.015790050325664395,-0.002210469357116671
0.0,0.0,confounded,logger1_heavy,1,per_source_models,minus,,,0.009830087869261065,0.01575376609204548,-0.0023840213069540434
0.0,0.0,confounded,logger1_heavy,1,per_source_models,base,,,0.009789396896729613,0.015675998408625134,-0.002186336188476779
0.0,0.0,confounded,logger1_heavy,1,per_source_models,plus,,,0.010186728435771729,0.01593922820185918,-0.0020610505759191895
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,all,,,0.012004430790249628,0.01678992076185972,0.00570560087393244
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,minus,,,0.012372470338104333,0.017306452448913923,0.0063150897529970565
