kappa,lambda_reward,condition,mixture,seed,method,diagnostic,latent,value,posterior_entropy,reward_mode_separation,latent_collapse,logger_id,action
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,behavior_probability,1,0.10046636313199997,0.12006168812513351,0.005864653270691633,False,2,base
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,behavior_probability,1,0.4484497606754303,0.12006168812513351,0.005864653270691633,False,2,plus
0.0,0.0,confounded,logger1_heavy,0,no_behavior,prior,0,0.6086860299110413,0.6693321466445923,0.004505721852183342,False,,
0.0,0.0,confounded,logger1_heavy,0,no_behavior,prior,1,0.39131399989128113,0.6693321466445923,0.004505721852183342,False,,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,prior,0,0.006824210286140442,0.04083509370684624,0.0067365276627242565,True,,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,prior,1,0.9931758046150208,0.04083509370684624,0.0067365276627242565,True,,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.4331496059894562,0.04083509370684624,0.0067365276627242565,True,0,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.13109584152698517,0.04083509370684624,0.0067365276627242565,True,0,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.4357545077800751,0.04083509370684624,0.0067365276627242565,True,0,plus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.48785024881362915,0.04083509370684624,0.0067365276627242565,True,0,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.018422765657305717,0.04083509370684624,0.0067365276627242565,True,0,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.49372702836990356,0.04083509370684624,0.0067365276627242565,True,0,plus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.43231481313705444,0.04083509370684624,0.0067365276627242565,True,1,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.13133996725082397,0.04083509370684624,0.0067365276627242565,True,1,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.43634524941444397,0.04083509370684624,0.0067365276627242565,True,1,plus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.4896645247936249,0.04083509370684624,0.0067365276627242565,True,1,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.01778046041727066,0.04083509370684624,0.0067365276627242565,True,1,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.4925549626350403,0.04083509370684624,0.0067365276627242565,True,1,plus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.181924507021904,0.04083509370684624,0.0067365276627242565,True,2,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.6361510157585144,0.04083509370684624,0.0067365276627242565,True,2,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,0,0.181924507021904,0.04083509370684624,0.0067365276627242565,True,2,plus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.021237170323729515,0.04083509370684624,0.0067365276627242565,True,2,minus
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.9575256109237671,0.04083509370684624,0.0067365276627242565,True,2,base
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,behavior_probability,1,0.021237170323729515,0.04083509370684624,0.0067365276627242565,True,2,plus
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,prior,0,0.0066985152661800385,0.04020789638161659,0.0073282187804579735,True,,
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,prior,1,0.993301510810852,0.04020789638161659,0.0073282187804579735,True,,
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,0,0.4351816177368164,0.04020789638161659,0.0073282187804579735,True,0,minus
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,0,0.1317320615053177,0.04020789638161659,0.0073282187804579735,True,0,base
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,0,0.4330863058567047,0.04020789638161659,0.0073282187804579735,True,0,plus
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,1,0.49003416299819946,0.04020789638161659,0.0073282187804579735,True,0,minus
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,1,0.018259333446621895,0.04020789638161659,0.0073282187804579735,True,0,base
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,1,0.4917065501213074,0.04020789638161659,0.0073282187804579735,True,0,plus
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,behavior_probability,0,0.4338992238044739,0.04020789638161659,0.0073282187804579735,True,1,minus
