action,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean
minus,2048,1344,0.171875,0.008632787037568273,0.009546116725930693,0.6010769869141681,0.6164274548152139
base,2048,1400,0.175537109375,0.0,0.0,0.0,0.0
plus,2048,1238,0.19775390625,0.009337542211050282,0.008187357600578442,0.5990238535689782,0.6353788692795722
