metric,all_anchors,strict_unclipped_anchors,any_clipping_anchors
n_anchors,2048,831,1217
mean_do_action_gap,0.007544698965330764,0.006967665420273261,0.007938712832169537
mean_max_mixture_drift,0.009938403998131503,0.008892029730895385,0.010652896205258219
drift_over_action_gap,1.3172697868795349,1.2761849478338834,1.3418921216157575
drift_greater_than_action_gap_fraction,0.9990234375,1.0,0.9983566146261298
logger1_vs_logger2_disagreement,0.9716796875,0.9915764139590855,0.9580936729663106
strict_flip_fraction,0.9716796875,0.9915764139590855,0.9580936729663106
logger1_minus_top_fraction,0.8388671875,0.9290012033694344,0.7773212818405916
logger2_plus_top_fraction,0.88232421875,0.9169675090252708,0.8586688578471652
