family,subset,metric,action,condition,mixture,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_valid_repetitions,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean,all_anchors,strict_unclipped_anchors,any_clipping_anchors
action_specific,all,reward_u_effect_abs,minus,do_oracle,none,anchor_id,2000,0,2048,0.01109929761973064,0.007136595506146016,0.009182833394077772,0.0024615906891695795,0.005686530734765327,0.018170507207231124,0.02065285230936524,0.031816502130064706,0.010794322972572186,0.011412063791596589,,,,,,,,,,,
action_specific,all,delta_u_effect_l2,minus,do_oracle,none,anchor_id,2000,0,2048,0.7728132688896447,0.13388959917689394,0.7779302054522226,0.5810654579827305,0.724540839354764,0.8772199500054934,0.9425138634756751,1.211079231349298,0.7668652512731277,0.7786755335486947,,,,,,,,,,,
action_specific,all,reward_drift,minus,confounded,heavy_contrast,anchor_id,2000,0,2048,0.008632787037568273,0.005550685393669133,0.007142203750949205,0.001914570536021021,0.004422857238150613,0.014132616716735491,0.0160633295739506,0.024746168323383166,0.008395584534222815,0.008876049615686235,,,,,,,,,,,
action_specific,all,reward_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,0,2048,6.830473686658678e-18,1.700842187892873e-16,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-15,8.673617379884035e-19,1.5178830414797062e-17,,,,,,,,,,,
action_specific,all,delta_drift,minus,confounded,heavy_contrast,anchor_id,2000,0,2048,0.6010769869141681,0.10413635491536195,0.6050568264628398,0.45193980065323475,0.563531763942594,0.6822821833376059,0.7330663382588584,0.9419505132716764,0.5964507509902103,0.6056365260934292,,,,,,,,,,,
action_specific,all,delta_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,0,2048,1.4122910382090118e-16,1.8115889822607477e-16,1.1102569054260746e-16,7.152448122690996e-18,1.9634839590475577e-17,2.220467225037644e-16,3.1526409897933875e-16,9.425919751379393e-16,1.3334444576480343e-16,1.4925164043509824e-16,,,,,,,,,,,
action_specific,all,reward_7_over_9_identity_residual_abs,minus,confounded,heavy_contrast,anchor_id,2000,0,2048,1.6936405913248504e-16,2.7329663291171507e-16,1.474514954580286e-16,1.214306433183765e-17,4.9439619065339e-17,2.463307335887066e-16,3.452099717193846e-16,1.0757020274532181e-14,1.595452401384595e-16,1.8336661042665476e-16,,,,,,,,,,,
action_specific,all,delta_7_over_9_identity_residual_l2,minus,confounded,heavy_contrast,anchor_id,2000,0,2048,1.4700149470157722e-16,1.1469146351860753e-16,1.1453259294655837e-16,5.680423181437198e-17,7.901729567234825e-17,1.779852442741619e-16,2.7934728530188246e-16,9.890385315069141e-16,1.4172693142390303e-16,1.5202466500372108e-16,,,,,,,,,,,
action_specific,all,reward_do_error_abs,minus,confounded,logger1_heavy,anchor_id,2000,0,2048,0.004316393518784007,0.0027753426968345684,0.0035711018754744916,0.0009572852680112654,0.0022114286190750843,0.0070663083583676345,0.008031664786974702,0.012373084161692027,0.004197792267111282,0.004438024807842998,,,,,,,,,,,
action_specific,all,delta_do_error_l2,minus,confounded,logger1_heavy,anchor_id,2000,0,2048,0.30053849345708405,0.052068177457680984,0.3025284132314199,0.22596990032661732,0.28176588197129687,0.3411410916688029,0.3665331691294291,0.47097525663583834,0.29822537549510514,0.3028182630467146,,,,,,,,,,,
action_specific,all,reward_do_error_abs,minus,confounded,logger12_midpoint,anchor_id,2000,0,2048,4.445228907190568e-18,1.5889091743144487e-16,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,2.168404344971009e-19,1.214306433183765e-17,,,,,,,,,,,
action_specific,all,delta_do_error_l2,minus,confounded,logger12_midpoint,anchor_id,2000,0,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_do_error_abs,minus,confounded,logger2_heavy,anchor_id,2000,0,2048,0.0043163935187842655,0.0027753426968345654,0.0035711018754747137,0.0009572852680097554,0.0022114286190755283,0.0070663083583678565,0.0080316647869759,0.012373084161691139,0.004197792267111527,0.004438024807843235,,,,,,,,,,,
action_specific,all,delta_do_error_l2,minus,confounded,logger2_heavy,anchor_id,2000,0,2048,0.30053849345708405,0.05206817745768096,0.3025284132314199,0.22596990032661743,0.28176588197129715,0.341141091668803,0.3665331691294292,0.47097525663583806,0.2982253754951052,0.3028182630467146,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_u_effect_abs,minus,do_oracle,none,anchor_id,2000,1,1344,0.012273578647625186,0.007048813448499307,0.009604876259184492,0.004619960423011849,0.006626904185665916,0.018913465176580324,0.02132967890161153,0.03096215646030931,0.011890614547727583,0.012655100254453284,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_u_effect_l2,minus,do_oracle,none,anchor_id,2000,1,1344,0.7925495847624178,0.12411251464516372,0.7779940297059658,0.6703139334634979,0.7293895556261835,0.9387328181138266,0.9433282203450281,1.211079231349298,0.7858062483864632,0.7992208035276788,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_drift,minus,confounded,heavy_contrast,anchor_id,2000,1,1344,0.009546116725930693,0.005482410459943925,0.007470459312699074,0.0035933025512314924,0.005154258811073675,0.014710472915118178,0.01658975025680909,0.02408167724690724,0.009248255759343665,0.009842855753463659,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,1,1344,7.93016446160826e-18,2.0549680890362987e-16,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,1.9825411154020653e-17,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_drift,minus,confounded,heavy_contrast,anchor_id,2000,1,1344,0.6164274548152139,0.09653195583512733,0.6051064675490845,0.5213552815827205,0.5673029877092537,0.7301255251996428,0.7336997269350217,0.9419505132716764,0.6111826376339161,0.621616180521528,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,1,1344,1.1929991022736865e-16,1.7168816749505046e-16,5.791205420773616e-17,6.970968411480961e-18,1.5617404362680816e-17,1.2432126964100906e-16,2.4866003201409223e-16,9.244269624908165e-16,1.0990306004223878e-16,1.2834922466055497e-16,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_7_over_9_identity_residual_abs,minus,confounded,heavy_contrast,anchor_id,2000,1,1344,1.6824944160765506e-16,3.15711888374071e-16,1.474514954580286e-16,2.42861286636753e-17,4.9439619065339e-17,2.463307335887066e-16,3.452099717193846e-16,1.0757020274532181e-14,1.5518152569746554e-16,1.8913477836486939e-16,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_7_over_9_identity_residual_l2,minus,confounded,heavy_contrast,anchor_id,2000,1,1344,1.3312563405496816e-16,1.1114147592665708e-16,1.0008870752522445e-16,5.605540118908202e-17,7.852321354633621e-17,1.5940433962738505e-16,2.4452252671672464e-16,9.890385315069141e-16,1.271560994045764e-16,1.3919694168684068e-16,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,minus,confounded,logger1_heavy,anchor_id,2000,1,1344,0.004773058362965189,0.002741205229971974,0.003735229656349315,0.001796651275615302,0.002577129405536782,0.007355236457558756,0.008294875128404168,0.01204083862345362,0.004624127879671669,0.004921427876731667,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,minus,confounded,logger1_heavy,anchor_id,2000,1,1344,0.30821372740760694,0.048265977917563666,0.3025532337745422,0.26067764079136024,0.28365149385462685,0.36506276259982134,0.3668498634675109,0.47097525663583834,0.305591318816958,0.310808090260764,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,minus,confounded,logger12_midpoint,anchor_id,2000,1,1344,5.617199826972518e-18,1.9418559724701113e-16,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,1.7182023000151233e-17,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,minus,confounded,logger12_midpoint,anchor_id,2000,1,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,minus,confounded,logger2_heavy,anchor_id,2000,1,1344,0.004773058362965504,0.002741205229971952,0.003735229656349759,0.0017966512756161903,0.002577129405536893,0.007355236457559422,0.008294875128404922,0.01204083862345362,0.004624127879671991,0.004921427876731993,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,minus,confounded,logger2_heavy,anchor_id,2000,1,1344,0.30821372740760694,0.048265977917563666,0.30255323377454224,0.2606776407913603,0.2836514938546269,0.3650627625998215,0.3668498634675109,0.47097525663583806,0.30559131881695806,0.310808090260764,,,,,,,,,,,
