kappa,lambda_reward,condition,mixture,seed,method,bank_scope,calibration_replicate,calibration_budget,candidate_weight_entropy,selected_candidate_oracle_rank,gap_to_oracle_best_candidate,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus,gap_closed_do_mae,gap_closed_rank_error,gap_closed_regret
0.0,0.0,confounded,logger12_balanced,-1,public_residual_init_intervention_calibrated,global,0,0,3.9120230054281455,25,0.0024146253251358125,0.012155352564679311,0.0160764678994354,0.008409295844960668,0.20388349514563106,0.20388349514563106,0.0007653072170663477,0.0007653072170663477,0.003753649683706372,0.0034615912988604325,0.013251966247791458,0.17551534832385213,0.7087378640776699,0.042071197411003236,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159,-2.306586625234448,1.365853658536585,0.8030223710304948
0.0,0.0,confounded,logger12_balanced,0,public_residual_init_intervention_calibrated,within_seed,0,0,2.3025850929940455,7,0.0006659854438311637,0.011076595634475205,0.01585610658317283,-0.0017710118698387894,0.32362459546925565,0.32362459546925565,0.0012907355409190187,0.0012907355409190187,0.003988372821439767,0.005123392236672063,0.013251966247791458,0.12615076049955198,0.5922330097087378,0.11003236245954692,0.2977346278317152,0.9029126213592233,0.006472491909385114,0.09061488673139159,1.0034043034626792,-3.146341463414631,-5.346023100651108
0.0,0.0,confounded,logger12_balanced,1,public_residual_init_intervention_calibrated,within_seed,0,0,2.3025850929940455,9,0.0018924885586493207,0.01163321579819282,0.016722062089585495,-0.00022620293778308412,0.2750809061488673,0.2750809061488673,0.0011110664684137739,0.0011110664684137739,0.004039053396939484,0.0042369118699525634,0.015054098040339525,0.14771384781113908,0.6440129449838188,0.09061488673139159,0.26537216828478966,0.9029126213592233,0.006472491909385114,0.09061488673139159,-0.7044945206835735,-1.3170731707317065,-3.2433703761295596
0.0,0.0,confounded,logger12_balanced,2,public_residual_init_intervention_calibrated,within_seed,0,0,2.3025850929940455,8,0.0019800701631120746,0.012911351369980636,0.019367635015081403,-0.005273320571580219,0.2977346278317152,0.2977346278317152,0.0011756881081843957,0.0011756881081843957,0.003948778537271503,0.0046214299613011696,0.01417503823033428,0.11679156214278583,0.627831715210356,0.08414239482200647,0.28802588996763756,0.9029126213592233,0.006472491909385114,0.09061488673139159,-4.6262465204249175,-2.170731707317072,-3.999632235959562
0.0,0.0,confounded,logger12_balanced,3,public_residual_init_intervention_calibrated,within_seed,0,0,2.3025850929940455,8,0.00038545972526371486,0.010328778258625616,0.015693205151477513,0.00130319348660948,0.32362459546925565,0.32362459546925565,0.0012129045688955076,0.0012129045688955076,0.0037478751178871184,0.004742686963784059,0.009398899416996898,0.08802599716608736,0.6019417475728155,0.1262135922330097,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,3.297960807415701,-3.146341463414631,-4.435173486438185
0.0,0.0,confounded,logger12_balanced,4,public_residual_init_intervention_calibrated,within_seed,0,0,2.3025850929940455,2,0.0321962889149986,0.049873590842027485,0.05319855817485498,0.048013821117396493,0.2912621359223301,0.2912621359223301,0.0012959304377679554,0.0012959304377679554,0.00444936116966998,0.004760108451610987,0.014126174632168809,0.12743217238737814,0.6343042071197411,0.0744336569579288,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,-118.03889206760826,-1.9268292682926806,-5.4068185612204624
0.0,0.0,confounded,logger12_balanced,-1,public_residual_init_intervention_calibrated,global,0,8,3.5356766546838774,19,-0.0010356364714921799,0.008705090768051319,0.014046654580336803,0.001405565256300366,0.22330097087378642,0.22330097087378642,0.000792984527087728,0.000792984527087728,0.0035511915778276516,0.0032734138230290787,0.010482394787229232,0.14233106749852842,0.6893203883495146,0.061488673139158574,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159,8.279982905594075,0.634146341463414,0.47911703488988483
0.0,0.0,confounded,logger12_balanced,0,public_residual_init_intervention_calibrated,within_seed,0,8,2.0609056378699675,6,-3.2194458423178904e-05,0.010378415732220862,0.015454267523016978,-0.0004258299599531912,0.32362459546925565,0.32362459546925565,0.0012639955907239678,0.0012639955907239678,0.0039057463753370603,0.005123392236672063,0.013251966247791458,0.12446694211571219,0.5922330097087378,0.11003236245954692,0.2977346278317152,0.9029126213592233,0.006472491909385114,0.09061488673139159,3.1456562587973003,-3.146341463414631,-5.033087611269355
0.0,0.0,confounded,logger12_balanced,1,public_residual_init_intervention_calibrated,within_seed,0,8,2.066968411969714,5,8.575532699216931e-05,0.009826482566535668,0.015286958956375331,-0.00028832325294679247,0.2686084142394822,0.2686084142394822,0.0010764576627813433,0.0010764576627813433,0.004007535154210062,0.0042369118699525634,0.015054098040339525,0.15246294294499252,0.6440129449838188,0.0970873786407767,0.2588996763754045,0.9029126213592233,0.006472491909385114,0.09061488673139159,4.839173788570594,-1.0731707317073151,-2.8383463035900713
0.0,0.0,confounded,logger12_balanced,2,public_residual_init_intervention_calibrated,within_seed,0,8,2.1326531688468635,1,0.0006042075574829702,0.011535488764351532,0.01856305510781503,0.0005617027388998969,0.29449838187702265,0.29449838187702265,0.0011606943638050933,0.0011606943638050933,0.003941258883689823,0.0046214299613011696,0.01417503823033428,0.1183002649357309,0.6310679611650486,0.08737864077669903,0.2815533980582524,0.9029126213592233,0.006472491909385114,0.09061488673139159,-0.40463494486426727,-2.0487804878048763,-3.824161649785086
