kappa,lambda_reward,condition,mixture,seed,bank_scope,calibration_replicate,calibration_budget,selection,tied_candidate_count,selected_candidate_oracle_rank,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,0.0,confounded,logger12_balanced,-1,global,0,0,hard_exact_argmax,50,1,0.012155352564679311,0.0160764678994354,0.008409295844960668,0.20388349514563106,0.20388349514563106,0.0007653072170663477,0.0007653072170663477,0.003753649683706372,0.0034615912988604325,0.013251966247791458,0.17551534832385213,0.7087378640776699,0.042071197411003236,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,0,within_seed,0,0,hard_exact_argmax,10,1,0.011076595634475205,0.01585610658317283,-0.0017710118698387894,0.32362459546925565,0.32362459546925565,0.0012907355409190187,0.0012907355409190187,0.003988372821439767,0.005123392236672063,0.013251966247791458,0.12615076049955198,0.5922330097087378,0.11003236245954692,0.2977346278317152,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,1,within_seed,0,0,hard_exact_argmax,10,1,0.01163321579819282,0.016722062089585495,-0.00022620293778308412,0.2750809061488673,0.2750809061488673,0.0011110664684137739,0.0011110664684137739,0.004039053396939484,0.0042369118699525634,0.015054098040339525,0.14771384781113908,0.6440129449838188,0.09061488673139159,0.26537216828478966,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,2,within_seed,0,0,hard_exact_argmax,10,1,0.012911351369980636,0.019367635015081403,-0.005273320571580219,0.2977346278317152,0.2977346278317152,0.0011756881081843957,0.0011756881081843957,0.003948778537271503,0.0046214299613011696,0.01417503823033428,0.11679156214278583,0.627831715210356,0.08414239482200647,0.28802588996763756,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,3,within_seed,0,0,hard_exact_argmax,10,1,0.010328778258625616,0.015693205151477513,0.00130319348660948,0.32362459546925565,0.32362459546925565,0.0012129045688955076,0.0012129045688955076,0.0037478751178871184,0.004742686963784059,0.009398899416996898,0.08802599716608736,0.6019417475728155,0.1262135922330097,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,4,within_seed,0,0,hard_exact_argmax,10,1,0.049873590842027485,0.05319855817485498,0.048013821117396493,0.2912621359223301,0.2912621359223301,0.0012959304377679554,0.0012959304377679554,0.00444936116966998,0.004760108451610987,0.014126174632168809,0.12743217238737814,0.6343042071197411,0.0744336569579288,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,-1,global,0,8,hard_exact_argmax,2,19,0.010931281206868562,0.017572342844110453,0.0011191817588371343,0.27184466019417475,0.27184466019417475,0.001080214466751095,0.001080214466751095,0.003973646074120099,0.004452103047883859,0.01417503823033428,0.13920592658695335,0.6472491909385113,0.08414239482200647,0.2686084142394822,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,0,within_seed,0,8,hard_exact_argmax,1,6,0.010775206399281987,0.015970199820757768,0.0017536249392785786,0.3106796116504854,0.3106796116504854,0.001220822715110479,0.001220822715110479,0.003929523114261854,0.00486377146017611,0.013251966247791458,0.12886856058450571,0.6084142394822006,0.10355987055016182,0.28802588996763756,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,1,within_seed,0,8,hard_exact_argmax,1,5,0.010412014794755333,0.01585883557644277,0.00032436393708118477,0.27184466019417475,0.27184466019417475,0.0010881565585606756,0.0010881565585606756,0.004002861626133914,0.0042369118699525634,0.015054098040339525,0.15082379638497637,0.6440129449838188,0.09385113268608414,0.2621359223300971,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,2,within_seed,0,8,hard_exact_argmax,2,1,0.010931281206868562,0.017572342844110453,0.0011191817588371343,0.27184466019417475,0.27184466019417475,0.001080214466751095,0.001080214466751095,0.003973646074120099,0.004452103047883859,0.01417503823033428,0.13920592658695335,0.6472491909385113,0.08414239482200647,0.2686084142394822,0.9029126213592233,0.006472491909385114,0.09061488673139159
