kappa,lambda_reward,condition,method,comparator,metric,n_model_seeds,paired_difference_mean,paired_difference_sd,ci95_low,ci95_high,exact_two_sided_sign_flip_p,inferential_unit
0.0,0.01,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.06666666666666668,0.044172089965348854,-0.1215047677341106,-0.011828565599222754,0.0625,model_seed
0.0,0.01,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.0004741450175035365,0.00042029140383817557,-0.0009959220604176468,4.7632025410573636e-05,0.0625,model_seed
0.0,0.01,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,do_mae,5,-0.0001463049872997075,0.0010314857293333638,-0.0014268583575201739,0.0011342483829207587,0.875,model_seed
0.0,0.01,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,top_set_disagreement,5,0.17864077669902909,0.08000795930284764,0.07931370021495743,0.27796785318310074,0.0625,model_seed
0.0,0.01,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,mean_regret,5,0.0013383934761867764,0.000613537829089636,0.0005767077713285531,0.0021000791810449997,0.0625,model_seed
0.0,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.0007818936821166918,0.001792040392054373,-0.0014428616376680383,0.003006649001901422,0.3125,model_seed
0.0,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.062135922330097106,0.0772778671338456,-0.03380184044016533,0.15807368510035955,0.1875,model_seed
0.0,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00033743549410221875,0.000352271341225775,-9.989702578663297e-05,0.0007747680139910705,0.125,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0007596185405000375,0.0007028400303315945,-0.0016321697973639133,0.0001129327163638382,0.125,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.05566343042071198,0.029072226124887655,-0.09175557991472069,-0.019571280926703266,0.0625,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.0005970374501393632,0.0003243354117416241,-0.0009996884929763796,-0.0001943864073023468,0.0625,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,do_mae,5,0.0018516514078296422,0.0019896642360840823,-0.0006184469858449442,0.004321749801504229,0.125,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,top_set_disagreement,5,0.35857605177993523,0.0853289501497838,0.2526431517074364,0.46450895185243407,0.0625,model_seed
0.0,0.02,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,mean_regret,5,0.0032689661777323665,0.0005523156133557798,0.0025832857073246687,0.003954646648140064,0.0625,model_seed
0.0,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.000422773680721367,0.001503566980476092,-0.002289399373589876,0.0014438520121471423,0.5625,model_seed
0.0,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.05954692556634304,0.06487038669445597,-0.020987385230935338,0.1400812363636214,0.125,model_seed
0.0,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.000366628758198851,0.00027440568189702677,2.596372448289018e-05,0.0007072937919148118,0.125,model_seed
