kappa,lambda_reward,condition,mixture,seed,method,validation_nll,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus,prior_p_z1,reward_mode_separation,behavior_separation,posterior_entropy,posterior_effective_usage,latent_collapse,behavior_table_mae,label_permutation,posterior_u_accuracy,posterior_label_flipped,gap_closed_do_mae,gap_closed_rank_error,gap_closed_regret
0.0,0.0,confounded,logger12_balanced,0,source_shuffle_initialization,-1.2997260093688965,0.010329883908354466,0.015433070950900789,0.0007642288314133858,0.30097087378640774,0.30097087378640774,0.0011470061796245816,0.0011470061796245816,0.0038110205323010297,0.00483819336029496,0.012391259752272621,0.11817108988414401,0.6148867313915858,0.11326860841423948,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.17148147523403168,0.009305231669785897,0.036161426454782486,0.4315272271633148,1.5396070586755124,False,0.3496296241051621,"(1, 0)",0.5,False,14.298549998460905,-1.5454545454545454,-6.7413031034395665
0.0,0.0,confounded,logger12_balanced,0,no_staged_training,-1.6904802322387695,0.009906985478619592,0.015022598592424361,-0.00029453443476589163,0.20711974110032363,0.20711974110032363,0.000731118159114134,0.000731118159114134,0.003529929861972928,0.003192764655500202,0.01638699095829299,0.19609645421072516,0.7152103559870551,0.06472491909385113,0.22006472491909385,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.5457960367202759,0.00844644786677523,0.02891486883163452,0.6603348255157471,1.9354402607083379,False,0.1236950740900337,"(0, 1)",0.5,False,21.865876137014183,1.0909090909090906,1.1284595787643994
0.0,0.0,confounded,logger12_balanced,1,source_shuffle_initialization,-1.217308521270752,0.009907197099535884,0.015149189487244343,-4.421961297009404e-05,0.2815533980582524,0.2815533980582524,0.0011829161868637894,0.0011829161868637894,0.0042013919740334586,0.004830729472396554,0.015054098040339525,0.13874178495980802,0.6375404530744336,0.09061488673139159,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.3481413424015045,0.0089597950616482,0.04379954934120178,0.6132339239120483,1.8463928481319107,False,0.3480053950515058,"(1, 0)",0.5,False,-0.14250325251395854,-0.36363636363636437,-0.7030591961597663
0.0,0.0,confounded,logger12_balanced,1,no_staged_training,-1.5777621269226074,0.01079678857179194,0.016750806419229602,0.004109638429728527,0.26537216828478966,0.26537216828478966,0.000987148883591344,0.000987148883591344,0.0037198659149966498,0.003984561134761043,0.013251966247791458,0.13597974537960775,0.6440129449838188,0.11003236245954692,0.2459546925566343,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.9008644223213196,0.009808573375481551,0.006110000889748335,0.32501059770584106,1.384045313608134,False,0.13129670437407082,"(0, 1)",0.5,False,0.5020618361966985,0.09090909090908991,0.11972039908256574
0.0,0.0,confounded,logger12_balanced,2,source_shuffle_initialization,-1.337846040725708,0.010905954965227182,0.017553632163363548,0.0015221424024179585,0.27184466019417475,0.2686084142394822,0.0010295868884358465,0.001036876548495153,0.0038330403436948983,0.004132263036348945,0.01417503823033428,0.13336460699898275,0.6504854368932039,0.0744336569579288,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.6445499658584595,0.009168401992267707,0.06735019385814667,0.6101757287979126,1.840754843997473,False,0.3419886145326826,"(1, 0)",0.5,False,-5.542114062134581,-0.6874999999999999,-1.4343861637911357
0.0,0.0,confounded,logger12_balanced,2,no_staged_training,-1.4832931756973267,0.018782896115641545,0.027858868935669932,-0.003734053059138651,0.30097087378640774,0.30097087378640774,0.0011293946123941373,0.0011293946123941373,0.0037525046798901978,0.004473112305326232,0.012501077623699342,0.10775111784250135,0.6084142394822006,0.10032362459546926,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.38741594552993774,0.029051530459659775,0.03060201182961464,0.5162701606750488,1.6757656422258438,False,0.12313272644976049,"(0, 1)",0.5,False,21.949819338158317,-1.2499999999999998,-2.097327717952503
0.0,0.0,confounded,logger12_balanced,3,source_shuffle_initialization,-1.2854163646697998,0.01026664072876051,0.015649519261443697,-0.0002506163521107206,0.343042071197411,0.343042071197411,0.001272026882543362,0.001272026882543362,0.0037080783651499893,0.004795301639383886,0.009398899416996898,0.08465614855439867,0.5825242718446602,0.13268608414239483,0.284789644012945,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.760341227054596,0.010753118608105978,0.06992658227682114,0.5184690952301025,1.679454595599792,False,0.34019766176740324,"(1, 0)",0.5,False,0.6960364753722448,-2.636363636363634,-3.7716381657139673
0.0,0.0,confounded,logger12_balanced,3,no_staged_training,-1.5778844356536865,0.009731775707396365,0.014679023132643526,0.0020287255604038495,0.23948220064724918,0.23948220064724918,0.000874000264972693,0.000874000264972693,0.003649541646980569,0.003726009881116886,0.013251966247791458,0.13185105732068586,0.6699029126213593,0.08737864077669903,0.24271844660194175,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8745151162147522,0.007291485299011911,0.05547638237476349,0.38013002276420593,1.4624747320797669,False,0.11484124743295746,"(1, 0)",0.5,False,1.3490875897018173,0.2727272727272732,-0.08079281189158322
0.0,0.0,confounded,logger12_balanced,4,source_shuffle_initialization,-1.1413419246673584,0.04104599473241644,0.04473338229620388,0.038652188237399285,0.2686084142394822,0.2686084142394822,0.00114699786472687,0.00114699786472687,0.0042701486771156965,0.004497402243246284,0.014126174632168809,0.14593067557892564,0.6504854368932039,0.07119741100323625,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.2048545926809311,0.1772859054219483,0.03168397396802902,0.008723328821361065,1.0087614879316722,False,0.35025501383675467,"(0, 1)",0.5,False,-11.808269085006323,2.624999999999999,3.794657826205038
0.0,0.0,confounded,logger12_balanced,4,no_staged_training,-1.6037825345993042,0.010670866810265071,0.016816678924636716,0.0014432286922615224,0.23624595469255663,0.23624595469255663,0.0009676602676254614,0.0009676602676254614,0.004095986612277638,0.003918281543131029,0.014126174632168809,0.16382484422733745,0.6763754045307443,0.0744336569579288,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8924040794372559,0.009193555911571128,0.0086598489433527,0.32768210768699646,1.3877477478207745,False,0.13044677510650182,"(0, 1)",0.5,False,0.7367101725675282,1.3749999999999998,2.323845674979783
0.0,0.002,confounded,logger12_balanced,0,source_shuffle_initialization,-1.29505455493927,0.010507360389800548,0.015914350543703687,0.0012365692795742098,0.36893203883495146,0.36893203883495146,0.0015609741295051285,0.0015609741295051285,0.004231061456290217,0.005543459163667297,0.013773933719116727,0.10891353866671208,0.5436893203883495,0.11974110032362459,0.3365695792880259,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.153889000415802,0.00987595881155382,0.04326977580785751,0.3970787823200226,1.4874731120180484,False,0.3493079324563344,"(1, 0)",0.5006472491909385,False,0.8008773485722745,-0.23076923076923062,-0.6012563137436968
0.0,0.002,confounded,logger12_balanced,0,no_staged_training,-1.6787941455841064,0.010181734499582044,0.01578810125425985,-0.0005178579057838422,0.2815533980582524,0.2815533980582524,0.0010625935884500937,0.0010625935884500937,0.003774039296908953,0.004535239382100364,0.01638699095829299,0.11702777008668136,0.6407766990291263,0.06796116504854369,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.41214287281036377,0.008146678310837293,0.046293072402477264,0.6476190686225891,1.9109854828846107,False,0.1179023426385694,"(0, 1)",0.5006472491909385,True,0.9111114547694366,0.4615384615384617,0.3174813232805123
0.0,0.002,confounded,logger12_balanced,1,source_shuffle_initialization,-1.2395620346069336,0.010033086023871755,0.015558926768619037,0.001508458063668919,0.35275080906148865,0.35275080906148865,0.001398644486761805,0.001398644486761805,0.003964964645957777,0.004953680445726416,0.015054098040339525,0.13053940067665967,0.5566343042071198,0.13592233009708737,0.3074433656957929,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.46368759870529175,0.008648943761201969,0.03872981667518616,0.6529212594032288,1.9211448020170925,False,0.34764989763498305,"(1, 0)",0.5042071197411003,True,0.7159466692198814,0.11111111111111167,-0.11342471540093063
0.0,0.002,confounded,logger12_balanced,1,no_staged_training,-1.563467025756836,0.010160236872553418,0.015912622160643843,0.00304796309243519,0.30097087378640774,0.30097087378640774,0.0012638804991826284,0.0012638804991826284,0.004199344884380991,0.005090444332821863,0.014126174632168809,0.13575090110069724,0.6084142394822006,0.08414239482200647,0.3074433656957929,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8720294833183289,0.00920833431888883,0.003767225658521056,0.3829931914806366,1.4666680441966253,False,0.1331637524958498,"(1, 0)",0.5006472491909385,False,0.6034268027483916,0.703703703703704,0.23851354126906346
0.0,0.002,confounded,logger12_balanced,2,source_shuffle_initialization,-1.2737289667129517,0.011134630251564599,0.018044353763738478,0.001037234403558595,0.34951456310679613,0.34951456310679613,0.0013811459403195562,0.0013811459403195562,0.003951611995914286,0.005173179375305104,0.01417503823033428,0.10887499384889492,0.56957928802589,0.09061488673139159,0.33980582524271846,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.5539969801902771,0.009001408313135846,0.0478031188249588,0.6431431770324707,1.9024512324704033,False,0.34515664279460906,"(1, 0)",0.5029126213592233,True,-2.037013707636823,-0.8888888888888902,-6.392659494008374
0.0,0.002,confounded,logger12_balanced,2,no_staged_training,-1.4727083444595337,0.013721486053401958,0.019814853486145798,-0.0004395294170160485,0.3656957928802589,0.3656957928802589,0.0013910324920767055,0.0013910324920767055,0.003803796814616832,0.005167657989332763,0.01332595466526243,0.10198062439779548,0.5436893203883495,0.1262135922330097,0.3300970873786408,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.2561570703983307,0.02038816447905879,0.031808264553546906,0.47064313292503357,1.6010235331285951,False,0.12273061460013272,"(0, 1)",0.5022653721682848,True,-8.617120744524781,-1.444444444444445,-6.712938792564233
