kappa,lambda_reward,condition,mixture,seed,method,validation_nll,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus,prior_p_z1,reward_mode_separation,behavior_separation,posterior_entropy,posterior_effective_usage,latent_collapse,behavior_table_mae,label_permutation,posterior_u_accuracy,posterior_label_flipped,gap_closed_do_mae,gap_closed_rank_error,gap_closed_regret,bank_scope,calibration_budget,calibration_replicates_averaged_within_seed,candidate_weight_entropy,gap_to_oracle_best_candidate
0.0,0.0,confounded,logger12_balanced,0,public_residual_init_nll_best,-1.6159281730651855,0.010410610190644041,0.015391688265553894,-0.001083464391560933,0.3106796116504854,0.3106796116504854,0.0011464386266712152,0.0011464386266712152,0.003690099329597974,0.004602083218599782,0.012391259752272621,0.12122198872459014,0.6019417475728155,0.11326860841423948,0.284789644012945,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.18447871506214142,0.009554643292764684,0.019697928801178932,0.44604918360710144,1.5621282957486997,False,0.12676744729938444,"(1, 0)",0.5,False,12.854037408473019,-1.818181818181818,-6.730563416715492,,,,,
0.0,0.0,confounded,logger12_balanced,0,source_shuffle_initialization,-1.2997260093688965,0.010329883908354466,0.015433070950900789,0.0007642288314133858,0.30097087378640774,0.30097087378640774,0.0011470061796245816,0.0011470061796245816,0.0038110205323010297,0.00483819336029496,0.012391259752272621,0.11817108988414401,0.6148867313915858,0.11326860841423948,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.17148147523403168,0.009305231669785897,0.036161426454782486,0.4315272271633148,1.5396070586755124,False,0.3496296241051621,"(1, 0)",0.5,False,14.298549998460905,-1.5454545454545454,-6.7413031034395665,,,,,
0.0,0.0,confounded,logger12_balanced,0,no_staged_training,-1.6904802322387695,0.009906985478619592,0.015022598592424361,-0.00029453443476589163,0.20711974110032363,0.20711974110032363,0.000731118159114134,0.000731118159114134,0.003529929861972928,0.003192764655500202,0.01638699095829299,0.19609645421072516,0.7152103559870551,0.06472491909385113,0.22006472491909385,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.5457960367202759,0.00844644786677523,0.02891486883163452,0.6603348255157471,1.9354402607083379,False,0.1236950740900337,"(0, 1)",0.5,False,21.865876137014183,1.0909090909090906,1.1284595787643994,,,,,
0.0,0.0,confounded,logger12_balanced,1,public_residual_init_nll_best,-1.5202630758285522,0.009740727239543499,0.014939080723756248,-0.0003976514272502489,0.2783171521035599,0.2783171521035599,0.0010803298534171977,0.0010803298534171977,0.003881650287278071,0.003964464158060375,0.015054098040339525,0.15191647505084055,0.6375404530744336,0.10679611650485436,0.255663430420712,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.414467453956604,0.008788136274333804,0.030933167785406113,0.6456620693206787,1.9072493426329802,False,0.12302231500751432,"(1, 0)",0.5,False,-0.26312115794589996,-0.27272727272727443,-0.271904756681609,,,,,
0.0,0.0,confounded,logger12_balanced,1,source_shuffle_initialization,-1.217308521270752,0.009907197099535884,0.015149189487244343,-4.421961297009404e-05,0.2815533980582524,0.2815533980582524,0.0011829161868637894,0.0011829161868637894,0.0042013919740334586,0.004830729472396554,0.015054098040339525,0.13874178495980802,0.6375404530744336,0.09061488673139159,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.3481413424015045,0.0089597950616482,0.04379954934120178,0.6132339239120483,1.8463928481319107,False,0.3480053950515058,"(1, 0)",0.5,False,-0.14250325251395854,-0.36363636363636437,-0.7030591961597663,,,,,
0.0,0.0,confounded,logger12_balanced,1,no_staged_training,-1.5777621269226074,0.01079678857179194,0.016750806419229602,0.004109638429728527,0.26537216828478966,0.26537216828478966,0.000987148883591344,0.000987148883591344,0.0037198659149966498,0.003984561134761043,0.013251966247791458,0.13597974537960775,0.6440129449838188,0.11003236245954692,0.2459546925566343,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.9008644223213196,0.009808573375481551,0.006110000889748335,0.32501059770584106,1.384045313608134,False,0.13129670437407082,"(0, 1)",0.5,False,0.5020618361966985,0.09090909090908991,0.11972039908256574,,,,,
0.0,0.0,confounded,logger12_balanced,2,public_residual_init_nll_best,-1.6398237943649292,0.011983806248496579,0.01903158247035045,-0.0013878139573974318,0.3042071197411003,0.3042071197411003,0.0012081003895078545,0.0012081003895078545,0.00397130872721199,0.004830729472396554,0.01417503823033428,0.11365814624353239,0.6213592233009708,0.0970873786407767,0.2815533980582524,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.6032881736755371,0.010324596449359414,0.049287982285022736,0.6204231381416321,1.8597147916435814,False,0.11690410772096614,"(1, 0)",0.5,False,-1.7802203105856427,-1.3125,-2.6201061977327913,,,,,
0.0,0.0,confounded,logger12_balanced,2,source_shuffle_initialization,-1.337846040725708,0.010905954965227182,0.017553632163363548,0.0015221424024179585,0.27184466019417475,0.2686084142394822,0.0010295868884358465,0.001036876548495153,0.0038330403436948983,0.004132263036348945,0.01417503823033428,0.13336460699898275,0.6504854368932039,0.0744336569579288,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.6445499658584595,0.009168401992267707,0.06735019385814667,0.6101757287979126,1.840754843997473,False,0.3419886145326826,"(1, 0)",0.5,False,-5.542114062134581,-0.6874999999999999,-1.4343861637911357,,,,,
0.0,0.0,confounded,logger12_balanced,2,no_staged_training,-1.4832931756973267,0.018782896115641545,0.027858868935669932,-0.003734053059138651,0.30097087378640774,0.30097087378640774,0.0011293946123941373,0.0011293946123941373,0.0037525046798901978,0.004473112305326232,0.012501077623699342,0.10775111784250135,0.6084142394822006,0.10032362459546926,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.38741594552993774,0.029051530459659775,0.03060201182961464,0.5162701606750488,1.6757656422258438,False,0.12313272644976049,"(0, 1)",0.5,False,21.949819338158317,-1.2499999999999998,-2.097327717952503,,,,,
0.0,0.0,confounded,logger12_balanced,3,public_residual_init_nll_best,-1.5683797597885132,0.009943318533361901,0.015420630902288903,0.0005022289381775282,0.313915857605178,0.313915857605178,0.0011340400567046458,0.0011340400567046458,0.003612560593007583,0.0044409013149087065,0.009398899416996898,0.09414758633357274,0.6116504854368932,0.11326860841423948,0.2750809061488673,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.7913094162940979,0.009145089340382622,0.06714995950460434,0.4899856448173523,1.6322927879260887,False,0.11095010178921948,"(1, 0)",0.5,False,1.0908013441872386,-1.8181818181818166,-2.492105560221569,,,,,
0.0,0.0,confounded,logger12_balanced,3,source_shuffle_initialization,-1.2854163646697998,0.01026664072876051,0.015649519261443697,-0.0002506163521107206,0.343042071197411,0.343042071197411,0.001272026882543362,0.001272026882543362,0.0037080783651499893,0.004795301639383886,0.009398899416996898,0.08465614855439867,0.5825242718446602,0.13268608414239483,0.284789644012945,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.760341227054596,0.010753118608105978,0.06992658227682114,0.5184690952301025,1.679454595599792,False,0.34019766176740324,"(1, 0)",0.5,False,0.6960364753722448,-2.636363636363634,-3.7716381657139673,,,,,
0.0,0.0,confounded,logger12_balanced,3,no_staged_training,-1.5778844356536865,0.009731775707396365,0.014679023132643526,0.0020287255604038495,0.23948220064724918,0.23948220064724918,0.000874000264972693,0.000874000264972693,0.003649541646980569,0.003726009881116886,0.013251966247791458,0.13185105732068586,0.6699029126213593,0.08737864077669903,0.24271844660194175,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8745151162147522,0.007291485299011911,0.05547638237476349,0.38013002276420593,1.4624747320797669,False,0.11484124743295746,"(1, 0)",0.5,False,1.3490875897018173,0.2727272727272732,-0.08079281189158322,,,,,
0.0,0.0,confounded,logger12_balanced,4,public_residual_init_nll_best,-1.492110013961792,0.03953435138456815,0.043224906342942286,0.03746039416200678,0.28802588996763756,0.28802588996763756,0.001187434696682726,0.001187434696682726,0.004122666531179352,0.004497402243246284,0.014126174632168809,0.1409611608577584,0.6343042071197411,0.0744336569579288,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.2047591656446457,0.16975723874448917,0.00825284793972969,0.009843242354691029,1.0098918464076445,False,0.13058244131005586,"(0, 1)",0.5,False,-11.18395782310125,3.375000000000001,4.126294832382253,,,,,
0.0,0.0,confounded,logger12_balanced,4,source_shuffle_initialization,-1.1413419246673584,0.04104599473241644,0.04473338229620388,0.038652188237399285,0.2686084142394822,0.2686084142394822,0.00114699786472687,0.00114699786472687,0.0042701486771156965,0.004497402243246284,0.014126174632168809,0.14593067557892564,0.6504854368932039,0.07119741100323625,0.2783171521035599,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.2048545926809311,0.1772859054219483,0.03168397396802902,0.008723328821361065,1.0087614879316722,False,0.35025501383675467,"(0, 1)",0.5,False,-11.808269085006323,2.624999999999999,3.794657826205038,,,,,
0.0,0.0,confounded,logger12_balanced,4,no_staged_training,-1.6037825345993042,0.010670866810265071,0.016816678924636716,0.0014432286922615224,0.23624595469255663,0.23624595469255663,0.0009676602676254614,0.0009676602676254614,0.004095986612277638,0.003918281543131029,0.014126174632168809,0.16382484422733745,0.6763754045307443,0.0744336569579288,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8924040794372559,0.009193555911571128,0.0086598489433527,0.32768210768699646,1.3877477478207745,False,0.13044677510650182,"(0, 1)",0.5,False,0.7367101725675282,1.3749999999999998,2.323845674979783,,,,,
0.0,0.0,confounded,logger12_balanced,-1,public_residual_init_uniform_candidate_ensemble,-1.4410167276859283,0.012155352564679311,0.0160764678994354,0.008409295844960668,0.20388349514563106,0.20388349514563106,0.0007653072170663477,0.0007653072170663477,0.003753649683706372,0.0034615912988604325,0.013251966247791458,0.17551534832385213,0.7087378640776699,0.042071197411003236,0.24919093851132687,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,,,,global,,,,
0.0,0.0,confounded,logger12_balanced,0,public_residual_init_uniform_candidate_ensemble,-1.4983936846256258,0.011076595634475205,0.01585610658317283,-0.0017710118698387894,0.32362459546925565,0.32362459546925565,0.0012907355409190187,0.0012907355409190187,0.003988372821439767,0.005123392236672063,0.013251966247791458,0.12615076049955198,0.5922330097087378,0.11003236245954692,0.2977346278317152,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,0.9369227950205455,-2.181818181818182,-9.461063971914875,within_seed,,,,
0.0,0.0,confounded,logger12_balanced,1,public_residual_init_uniform_candidate_ensemble,-1.4144948720932007,0.01163321579819282,0.016722062089585495,-0.00022620293778308412,0.2750809061488673,0.2750809061488673,0.0011110664684137739,0.0011110664684137739,0.004039053396939484,0.0042369118699525634,0.015054098040339525,0.14771384781113908,0.6440129449838188,0.09061488673139159,0.26537216828478966,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,1.1081060780753016,-0.18181818181818296,-0.40108597960935966,within_seed,,,,
0.0,0.0,confounded,logger12_balanced,2,public_residual_init_uniform_candidate_ensemble,-1.4775661230087282,0.012911351369980636,0.019367635015081403,-0.005273320571580219,0.2977346278317152,0.2977346278317152,0.0011756881081843957,0.0011756881081843957,0.003948778537271503,0.0046214299613011696,0.01417503823033428,0.11679156214278583,0.627831715210356,0.08414239482200647,0.28802588996763756,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,1.4570780541818626,-1.1875000000000004,-2.404817768117176,within_seed,,,,
0.0,0.0,confounded,logger12_balanced,3,public_residual_init_uniform_candidate_ensemble,-1.5180261492729188,0.010328778258625616,0.015693205151477513,0.00130319348660948,0.32362459546925565,0.32362459546925565,0.0012129045688955076,0.0012129045688955076,0.0037478751178871184,0.004742686963784059,0.009398899416996898,0.08802599716608736,0.6019417475728155,0.1262135922330097,0.27184466019417475,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,0.6201687676343197,-2.090909090909089,-3.2234051908283865,within_seed,,,,
0.0,0.0,confounded,logger12_balanced,4,public_residual_init_uniform_candidate_ensemble,-1.2966028094291688,0.049873590842027485,0.05319855817485498,0.048013821117396493,0.2912621359223301,0.2912621359223301,0.0012959304377679554,0.0012959304377679554,0.00444936116966998,0.004760108451610987,0.014126174632168809,0.12743217238737814,0.6343042071197411,0.0744336569579288,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,-15.45408122358008,3.4999999999999996,5.016107436786167,within_seed,,,,
0.0,0.0,confounded,logger12_balanced,0,pooled_mlp,-1.8793988227844238,0.01362215542170274,0.018663659297718762,0.006841582436266978,0.24271844660194175,0.23948220064724918,0.0008309313082942298,0.0008624691074869688,0.0034696996522015815,0.003290298956751588,0.011353203446494042,0.13186922243760812,0.6796116504854369,0.11650485436893204,0.20711974110032363,0.9029126213592233,0.006472491909385114,0.09061488673139159,,,,,,,,,,,-44.613213504169735,0.09090909090909062,-0.7602839239858622,,,,,
0.0,0.0,confounded,logger12_balanced,0,V0_random_init_mechanism,-1.207311749458313,0.011128955367826508,0.016406401811588086,-0.0025609777978898808,0.2459546925566343,0.2459546925566343,0.0007907530984878009,0.0007907530984878009,0.0032150356241148746,0.003192764655500202,0.013315073235235175,0.14613248891958022,0.6634304207119741,0.1262135922330097,0.21035598705501618,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.9927771091461182,0.0069014071491835,0.17941603064537048,0.0372672937810421,1.0379704268020506,True,0.19418884418490862,"(0, 1)",0.5,False,0.0,0.0,0.0,,,,,
