kappa,lambda_reward,condition,seed,method,latent_collapse,reward_mode_separation,behavior_separation,posterior_entropy,posterior_u_accuracy
0.0,0.002,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.002,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.002,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.002,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.002,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.002,confounded,0,pooled_mlp,,,,,
0.0,0.002,confounded,0,V0_random_init_mechanism,True,0.006646023660651198,0.17990657687187195,0.03495213761925697,0.5
0.0,0.002,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.002,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.002,confounded,0,V6_oracle_initialized_joint,False,0.004496948414202596,0.41258272528648376,0.4984710216522217,0.5003236245954693
0.0,0.002,confounded,1,pooled_mlp,,,,,
0.0,0.002,confounded,1,V0_random_init_mechanism,True,0.007340186237406111,0.1848076581954956,0.034970011562108994,0.5
0.0,0.002,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.002,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.002,confounded,1,V6_oracle_initialized_joint,False,0.0051955319255627295,0.41142457723617554,0.4973583221435547,0.501294498381877
0.0,0.002,confounded,2,pooled_mlp,,,,,
0.0,0.002,confounded,2,V0_random_init_mechanism,True,0.007044127098130133,0.16165277361869812,0.03666238859295845,0.5
0.0,0.002,confounded,2,V7_oracle_u_aware,,,,,1.0
0.0,0.002,confounded,2,V1_explicit_collapsed,,,,,
0.0,0.002,confounded,2,V6_oracle_initialized_joint,False,0.006147425632458103,0.4204937815666199,0.46602508425712585,0.5080906148867314
0.0,0.002,confounded,3,pooled_mlp,,,,,
0.0,0.002,confounded,3,V0_random_init_mechanism,True,0.006517000005717439,0.1795845478773117,0.0349930077791214,0.5
0.0,0.002,confounded,3,V7_oracle_u_aware,,,,,1.0
0.0,0.002,confounded,3,V1_explicit_collapsed,,,,,
0.0,0.002,confounded,3,V6_oracle_initialized_joint,False,0.004550677954819459,0.4093886613845825,0.5019918084144592,0.5035598705501618
0.0,0.002,confounded,4,pooled_mlp,,,,,
0.0,0.002,confounded,4,V0_random_init_mechanism,True,0.006637880473122145,0.17690759897232056,0.035362228751182556,0.5
0.0,0.002,confounded,4,V7_oracle_u_aware,,,,,1.0
0.0,0.002,confounded,4,V1_explicit_collapsed,,,,,
0.0,0.002,confounded,4,V6_oracle_initialized_joint,False,0.005142169127163024,0.4134431779384613,0.49543407559394836,0.5048543689320388
0.0,0.005,confounded,0,public_residual_init_nll_best,False,0.00918012592139108,0.007313821464776993,0.533311665058136,0.5029126213592233
0.0,0.005,confounded,0,source_shuffle_initialization,False,0.008800266041798609,0.030042190104722977,0.5225625038146973,0.5016181229773463
0.0,0.005,confounded,0,no_staged_training,False,0.010590905433441187,0.007928719744086266,0.6347822546958923,0.5080906148867314
0.0,0.005,confounded,1,public_residual_init_nll_best,False,0.009291565582438533,0.02465893141925335,0.5761975646018982,0.503883495145631
0.0,0.005,confounded,1,source_shuffle_initialization,False,0.009484613358437694,0.01750563457608223,0.5202134251594543,0.5019417475728155
0.0,0.005,confounded,1,no_staged_training,False,0.009706650181828229,0.028107231482863426,0.569298505783081,0.5006472491909385
0.0,0.005,confounded,2,public_residual_init_nll_best,False,0.013348289433473265,0.0443892627954483,0.5981362462043762,0.5200647249190938
0.0,0.005,confounded,2,source_shuffle_initialization,False,0.013348289433473265,0.02592288702726364,0.601010262966156,0.5233009708737864
0.0,0.005,confounded,2,no_staged_training,False,0.010329414980155108,0.02925090305507183,0.38196688890457153,0.5051779935275081
0.0,0.005,confounded,3,public_residual_init_nll_best,False,0.011000225844501214,0.018033022060990334,0.5698838233947754,0.5071197411003237
0.0,0.005,confounded,3,source_shuffle_initialization,False,0.00828637663527478,0.016338272020220757,0.615180253982544,0.5087378640776699
0.0,0.005,confounded,3,no_staged_training,False,0.007389765611548469,0.024586278945207596,0.6214964985847473,0.5022653721682848
0.0,0.005,confounded,4,public_residual_init_nll_best,False,0.1665984439070918,0.012326422147452831,0.009914678521454334,0.5006472491909385
0.0,0.005,confounded,4,source_shuffle_initialization,False,0.18866681950956476,0.009887302294373512,3.4757802495732903e-05,0.5
0.0,0.005,confounded,4,no_staged_training,False,0.009895829555748319,0.010023895651102066,0.40390118956565857,0.5009708737864078
0.0,0.005,confounded,-1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.005,confounded,0,pooled_mlp,,,,,
0.0,0.005,confounded,0,V0_random_init_mechanism,True,0.006869291187871543,0.1797807812690735,0.035768263041973114,0.5
0.0,0.005,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.005,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.005,confounded,0,V6_oracle_initialized_joint,False,0.005688927519841565,0.40902024507522583,0.49985554814338684,0.5084142394822007
0.0,0.005,confounded,1,pooled_mlp,,,,,
0.0,0.005,confounded,1,V0_random_init_mechanism,True,0.007525473569257977,0.18485379219055176,0.03506898134946823,0.5
0.0,0.005,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.005,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.005,confounded,1,V6_oracle_initialized_joint,False,0.006462494989609333,0.4115928113460541,0.4946030378341675,0.5200647249190938
0.0,0.005,confounded,2,pooled_mlp,,,,,
0.0,0.005,confounded,2,V0_random_init_mechanism,True,0.0073828818127036405,0.16067662835121155,0.03545091301202774,0.5
0.0,0.005,confounded,2,V7_oracle_u_aware,,,,,1.0
0.0,0.005,confounded,2,V1_explicit_collapsed,,,,,
0.0,0.005,confounded,2,V6_oracle_initialized_joint,False,0.00771909526877048,0.40900397300720215,0.4908585250377655,0.5197411003236246
0.0,0.005,confounded,3,pooled_mlp,,,,,
0.0,0.005,confounded,3,V0_random_init_mechanism,True,0.006622747699128627,0.17966733872890472,0.03521675616502762,0.5
0.0,0.005,confounded,3,V7_oracle_u_aware,,,,,1.0
0.0,0.005,confounded,3,V1_explicit_collapsed,,,,,
0.0,0.005,confounded,3,V6_oracle_initialized_joint,False,0.00591132550791441,0.41287821531295776,0.5037294626235962,0.5281553398058253
0.0,0.005,confounded,4,pooled_mlp,,,,,
0.0,0.005,confounded,4,V0_random_init_mechanism,True,0.006394339930742144,0.17680780589580536,0.03545714169740677,0.5
0.0,0.005,confounded,4,V7_oracle_u_aware,,,,,1.0
0.0,0.005,confounded,4,V1_explicit_collapsed,,,,,
0.0,0.005,confounded,4,V6_oracle_initialized_joint,False,0.0056668491944804255,0.404437392950058,0.507735550403595,0.517799352750809
0.0,0.01,confounded,0,public_residual_init_nll_best,False,0.00841537305982255,0.06523983180522919,0.604400098323822,0.5019417475728155
0.0,0.01,confounded,0,source_shuffle_initialization,False,0.008353196541599476,0.05259070545434952,0.6088677048683167,0.5
0.0,0.01,confounded,0,no_staged_training,False,0.009551430248678676,0.020684819668531418,0.6091178059577942,0.5161812297734628
0.0,0.01,confounded,1,public_residual_init_nll_best,False,0.009886853126121446,0.06743888556957245,0.5734031200408936,0.511326860841424
0.0,0.01,confounded,1,source_shuffle_initialization,False,0.01018153948287966,0.04709606617689133,0.5546789169311523,0.5048543689320388
0.0,0.01,confounded,1,no_staged_training,False,0.009440137695908284,0.035146813839673996,0.4958702027797699,0.5016181229773463
0.0,0.01,confounded,2,public_residual_init_nll_best,False,0.009632976840639686,0.10963673889636993,0.6061244010925293,0.5381877022653722
0.0,0.01,confounded,2,source_shuffle_initialization,False,0.008886683282605322,0.03469192609190941,0.6250278949737549,0.501294498381877
0.0,0.01,confounded,2,no_staged_training,False,0.031056280364902267,0.02939942106604576,0.42362210154533386,0.5190938511326861
0.0,0.01,confounded,3,public_residual_init_nll_best,False,0.008800286948490981,0.0654802918434143,0.6324343681335449,0.513915857605178
0.0,0.01,confounded,3,source_shuffle_initialization,False,0.008388347157509999,0.05080574005842209,0.6098659634590149,0.5048543689320388
0.0,0.01,confounded,3,no_staged_training,False,0.008377704649542917,0.05445471033453941,0.43055516481399536,0.5032362459546925
0.0,0.01,confounded,4,public_residual_init_nll_best,False,0.010816816959564966,0.08660931885242462,0.5433068871498108,0.502588996763754
0.0,0.01,confounded,4,source_shuffle_initialization,False,0.010272581324914471,0.05425938218832016,0.4756801128387451,0.5009708737864078
0.0,0.01,confounded,4,no_staged_training,False,0.009361305252128683,0.05004128813743591,0.3646853268146515,0.5006472491909385
0.0,0.01,confounded,-1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.01,confounded,0,pooled_mlp,,,,,
0.0,0.01,confounded,0,V0_random_init_mechanism,True,0.006931555538434333,0.17970047891139984,0.03660422936081886,0.5
0.0,0.01,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.01,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.01,confounded,0,V6_oracle_initialized_joint,False,0.006214754454347986,0.40817004442214966,0.5054089426994324,0.5355987055016181
0.0,0.01,confounded,1,pooled_mlp,,,,,
0.0,0.01,confounded,1,V0_random_init_mechanism,True,0.00761558261011089,0.18470576405525208,0.03652055189013481,0.5
0.0,0.01,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.01,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.01,confounded,1,V6_oracle_initialized_joint,False,0.0070196822815634385,0.41795796155929565,0.49188488721847534,0.5326860841423948
0.0,0.01,confounded,2,pooled_mlp,,,,,
0.0,0.01,confounded,2,V0_random_init_mechanism,True,0.007114024049707997,0.1571544110774994,0.03581779822707176,0.5
0.0,0.01,confounded,2,V7_oracle_u_aware,,,,,1.0
0.0,0.01,confounded,2,V1_explicit_collapsed,,,,,
0.0,0.01,confounded,2,V6_oracle_initialized_joint,False,0.005793491469142109,0.40685176849365234,0.504069447517395,0.5119741100323625
0.0,0.01,confounded,3,pooled_mlp,,,,,
0.0,0.01,confounded,3,V0_random_init_mechanism,True,0.0064857378194633645,0.17981570959091187,0.035332683473825455,0.5
0.0,0.01,confounded,3,V7_oracle_u_aware,,,,,1.0
0.0,0.01,confounded,3,V1_explicit_collapsed,,,,,
0.0,0.01,confounded,3,V6_oracle_initialized_joint,False,0.007109299737581922,0.41765519976615906,0.49659013748168945,0.5446601941747573
0.0,0.01,confounded,4,pooled_mlp,,,,,
0.0,0.01,confounded,4,V0_random_init_mechanism,True,0.006590286702339031,0.17648744583129883,0.035927850753068924,0.5
0.0,0.01,confounded,4,V7_oracle_u_aware,,,,,1.0
0.0,0.01,confounded,4,V1_explicit_collapsed,,,,,
0.0,0.01,confounded,4,V6_oracle_initialized_joint,False,0.006319671090183146,0.4189484715461731,0.486437052488327,0.5284789644012945
0.0,0.02,confounded,0,public_residual_init_nll_best,False,0.012029166100651387,0.14439478516578674,0.5331684350967407,0.5728155339805825
0.0,0.02,confounded,0,source_shuffle_initialization,False,0.011393490754952607,0.21401533484458923,0.5446804761886597,0.5511326860841423
0.0,0.02,confounded,0,no_staged_training,False,0.01309518853568068,0.11544907093048096,0.5825621485710144,0.6288025889967638
0.0,0.02,confounded,1,public_residual_init_nll_best,False,0.016410746363545108,0.17024680972099304,0.5416781902313232,0.6669902912621359
0.0,0.02,confounded,1,source_shuffle_initialization,False,0.012105124851486054,0.24998441338539124,0.5768329501152039,0.6
0.0,0.02,confounded,1,no_staged_training,False,0.012238863909845356,0.08189414441585541,0.5511744022369385,0.5080906148867314
0.0,0.02,confounded,2,public_residual_init_nll_best,False,0.014875132316632934,0.18308663368225098,0.5489611625671387,0.6592233009708738
0.0,0.02,confounded,2,source_shuffle_initialization,False,0.013900473736597694,0.2363581359386444,0.5582078695297241,0.6488673139158576
0.0,0.02,confounded,2,no_staged_training,False,0.011401842302551209,0.09684019535779953,0.49553361535072327,0.5158576051779935
0.0,0.02,confounded,3,public_residual_init_nll_best,False,0.014898649864778691,0.1679360270500183,0.5300251841545105,0.6365695792880259
0.0,0.02,confounded,3,source_shuffle_initialization,False,0.012417726549354443,0.2147747278213501,0.5684962868690491,0.5653721682847896
0.0,0.02,confounded,3,no_staged_training,False,0.012485571542446625,0.29943737387657166,0.5334915518760681,0.6805825242718446
0.0,0.02,confounded,4,public_residual_init_nll_best,False,0.01327685735824319,0.2084837555885315,0.5707052946090698,0.6676375404530744
0.0,0.02,confounded,4,source_shuffle_initialization,False,0.011478904608519244,0.2038457989692688,0.6099786758422852,0.611326860841424
0.0,0.02,confounded,4,no_staged_training,False,0.013477294500609636,0.1126905083656311,0.5357280969619751,0.5352750809061488
0.0,0.02,confounded,-1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.02,confounded,0,pooled_mlp,,,,,
