kappa,lambda_reward,condition,seed,method,top_set_disagreement,strict_flip,calibration_budget,calibration_replicate
0.0,0.002,confounded,4,no_staged_training,0.36893203883495146,0.36893203883495146,,
0.0,0.002,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.2621359223300971,0.2621359223300971,,
0.0,0.002,confounded,0,public_residual_init_uniform_candidate_ensemble,0.3818770226537217,0.3818770226537217,,
0.0,0.002,confounded,1,public_residual_init_uniform_candidate_ensemble,0.32038834951456313,0.32038834951456313,,
0.0,0.002,confounded,2,public_residual_init_uniform_candidate_ensemble,0.36245954692556637,0.36245954692556637,,
0.0,0.002,confounded,3,public_residual_init_uniform_candidate_ensemble,0.34627831715210355,0.34627831715210355,,
0.0,0.002,confounded,4,public_residual_init_uniform_candidate_ensemble,0.36893203883495146,0.36893203883495146,,
0.0,0.002,confounded,0,pooled_mlp,0.28802588996763756,0.28802588996763756,,
0.0,0.002,confounded,0,V0_random_init_mechanism,0.33980582524271846,0.33980582524271846,,
0.0,0.002,confounded,0,V7_oracle_u_aware,0.18122977346278318,0.18122977346278318,,
0.0,0.002,confounded,0,V1_explicit_collapsed,0.29449838187702265,0.29449838187702265,,
0.0,0.002,confounded,0,V6_oracle_initialized_joint,0.21359223300970873,0.21359223300970873,,
0.0,0.002,confounded,1,pooled_mlp,0.2912621359223301,0.2912621359223301,,
0.0,0.002,confounded,1,V0_random_init_mechanism,0.36245954692556637,0.36245954692556637,,
0.0,0.002,confounded,1,V7_oracle_u_aware,0.2524271844660194,0.2524271844660194,,
0.0,0.002,confounded,1,V1_explicit_collapsed,0.2168284789644013,0.2168284789644013,,
0.0,0.002,confounded,1,V6_oracle_initialized_joint,0.2750809061488673,0.2750809061488673,,
0.0,0.002,confounded,2,pooled_mlp,0.2686084142394822,0.2686084142394822,,
0.0,0.002,confounded,2,V0_random_init_mechanism,0.32362459546925565,0.32362459546925565,,
0.0,0.002,confounded,2,V7_oracle_u_aware,0.1941747572815534,0.1941747572815534,,
0.0,0.002,confounded,2,V1_explicit_collapsed,0.313915857605178,0.313915857605178,,
0.0,0.002,confounded,2,V6_oracle_initialized_joint,0.29449838187702265,0.29449838187702265,,
0.0,0.002,confounded,3,pooled_mlp,0.2621359223300971,0.2621359223300971,,
0.0,0.002,confounded,3,V0_random_init_mechanism,0.26537216828478966,0.26537216828478966,,
0.0,0.002,confounded,3,V7_oracle_u_aware,0.1715210355987055,0.1715210355987055,,
0.0,0.002,confounded,3,V1_explicit_collapsed,0.2588996763754045,0.2588996763754045,,
0.0,0.002,confounded,3,V6_oracle_initialized_joint,0.2459546925566343,0.2459546925566343,,
0.0,0.002,confounded,4,pooled_mlp,0.32362459546925565,0.32362459546925565,,
0.0,0.002,confounded,4,V0_random_init_mechanism,0.3106796116504854,0.3106796116504854,,
0.0,0.002,confounded,4,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.002,confounded,4,V1_explicit_collapsed,0.44660194174757284,0.44660194174757284,,
0.0,0.002,confounded,4,V6_oracle_initialized_joint,0.28802588996763756,0.28802588996763756,,
0.0,0.005,confounded,0,public_residual_init_nll_best,0.42718446601941745,0.42718446601941745,,
0.0,0.005,confounded,0,source_shuffle_initialization,0.459546925566343,0.459546925566343,,
0.0,0.005,confounded,0,no_staged_training,0.459546925566343,0.459546925566343,,
0.0,0.005,confounded,1,public_residual_init_nll_best,0.4627831715210356,0.4627831715210356,,
0.0,0.005,confounded,1,source_shuffle_initialization,0.4886731391585761,0.4886731391585761,,
0.0,0.005,confounded,1,no_staged_training,0.4563106796116505,0.4563106796116505,,
0.0,0.005,confounded,2,public_residual_init_nll_best,0.4919093851132686,0.4919093851132686,,
0.0,0.005,confounded,2,source_shuffle_initialization,0.4919093851132686,0.4919093851132686,,
0.0,0.005,confounded,2,no_staged_training,0.5307443365695793,0.5307443365695793,,
0.0,0.005,confounded,3,public_residual_init_nll_best,0.4563106796116505,0.4563106796116505,,
0.0,0.005,confounded,3,source_shuffle_initialization,0.42071197411003236,0.42071197411003236,,
0.0,0.005,confounded,3,no_staged_training,0.43042071197411,0.43042071197411,,
0.0,0.005,confounded,4,public_residual_init_nll_best,0.4401294498381877,0.4401294498381877,,
