kappa,lambda_reward,condition,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,calibration_budget,calibration_replicate
0.0,0.0,confounded,0,public_residual_init_nll_best,0.0011464386266712152,0.0011464386266712152,0.003690099329597974,0.004602083218599782,0.012391259752272621,,
0.0,0.0,confounded,0,source_shuffle_initialization,0.0011470061796245816,0.0011470061796245816,0.0038110205323010297,0.00483819336029496,0.012391259752272621,,
0.0,0.0,confounded,0,no_staged_training,0.000731118159114134,0.000731118159114134,0.003529929861972928,0.003192764655500202,0.01638699095829299,,
0.0,0.0,confounded,1,public_residual_init_nll_best,0.0010803298534171977,0.0010803298534171977,0.003881650287278071,0.003964464158060375,0.015054098040339525,,
0.0,0.0,confounded,1,source_shuffle_initialization,0.0011829161868637894,0.0011829161868637894,0.0042013919740334586,0.004830729472396554,0.015054098040339525,,
0.0,0.0,confounded,1,no_staged_training,0.000987148883591344,0.000987148883591344,0.0037198659149966498,0.003984561134761043,0.013251966247791458,,
0.0,0.0,confounded,2,public_residual_init_nll_best,0.0012081003895078545,0.0012081003895078545,0.00397130872721199,0.004830729472396554,0.01417503823033428,,
0.0,0.0,confounded,2,source_shuffle_initialization,0.0010295868884358465,0.001036876548495153,0.0038330403436948983,0.004132263036348945,0.01417503823033428,,
0.0,0.0,confounded,2,no_staged_training,0.0011293946123941373,0.0011293946123941373,0.0037525046798901978,0.004473112305326232,0.012501077623699342,,
0.0,0.0,confounded,3,public_residual_init_nll_best,0.0011340400567046458,0.0011340400567046458,0.003612560593007583,0.0044409013149087065,0.009398899416996898,,
0.0,0.0,confounded,3,source_shuffle_initialization,0.001272026882543362,0.001272026882543362,0.0037080783651499893,0.004795301639383886,0.009398899416996898,,
0.0,0.0,confounded,3,no_staged_training,0.000874000264972693,0.000874000264972693,0.003649541646980569,0.003726009881116886,0.013251966247791458,,
0.0,0.0,confounded,4,public_residual_init_nll_best,0.001187434696682726,0.001187434696682726,0.004122666531179352,0.004497402243246284,0.014126174632168809,,
0.0,0.0,confounded,4,source_shuffle_initialization,0.00114699786472687,0.00114699786472687,0.0042701486771156965,0.004497402243246284,0.014126174632168809,,
0.0,0.0,confounded,4,no_staged_training,0.0009676602676254614,0.0009676602676254614,0.004095986612277638,0.003918281543131029,0.014126174632168809,,
0.0,0.0,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.0007653072170663477,0.0007653072170663477,0.003753649683706372,0.0034615912988604325,0.013251966247791458,,
0.0,0.0,confounded,0,public_residual_init_uniform_candidate_ensemble,0.0012907355409190187,0.0012907355409190187,0.003988372821439767,0.005123392236672063,0.013251966247791458,,
0.0,0.0,confounded,1,public_residual_init_uniform_candidate_ensemble,0.0011110664684137739,0.0011110664684137739,0.004039053396939484,0.0042369118699525634,0.015054098040339525,,
0.0,0.0,confounded,2,public_residual_init_uniform_candidate_ensemble,0.0011756881081843957,0.0011756881081843957,0.003948778537271503,0.0046214299613011696,0.01417503823033428,,
0.0,0.0,confounded,3,public_residual_init_uniform_candidate_ensemble,0.0012129045688955076,0.0012129045688955076,0.0037478751178871184,0.004742686963784059,0.009398899416996898,,
0.0,0.0,confounded,4,public_residual_init_uniform_candidate_ensemble,0.0012959304377679554,0.0012959304377679554,0.00444936116966998,0.004760108451610987,0.014126174632168809,,
0.0,0.0,confounded,0,pooled_mlp,0.0008309313082942298,0.0008624691074869688,0.0034696996522015815,0.003290298956751588,0.011353203446494042,,
0.0,0.0,confounded,0,V0_random_init_mechanism,0.0007907530984878009,0.0007907530984878009,0.0032150356241148746,0.003192764655500202,0.013315073235235175,,
0.0,0.0,confounded,0,V7_oracle_u_aware,0.0007590111860289727,0.0007590111860289727,0.0033033022039852472,0.0032273878321561257,0.007581168661232152,,
