setting,lambda_reward,condition,action,population_leading_singular_value,population_numerical_nonzero_singular_values,population_rank1_explained_variance,empirical_correct_centered_norm,empirical_shuffle_centered_norm,empirical_rank1_residual,empirical_rank1_residual_fraction
M2_diverse,0.0,confounded,minus,0.0,0,1.0,0.08205199294553417,0.0775776782405029,4.552635327791004e-15,5.5484762336157116e-14
M2_diverse,0.0,confounded,base,0.0,0,1.0,0.07980007599672612,0.0770351472019124,4.756645466034535e-15,5.960702927437915e-14
M2_diverse,0.0,confounded,plus,0.0,0,1.0,0.08360742396029744,0.08035765823839108,4.48783926234602e-15,5.3677521083261166e-14
M2_diverse,0.01,confounded,minus,0.11085125168440595,1,1.0,0.14024241441729443,0.08473215299571,4.496655412122564e-15,3.206344835694761e-14
M2_diverse,0.01,confounded,base,0.0,0,1.0,0.08831419588254592,0.08719549299386663,4.438931757238246e-15,5.0262947116020107e-14
M2_diverse,0.01,confounded,plus,0.11085125168440643,1,1.0,0.1315765116096969,0.08609275942988645,4.650685988048997e-15,3.534586782361732e-14
M2_diverse,0.05,confounded,minus,0.5542562584220374,1,1.0,0.554816370324208,0.18693828493909578,4.5608547514957685e-15,8.220476170936744e-15
M2_diverse,0.05,confounded,base,0.0,0,1.0,0.2012413291516838,0.21337063701651474,4.513943432215395e-15,2.2430498999601872e-14
M2_diverse,0.05,confounded,plus,0.5542562584220373,1,1.0,0.5428422221879249,0.18365198413325137,4.523210724650463e-15,8.33245930358856e-15
M5_diverse,0.0,confounded,minus,0.0,0,1.0,0.2545566029106883,0.24431836388475484,0.21478467664374537,0.8437599896754711
M5_diverse,0.0,confounded,base,0.0,0,1.0,0.2572677615298265,0.2655181561816979,0.21659560925243826,0.8419073107507374
M5_diverse,0.0,confounded,plus,0.0,0,1.0,0.2513342957905458,0.2448770568176977,0.21125121089311166,0.8405188405690638
M5_diverse,0.01,confounded,minus,0.12393546707863472,1,1.0,0.29958154568964335,0.2687045455881677,0.2379358429649337,0.7942273026771396
M5_diverse,0.01,confounded,base,0.0,0,1.0,0.2854966458691643,0.29851502743326525,0.2414747776367547,0.8458060055368087
M5_diverse,0.01,confounded,plus,0.12393546707863475,1,1.0,0.292458589972935,0.27373468553099506,0.23275706488414755,0.7958633217293689
M5_diverse,0.05,confounded,minus,0.6196773353931848,1,1.0,0.8250330315574298,0.5957320406233642,0.5080085930335096,0.6157433382691753
M5_diverse,0.05,confounded,base,0.0,0,1.0,0.6771630584977653,0.686673228847474,0.5772909304804767,0.8525139155717573
M5_diverse,0.05,confounded,plus,0.6196773353931847,1,1.0,0.7986256568638327,0.6092171477058678,0.4837038840839466,0.6056703537217051
M5_redundant,0.0,confounded,minus,0.0,0,1.0,0.2545566029106883,0.24431836388475484,0.21478467664374537,0.8437599896754711
M5_redundant,0.0,confounded,base,0.0,0,1.0,0.2572677615298265,0.2655181561816979,0.21659560925243826,0.8419073107507374
M5_redundant,0.0,confounded,plus,0.0,0,1.0,0.2513342957905458,0.2448770568176977,0.2112512108931116,0.8405188405690636
M5_redundant,0.01,confounded,minus,0.0,0,1.0,0.2772441296969923,0.2705407623423407,0.23588544455359742,0.8508221429662121
M5_redundant,0.01,confounded,base,0.0,0,1.0,0.2854966458691643,0.29851502743326525,0.2414747776367547,0.8458060055368087
M5_redundant,0.01,confounded,plus,0.0,0,1.0,0.2733372108853681,0.2715658555374767,0.23046871199656743,0.843166253325169
M5_redundant,0.05,confounded,minus,0.0,0,1.0,0.5931517382754589,0.6101851486492942,0.507260163702304,0.8551946002503883
M5_redundant,0.05,confounded,base,0.0,0,1.0,0.6771630584977653,0.686673228847474,0.5772909304804767,0.8525139155717573
M5_redundant,0.05,confounded,plus,0.0,0,1.0,0.6012741178261651,0.6116680208819755,0.5078141528666477,0.8445634658325044
M5_diverse,0.05,independent_latents,minus,0.0,0,1.0,0.6580764064700869,0.665699735870859,0.5563122101330926,0.8453611232123392
M5_diverse,0.05,independent_latents,base,0.0,0,1.0,0.6506777992615382,0.6541613307028232,0.547702987087099,0.8417422381840804
M5_diverse,0.05,independent_latents,plus,0.0,0,1.0,0.6705788752659367,0.6795102323352201,0.5628638525054713,0.8393700924179158
