method,metric,mean,sd_across_model_seeds,per_seed
MSCSC_correct_source,uncalibrated_rank1_contrast_rms,0.01405085405955712,0.0022570935099619285,"[0.013436944223940372, 0.012164225801825523, 0.016551392152905464]"
MSCSC_correct_source,source_reconstruction_mae,0.03458931503595996,0.0018450080623123022,"[0.03275712162657747, 0.03644687614940967, 0.03456394733189273]"
MSCSC_source_shuffle,uncalibrated_rank1_contrast_rms,0.00878609111532569,0.001167369053638368,"[0.007812438998371363, 0.010080228559672832, 0.008465605787932873]"
MSCSC_source_shuffle,source_reconstruction_mae,0.03473825837368291,0.0014492876065143859,"[0.03311966041440489, 0.035179399709014535, 0.03591571499762931]"
