comparison,metric,relative_difference_percent,n_model_seeds,mean_difference,sd_difference,ci95_low,ci95_high,paired_dz,exact_sign_flip_p,negative_seeds,positive_seeds,zero_seeds,per_seed_differences
B=16 - B=0,do_mae,21.576794001694577,3,0.00784843043413535,0.001745054615073258,0.0035134744556048854,0.012183386412665812,4.497527106798242,0.25,0,3,0,"[0.005901632588331818, 0.008371608055598008, 0.009272050658476222]"
B=16 - B=0,top_set_disagreement,-37.89473684210525,3,-0.3428571428571428,0.1660510359316842,-0.7553507833057616,0.06963649759147589,-2.064769671164227,0.25,3,0,0,"[-0.3896103896103895, -0.1584415584415585, -0.48051948051948046]"
B=16 - B=0,mean_regret,-57.88496770691595,3,-0.0031593313746154767,0.0010347856445182962,-0.00572988141783792,-0.0005887813313930333,-3.053126404827716,0.25,3,0,0,"[-0.0034851747555738476, -0.002000844066803431, -0.003991975301469152]"
B=64 - B=16,do_mae,-13.67048523919681,3,-0.006045476189074671,0.004348990454988744,-0.01684896738676073,0.004758015008611388,-1.3900872516608724,0.25,3,0,0,"[-0.005079535851804269, -0.0022606673772320104, -0.010796225338187734]"
B=64 - B=16,top_set_disagreement,-30.50847457627119,3,-0.17142857142857149,0.0610803948898953,-0.32316068382886887,-0.019696459028274133,-2.8066054867129124,0.25,3,0,0,"[-0.1688311688311689, -0.11168831168831173, -0.2337662337662338]"
B=64 - B=16,mean_regret,-41.654873459536205,3,-0.0009574858015436739,0.00035144678761598626,-0.0018305280203668875,-8.444358272046034e-05,-2.724411874806736,0.25,3,0,0,"[-0.0006595921435860505, -0.0013450942548718266, -0.0008677710061731442]"
B=64 - B=0,do_mae,4.956656323404208,3,0.001802954245060678,0.003910921594946916,-0.007912313577011073,0.011518222067132428,0.46100495785703677,0.75,1,2,0,"[0.0008220967365275486, 0.0061109406783659975, -0.0015241746797115124]"
B=64 - B=0,top_set_disagreement,-56.84210526315789,3,-0.5142857142857142,0.22534619456357363,-1.0740766944215672,0.0455052658501387,-2.282202791494783,0.25,3,0,0,"[-0.5584415584415584, -0.2701298701298702, -0.7142857142857142]"
B=64 - B=0,mean_regret,-75.42793111604291,3,-0.004116817176159151,0.0007572909248474189,-0.005998032121409657,-0.0022356022309086444,-5.436242586676473,0.25,3,0,0,"[-0.004144766899159898, -0.0033459383216752577, -0.004859746307642296]"
