setting,source_count,training_rows,cells,mean_rows_per_source_anchor_action_cell,median_rows_per_cell,min_rows_per_cell,p10_rows_per_cell,max_rows_per_cell
M2_diverse,2,42626,1998,21.334334334334333,21.0,21,21.0,22
M5_diverse,5,42646,4995,8.537737737737737,9.0,8,8.0,9
