comparison,metric,adaptive_mean,pooled_mean,n_model_seeds,mean_difference,sd_difference,ci95_low,ci95_high,paired_dz,exact_sign_flip_p,negative_seeds,positive_seeds,zero_seeds,per_seed_differences
"MSCSC_correct_source - pooled_rank0, M=5 diverse, B=64",do_mae,0.03817735923552848,0.03486709426133849,3,0.003310264974189995,0.0027359561383815375,-0.0034862268471139873,0.010106756795493978,1.2099115653762607,0.25,0,3,0,"[0.0028933008019643366, 0.006230768750934694, 0.0008067253696709548]"
"MSCSC_correct_source - pooled_rank0, M=5 diverse, B=64",top_set_disagreement,0.3904761904761905,0.40259740259740256,3,-0.01212121212121206,0.016495721976846463,-0.05309885716798614,0.028856432925562017,-0.7348094335140649,0.25,3,0,0,"[-0.031168831168831124, -0.0025974025974024872, -0.0025974025974025705]"
"MSCSC_correct_source - pooled_rank0, M=5 diverse, B=64",mean_regret,0.001341130715617953,0.0013452652750038062,3,-4.134559385853215e-06,0.00010638722969409362,-0.0002684150887275347,0.00026014596995582826,-0.0388633052833667,1.0,2,1,0,"[-8.60542303697746e-05, 0.00011610401393283114, -4.245346172061619e-05]"
"MSCSC_source_shuffle - pooled_rank0, M=5 diverse, B=64",do_mae,0.037014684910199235,0.03486709426133849,3,0.00214759064886075,0.001293800181435604,-0.0010663871734337233,0.005361568471155223,1.659909064534044,0.25,0,3,0,"[0.002578453669984951, 0.00069333441209498, 0.003170983864502319]"
"MSCSC_source_shuffle - pooled_rank0, M=5 diverse, B=64",top_set_disagreement,0.3844155844155844,0.40259740259740256,3,-0.018181818181818105,0.0988037745538193,-0.2636240006234688,0.2272603642598326,-0.18401946953873005,0.75,2,1,0,"[-0.02337662337662333, -0.1142857142857141, 0.08311688311688312]"
"MSCSC_source_shuffle - pooled_rank0, M=5 diverse, B=64",mean_regret,0.0013370782143757168,0.0013452652750038062,3,-8.18706062808953e-06,0.00029042665983055227,-0.0007296468788379816,0.0007132727575818025,-0.02818976960608996,1.0,2,1,0,"[-4.652752221953062e-05, -0.0002775391885743697, 0.00029950552890963174]"
