method,budget,do_mae_mean,do_mae_sd,top_set_disagreement_mean,top_set_disagreement_sd,mean_regret_mean,mean_regret_sd,rank1_selection_rate,rank1_selections_out_of_15
pooled_rank0,0,0.02680906262059006,0.0017955413972143561,0.4675324675324675,0.05951397006436153,0.002074389138718974,0.0005229873672137283,0.0,0
pooled_rank0,16,0.03330953417075552,0.005285556268678184,0.5021645021645021,0.18676631158052945,0.001989579132240325,0.0013940081694807601,0.0,0
pooled_rank0,64,0.029371825002260932,0.0013154246875592662,0.4848484848484848,0.279680483349531,0.0018470627543545638,0.0010713378686124375,0.0,0
MSCSC_correct_source,0,0.02730635858969484,0.0022571753412464943,0.44155844155844154,0.04682534123979209,0.0019972719174968664,0.0003262693830205118,0.0,0
MSCSC_correct_source,16,0.037037360923364286,0.005232613707119516,0.5887445887445888,0.20631509622312008,0.0021586274196663505,0.0010902866978333564,0.26666666666666666,4
MSCSC_correct_source,64,0.030023203418462773,0.001472982719823859,0.4683982683982684,0.19634599888722967,0.0018263242561550683,0.0008315883854499684,0.20000000000000004,3
MSCSC_source_shuffle,0,0.02745370793303542,0.0014173102254284686,0.45454545454545453,0.0649350649350649,0.001973787362376659,0.0002482442846870785,0.0,0
MSCSC_source_shuffle,16,0.037545933415503746,0.007008831511107744,0.5246753246753247,0.160724451993818,0.0020065223204035858,0.0010376338988298773,0.26666666666666666,4
MSCSC_source_shuffle,64,0.03137076292123309,0.0016458745947269026,0.48484848484848486,0.21251663823559297,0.0019074823217451978,0.0008762544141145894,0.20000000000000004,3
