budget,metric,mean,sd_across_model_seeds,per_seed
0,do_mae,0.036374404990467804,0.001975259912809666,"[0.03447926547694542, 0.03842105908947369, 0.03622289040498429]"
0,top_set_disagreement,0.9047619047619048,0.02703462336969,"[0.8961038961038961, 0.8831168831168832, 0.935064935064935]"
0,mean_regret,0.005457947891777104,0.00018079859151914971,"[0.005290445164727237, 0.0054337860586185375, 0.005649612451985537]"
16,do_mae,0.044222835424603146,0.0033898945780748988,"[0.04038089806527724, 0.0467926671450717, 0.04549494106346051]"
16,top_set_disagreement,0.561904761904762,0.1433364646689169,"[0.5064935064935066, 0.7246753246753247, 0.4545454545454546]"
16,mean_regret,0.0022986165171616267,0.0009851241579617396,"[0.001805270409153389, 0.0034329419918151063, 0.0016576371505163852]"
64,do_mae,0.03817735923552848,0.005511523194054833,"[0.03530136221347297, 0.04453199976783969, 0.03469871572527278]"
64,top_set_disagreement,0.3904761904761905,0.20136711587026854,"[0.33766233766233766, 0.612987012987013, 0.2207792207792208]"
64,mean_regret,0.001341130715617953,0.0006707013484817398,"[0.0011456782655673385, 0.0020878477369432797, 0.000789866144343241]"
