method,n_model_seeds,do_mae_mean,do_mae_sd,top_action_disagreement_mean,top_action_disagreement_sd,regret_mean_mean,regret_mean_sd,phi_mae_mean,phi_mae_sd
Source 1,3,3.6527237006764017,0.1791351679340342,0.9090909090909091,0.02249416633206335,0.8915648364144252,0.03511817117704523,4.8557213047358765,0.5695090284648241
Source 2,3,3.2492788843279747,0.5564079224560279,0.9090909090909091,0.0,0.8648345816068153,0.15661381323045204,4.821020017175425,1.1597702596340738
Source 3,3,3.6573962876033295,0.6479197845237155,0.9090909090909091,0.03436040663720249,0.7711406218825814,0.09128350513077907,5.370673303220286,1.716261844574708
Action-level min,3,2.3723345837920093,0.2065314214295149,0.9004329004329005,0.029992221776084464,0.8083792774678411,0.09280229289978151,3.0398431795700414,0.4892116909359003
State-level min,3,2.4923018012941416,0.20665252035628992,0.9047619047619048,0.029992221776084467,0.808369368429577,0.10918403467391627,3.180647226152079,0.5854368254260863
Pooled balanced,3,3.183286428507023,0.29322647051621303,0.9090909090909092,0.02249416633206335,0.8394076641344199,0.142053055485421,4.358165050964995,0.15211169613981168
