family,contrast,metric,direction,n_model_seeds,left_mean,right_mean,mean_difference_left_minus_right,difference_sd,ci95_low,ci95_high,relative_change_percent,cohen_dz,left_better_seed_count,exact_sign_flip_p,holm_p_six_primary_tests
primary,action_vs_pooled_balanced,do_mae,negative favors action-level min,3,2.3723345837920093,3.183286428507023,-0.8109518447150132,0.3055175801306849,-1.5698995871488934,-0.05200410228113317,-25.475302424964433,-2.654354110713135,3,0.25,1.0
primary,action_vs_pooled_balanced,top_action_disagreement,negative favors action-level min,3,0.9004329004329005,0.9090909090909092,-0.008658008658008661,0.027034623369690043,-0.07581573609614813,0.058499718780130806,-0.9523809523809527,-0.3202563076101743,1,1.0,1.0
primary,action_vs_pooled_balanced,regret_mean,negative favors action-level min,3,0.8083792774678411,0.8394076641344199,-0.03102838666657881,0.2346063363779927,-0.6138228343006513,0.5517660609674937,-3.6964621592506726,-0.1322572405571627,2,1.0,1.0
primary,action_vs_state_level,do_mae,negative favors action-level min,3,2.3723345837920093,2.4923018012941416,-0.1199672175021318,0.044738273247879455,-0.23110324923995965,-0.008831185764303945,-4.813510845269146,-2.6815343729838323,3,0.25,1.0
primary,action_vs_state_level,top_action_disagreement,negative favors action-level min,3,0.9004329004329005,0.9047619047619048,-0.004329004329004331,0.029992221776084464,-0.07883381350495718,0.0701758048469485,-0.47846889952153127,-0.14433756729740646,1,1.0,1.0
primary,action_vs_state_level,regret_mean,negative favors action-level min,3,0.8083792774678411,0.808369368429577,9.909038264107236e-06,0.022570102095291898,-0.056057332736814194,0.056077150813342413,0.00122580575799867,0.00043903382546835054,2,1.0,1.0
exploratory,action_vs_source_1,do_mae,negative favors action-level min,3,2.3723345837920093,3.6527237006764017,-1.2803891168843926,0.05385480829440669,-1.414171877132644,-1.1466063566361413,-35.05299666238904,-23.774833806573454,3,0.25,
exploratory,action_vs_source_1,top_action_disagreement,negative favors action-level min,3,0.9004329004329005,0.9090909090909091,-0.008658008658008661,0.045608890704990225,-0.12195677405363488,0.10464075673761757,-0.9523809523809528,-0.18983159915049982,2,0.75,
exploratory,action_vs_source_1,regret_mean,negative favors action-level min,3,0.8083792774678411,0.8915648364144252,-0.08318555894658412,0.11662502736878734,-0.3728981875781986,0.20652706968503032,-9.330287102969264,-0.7132736499476895,2,0.5,
exploratory,action_vs_source_2,do_mae,negative favors action-level min,3,2.3723345837920093,3.2492788843279747,-0.8769443005359655,0.3523429098236408,-1.7522126103296343,-0.0016759907422967402,-26.988889896945167,-2.4888944153151966,3,0.25,
exploratory,action_vs_source_2,top_action_disagreement,negative favors action-level min,3,0.9004329004329005,0.9090909090909091,-0.008658008658008661,0.029992221776084464,-0.0831628178339615,0.06584680051794418,-0.9523809523809528,-0.2886751345948129,2,1.0,
exploratory,action_vs_source_2,regret_mean,negative favors action-level min,3,0.8083792774678411,0.8648345816068153,-0.056455304138974295,0.09907766056408834,-0.3025778571474807,0.18966724886953212,-6.527873114657768,-0.569808610917455,2,0.5,
exploratory,action_vs_source_3,do_mae,negative favors action-level min,3,2.3723345837920093,3.6573962876033295,-1.28506170381132,0.664147853271327,-2.9348964323626947,0.3647730247400549,-35.135971132442236,-1.9349030452806848,3,0.25,
exploratory,action_vs_source_3,top_action_disagreement,negative favors action-level min,3,0.9004329004329005,0.9090909090909091,-0.008658008658008661,0.03749027722010558,-0.1017890201279497,0.08447300281193239,-0.9523809523809528,-0.23094010767585033,1,1.0,
exploratory,action_vs_source_3,regret_mean,negative favors action-level min,3,0.8083792774678411,0.7711406218825814,0.03723865558525963,0.008246160838806556,0.016754056467651147,0.05772325470286811,4.829035655565531,4.51587791133226,0,0.25,
