family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,bootstrap_valid_repetitions,subset
population_effect,0.0,confounded,plus,logger12_balanced,reward_balanced_do_error,2048,4.3986082137736915e-16,2.890260317512582e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,3.9968028886505635e-15,4.2788038737140432e-16,4.529796676644438e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,plus,logger12_balanced,delta_balanced_do_error,2048,2.9890327032753514e-16,2.64839555376474e-16,2.3801810956291467e-16,6.374028146683409e-17,1.2571906337753838e-16,3.3889522138603494e-16,8.895155871801736e-16,1.8463529948123327e-15,2.8736783408929516e-16,3.100744658499167e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,plus,all_sources_equal,reward_all_sources_equal_do_error,2048,1.04788139970724e-16,2.1833284894279886e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-15,9.524716085285156e-17,1.1405942379819065e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,plus,all_sources_equal,delta_all_sources_equal_do_error,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,reward_heavy_drift,2048,1.3794665641257234e-16,1.3760631418056623e-16,1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,2.9605947323337506e-16,2.812564995717063e-15,1.3241677358199095e-16,1.4412660879573964e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,delta_heavy_drift,2048,8.427671823338072e-17,8.985229760592458e-17,5.773550145480703e-17,1.1947992975461123e-17,2.6383204238947735e-17,1.110648385101375e-16,1.6715088634363888e-16,6.1063142464781e-16,8.041017851394913e-17,8.830543423497785e-17,anchor_id,2000,0,,
population_effect,0.0,confounded,all,logger12_balanced,reward_balanced_do_error,2048,1.8581418232780738e-16,1.7135371871964886e-16,1.4802973661668753e-16,0.0,1.4802973661668753e-16,2.9605947323337506e-16,2.9605947323337506e-16,5.625129991434126e-15,1.7921726385913812e-16,1.9401978576990178e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,all,logger12_balanced,delta_balanced_do_error,2048,1.0960450943334042e-16,9.588930269532296e-17,8.509724598190181e-17,2.2370509663335805e-17,4.3756302505976344e-17,1.3375895351679131e-16,2.975632904614115e-16,8.930344646897655e-16,1.054390729942952e-16,1.1377161066567525e-16,anchor_id,2000,0,,
population_effect,0.0,confounded,all,all_sources_equal,reward_all_sources_equal_do_error,2048,7.412328852559232e-17,1.6116847426605115e-16,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,5.625129991434126e-15,6.78710559975926e-17,8.171315548389612e-17,anchor_id,2000,0,,
population_effect,0.0,confounded,all,all_sources_equal,delta_all_sources_equal_do_error,2048,9.9700859908287e-18,2.3420377139206314e-17,5.782411586589357e-19,0.0,0.0,9.25185853854297e-18,3.700743415417188e-17,2.961046448778352e-16,8.975076962678072e-18,1.1027904335720015e-17,anchor_id,2000,0,,
ranking,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,heavy_top_set_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,heavy_strict_flip,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,confounded,all,logger12_balanced,balanced_vs_do_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,confounded,all,all_sources_equal,all_sources_equal_vs_do_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,reward_heavy_drift,2048,2.0925101928970236e-16,2.4465949727112464e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,1.9916658383287155e-16,2.1998597605002444e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,delta_heavy_drift,2048,2.7658459896064283e-16,2.8983424527917013e-16,1.9361043807421935e-16,4.4613809277951136e-17,1.1129893757970734e-16,3.334510447139825e-16,6.293738923423452e-16,2.676158867813097e-15,2.6391178775589687e-16,2.890842918725261e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,logger12_balanced,reward_balanced_do_error,2048,2.6877371855915655e-16,2.4370245829989786e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,2.579859069429258e-16,2.789652189805203e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,logger12_balanced,delta_balanced_do_error,2048,4.2136453674815704e-17,1.0081149367066392e-16,3.5497328627561165e-18,0.0,0.0,5.551115123125783e-17,1.1107649934270853e-16,9.172997289342144e-16,3.8029520527765946e-17,4.648545046357376e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,all_sources_equal,reward_all_sources_equal_do_error,2048,7.958043946043603e-17,1.818470997346673e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,7.182703867444906e-17,8.771331100679291e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,minus,all_sources_equal,delta_all_sources_equal_do_error,2048,4.460664706316519e-18,4.011575397595816e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,2.8489165785742173e-18,6.278965359464289e-18,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,reward_heavy_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,delta_heavy_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,logger12_balanced,reward_balanced_do_error,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,logger12_balanced,delta_balanced_do_error,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,all_sources_equal,reward_all_sources_equal_do_error,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,base,all_sources_equal,delta_all_sources_equal_do_error,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
population_effect,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,reward_heavy_drift,2048,2.0881733842070815e-16,2.42832956050457e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,1.986258379993444e-16,2.192297450347158e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,delta_heavy_drift,2048,2.320107249928102e-16,2.7966935835658317e-16,1.275111273384509e-16,2.1125422651943872e-17,5.775084061232225e-17,2.5476250345232463e-16,4.973753616908928e-16,1.8446726769750876e-15,2.200200952797747e-16,2.446107931894456e-16,anchor_id,2000,0,,
