family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,numerator_mean,denominator_mean,pointwise_ratios_computed
primary_mixture_drift,0.0,confounded,plus,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,9.8776800481388e-17,1.463427736751746e-16,5.554529005752625e-17,1.7972819585492244e-18,1.3877787807814457e-17,1.1445231709044298e-16,2.242025235105681e-16,9.424642647609475e-16,9.249510786837526e-17,1.0539929969303047e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,-6.86661375907486e-19,4.623656141103652e-17,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-2.9996260105432287e-18,9.75781955236954e-19,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,2.3491047070519264e-18,5.018111713019793e-17,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,5.782411586589357e-19,4.734349486520036e-18,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,1.1140177322288558e-16,1.1789579605911037e-16,1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,2.9605947323337506e-16,1.924386576016938e-15,1.0634216308461991e-16,1.165883253655131e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,6.637765861250351e-17,7.688538214707142e-17,4.192448055546358e-17,6.975608866524694e-18,1.923445882051814e-17,8.091460034515873e-17,1.5286835598781883e-16,6.014007327305697e-16,6.312903030615684e-17,6.963681079458075e-17,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger1_heavy,reward_do_error_signed,2048,-1.8127860323957634e-16,6.744786135091111e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,8.881784197001252e-16,-2.1581044243323966e-16,-1.5872584279916226e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger1_heavy,reward_do_error_abs,2048,1.8323016715005025e-16,6.739508071108299e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.7977620220553945e-14,1.6132792801312745e-16,2.1727547061881068e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger1_heavy,delta_do_error_l2,2048,1.0035617535612254e-16,1.4826936903458577e-16,5.556618191635903e-17,1.791395985745431e-18,1.218989618519634e-17,1.138057341658778e-16,2.289117002456878e-16,9.222286645778768e-16,9.394148691401678e-17,1.066154010445615e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger1_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger1_heavy,reward_do_error_signed,2048,0.0,8.696532577489456e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-4.445228907190568e-18,3.144186300207963e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger1_heavy,reward_do_error_abs,2048,3.686287386450715e-18,8.688712524926839e-17,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,8.673617379884035e-19,8.025806581823932e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger1_heavy,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger1_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger1_heavy,reward_do_error_signed,2048,-5.4047478298402396e-17,4.920885658436359e-15,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,2.220446049250313e-13,-1.7363633317626915e-16,1.730413772341177e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger1_heavy,reward_do_error_abs,2048,2.8303097712734093e-16,4.9130329281111455e-15,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-13,1.6495865003823828e-16,5.0850437142285755e-16,anchor_id,2000,0,,,
