kappa,lambda_reward,source_setting,condition,source_variant,method,mean_regret,median_regret,max_regret
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,best_single_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,correct,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,correct,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,correct,best_single_lower,0.006091931058163257,0.005419228305877599,0.015410062283446102
0.3,0.05,M5_same_direction_diverse,confounded,correct,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M5_same_direction_diverse,confounded,correct,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,best_single_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,correct,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,correct,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,correct,best_single_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,correct,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M5_redundant,confounded,correct,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,shuffle,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,shuffle,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,shuffle,best_single_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M5_redundant,confounded,shuffle,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M5_redundant,confounded,shuffle,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,matched_opposite_M2,confounded,correct,natural_intersection_lower,0.00011437296323595905,0.0,0.003867395666932616
0.3,0.05,matched_opposite_M2,confounded,correct,pooled_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,matched_opposite_M2,confounded,correct,best_single_lower,0.003932805270114496,0.002025529766037204,0.017062863351915425
0.3,0.05,matched_opposite_M2,confounded,correct,joint_lower,8.536621092435645e-05,0.0,0.001909651806830892
