kappa,lambda_reward,source_setting,condition,source_variant,anchor_count,coverage_fraction,natural_coverage_fraction,natural_width_mean,natural_width_median,joint_width_mean,joint_width_median,joint_width_p10,joint_width_p90,joint_width_max,joint_over_natural_width,width_reduction_mean,strict_tightening_fraction,exact_equality_fraction
0.0,0.05,M2_same_direction_diverse,confounded,correct,256,1.0,1.0,3.3291614048576537,2.7384581590075645,0.05466666666666652,0.03699999999999992,0.03699999999999948,0.08999999999999986,0.09000000000000075,0.016420551610054464,3.2744947381909877,1.0,0.0
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,256,1.0,1.0,3.3411614048576532,2.7564581590075647,0.06666666666666647,0.05500000000000016,0.05499999999999927,0.08999999999999986,0.09000000000000075,0.01995314161409294,3.274494738190988,1.0,0.0
0.0,0.05,M5_same_direction_diverse,confounded,correct,256,1.0,1.0,3.3291614048576537,2.7384581590075645,0.05466666666666653,0.037000000000000366,0.03699999999999948,0.08999999999999986,0.09000000000000075,0.016420551610054464,3.274494738190988,1.0,0.0
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,256,1.0,1.0,3.3411614048576532,2.756458159007564,0.06666666666666644,0.05500000000000016,0.05499999999999927,0.08999999999999986,0.09000000000000075,0.019953141614092933,3.274494738190987,1.0,0.0
0.0,0.05,M5_redundant,confounded,correct,256,1.0,1.0,3.3411614048576532,2.7564581590075647,0.06666666666666644,0.05500000000000016,0.054999999999999716,0.08999999999999986,0.0900000000000003,0.019953141614092933,3.274494738190988,1.0,0.0
0.0,0.05,M5_redundant,confounded,shuffle,256,1.0,1.0,3.3411614048576532,2.7564581590075647,0.06666666666666644,0.05500000000000016,0.054999999999999716,0.08999999999999986,0.0900000000000003,0.019953141614092933,3.274494738190988,1.0,0.0
0.0,0.05,matched_opposite_M2,confounded,correct,256,1.0,1.0,3.3141614048576535,2.715958159007565,0.03966666666666647,0.014499999999999957,0.014499999999999513,0.08999999999999986,0.09000000000000075,0.011968839721724474,3.274494738190988,1.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,256,1.0,1.0,3.3411614048576532,2.7564581590075647,0.06666666666666647,0.05500000000000016,0.05499999999999927,0.08999999999999986,0.09000000000000075,0.01995314161409294,3.274494738190988,1.0,0.0
0.3,0.05,M2_same_direction_diverse,confounded,correct,256,1.0,1.0,3.3296475436456574,2.740769804288253,0.049712334117456514,0.03487766521487401,0.029914115009267973,0.08440238777460167,0.11552601875622814,0.014930209118478074,3.2799352095282006,1.0,0.0
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.06063651995683542,0.05184517802210997,0.04446692771647913,0.08440238777460225,0.11552601875622792,0.018151539576784604,3.279935209528201,1.0,0.0
0.3,0.05,M5_same_direction_diverse,confounded,correct,256,1.0,1.0,3.3296475436456574,2.740769804288253,0.049712334117456465,0.03487766521487401,0.029914115009268105,0.08440238777460145,0.11552601875622814,0.014930209118478059,3.2799352095282006,1.0,0.0
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.060636519956835354,0.05184517802211058,0.044466927716478956,0.08440238777460199,0.11552601875622792,0.018151539576784583,3.2799352095282006,1.0,0.0
0.3,0.05,M5_redundant,confounded,correct,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.06063651995683537,0.05184517802211014,0.044466927716478824,0.08440238777460173,0.11552601875622748,0.018151539576784587,3.279935209528201,1.0,0.0
0.3,0.05,M5_redundant,confounded,shuffle,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.06063651995683537,0.05184517802211014,0.044466927716478824,0.08440238777460173,0.11552601875622748,0.018151539576784587,3.279935209528201,1.0,0.0
0.3,0.05,matched_opposite_M2,confounded,correct,256,1.0,1.0,3.315992311346433,2.721767463617126,0.03605710181823275,0.013668274205829056,0.011723099125253312,0.08440238777460185,0.11552601875622792,0.010873698860776923,3.279935209528201,1.0,0.0
0.3,0.05,matched_opposite_M2,confounded,shuffle,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.06063651995683544,0.051845178022110416,0.044466927716479,0.08440238777460167,0.11552601875622814,0.018151539576784607,3.279935209528201,1.0,0.0
0.3,0.0,M5_same_direction_diverse,confounded,correct,256,1.0,1.0,3.2758902679195274,2.7025851257055704,0.006048251407136852,0.004714288797578181,0.0017448665733620584,0.012651129416612651,0.027447816104400946,0.0018462924312107722,3.2698420165123903,1.0,0.0
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,256,1.0,1.0,3.277216695588269,2.7037037738603225,0.007374679075879509,0.005877706341262057,0.0024245146319811007,0.015136091942797508,0.02744781610440139,0.002250287289762429,3.26984201651239,1.0,0.0
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.0606365199568355,0.051845178022110194,0.044466927716478824,0.08440238777460261,0.11552601875622814,0.018151539576784625,3.2799352095282006,1.0,0.0
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,256,1.0,1.0,3.340571729485036,2.7559716768251548,0.0606365199568355,0.051845178022110194,0.044466927716478824,0.08440238777460261,0.11552601875622814,0.018151539576784625,3.2799352095282006,1.0,0.0
