probe_set,count,mean,std,min,p01,p99,max,mean_abs,interpretation
train_anchor,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_only_no_ood_threshold
real_next_bootstrap,19584,0.9925797682467786,0.5387681871718312,0.21469944997317722,0.28838458607890133,3.6815661414347014,4.391708041765849,0.9925797682467786,descriptive_only_no_ood_threshold
model_next,186368,0.7831573351176075,0.3017071427742551,0.17196582180651798,0.1978863377168184,1.386676452796148,1.5243890013692873,0.7831573351176075,descriptive_only_no_ood_threshold
