variant,epoch,anchor_id,state_index,candidate_index,selected_by_model_max,true_do_reward,model_reward_error,transition_error_l2,true_do_next_value,value_extrapolation_error,simulator_bellman,model_bellman,bellman_prediction_error
matched_moving_target,0,333,0,0,True,2.4180136724633954,0.01563396788832705,1.7200061134638664,-6.429550225561798e-08,-1.4752107091453581e-08,2.418013608810848,5.5085176849438735,3.0905040761330254
matched_moving_target,0,333,0,1,False,2.472183026048644,0.000891428865859023,1.0601775028090825,-5.558936599925346e-08,3.293182615493606e-09,2.4721829710151715,3.6354603190865946,1.1632773480714231
matched_moving_target,0,333,0,2,False,2.4619314532581345,-0.004794029622139373,0.512877152866812,-5.97703575522246e-08,3.75509756622705e-09,2.4619313940854806,3.74582962362619,1.2838982295407093
matched_moving_target,0,333,0,3,False,2.487292856399626,0.012820233699401662,1.2414446350752384,-5.3521818088597684e-08,2.738998361451195e-09,2.487292803413026,4.148765510280229,1.6614727068672028
matched_moving_target,0,333,0,4,False,2.5149451010164756,-0.00013594914839698546,1.076245720598642,-5.64352689025327e-08,-5.465381036628969e-09,2.5149450451455593,5.085185624289124,2.5702405791435643
matched_moving_target,0,333,0,5,False,2.4587128836247905,-0.00455014569026968,1.384480199875606,-7.141741420468861e-08,-8.617870861371557e-09,2.4587128129215503,5.3926344754526605,2.93392166253111
matched_moving_target,0,333,0,6,False,2.4923162770058753,0.005220765802247396,1.121807337584181,-5.6888913135821895e-08,-2.7814426317718244e-09,2.492316220685851,4.4219238521388124,1.9296076314529613
matched_moving_target,0,333,0,7,False,2.4389905818542217,-0.008364934195609575,1.53172937634506,-5.858671414671335e-08,2.1349961798478034e-09,2.438990523853375,4.358372962059826,1.9193824382064508
matched_moving_target,0,333,0,8,False,2.462610186623551,0.00045555243660810874,1.049703963541393,-6.257776163920425e-08,-6.623537274208502e-10,2.462610124671567,4.191436408548367,1.7288262838768
matched_moving_target,0,333,0,9,False,2.45508797247638,-0.013977182963109236,0.1418101323665137,-6.478887826233404e-08,3.403087589504139e-09,2.4550879083353907,4.441874542793541,1.9867866344581504
matched_moving_target,0,333,0,10,False,2.4554821058325835,-0.012057503314405693,0.7792245107611773,-5.647501488681428e-08,1.0018387897048342e-08,2.4554820499223187,3.201346265336804,0.7458642154144854
matched_moving_target,0,333,0,11,False,2.431063707647845,-0.006205283383569515,0.549675692176005,-6.757847614835555e-08,2.805144561079942e-09,2.431063640745154,4.709863559265194,2.27879991852004
matched_moving_target,0,333,0,12,False,2.440615884355516,0.005527605903530741,1.0080992994859208,-7.098659438042887e-08,-4.749374227230874e-09,2.4406158140787877,5.448037295594266,3.007421481515478
matched_moving_target,0,333,0,13,False,2.4215580845912212,-0.00020148107807838045,0.8656869179551273,-6.413140241079418e-08,-2.4215260907567426e-09,2.421558021101133,5.2662375377842165,2.8446795166830836
matched_moving_target,0,333,0,14,False,2.452111870327524,-0.004817059376989619,1.1658181255217026,-5.9226625381825215e-08,2.764235063068554e-09,2.452111811693165,3.481395719898181,1.029283908205016
matched_moving_target,0,333,0,15,False,2.4600758955846875,-0.006205872534274182,0.8600644923624693,-5.5947170451986494e-08,6.851076150837798e-09,2.4600758401969887,3.425895897511353,0.9658200573143643
matched_moving_target,0,333,0,16,False,2.451357752884374,-0.003624352332082914,1.291711308835194,-5.993992502340006e-08,9.163230174635828e-10,2.4513576935438484,3.4742371021473293,1.022879408603481
matched_moving_target,0,333,0,17,False,2.4568049576857875,-0.005465100120980004,0.8490808084100825,-5.802639435614765e-08,3.870532339078636e-09,2.456804900239657,3.2409719365688145,0.7841670363291575
matched_moving_target,0,333,0,18,False,2.4564237580413204,-0.0037620171621197684,1.0017995993625464,-5.9091206594530377e-08,3.2252245318886708e-09,2.456423699541026,3.5240229541005554,1.0675992545595294
matched_moving_target,0,333,0,19,False,2.4341543712350546,-0.0028678968536279825,1.1041675370943977,-6.065546998001992e-08,-1.975902108597438e-09,2.4341543111861395,4.183165850516169,1.7490115393300298
matched_moving_target,0,333,0,20,False,2.4485769730700677,0.0021809027579853257,1.912876225391323,-6.411125852423538e-08,-1.3155993627833595e-08,2.4485769095999217,4.781901558210338,2.333324648610416
matched_moving_target,0,333,0,21,False,2.4502691020763776,-0.0068707965448040476,1.050114287235709,-5.854277951300446e-08,3.6507987744016646e-09,2.450269044119026,3.6255933901412423,1.1753243460222165
matched_moving_target,0,333,0,22,False,2.4488056510861593,-0.011862060448363465,1.0542222074061003,-5.7054595714589595e-08,9.215895602210367e-09,2.4488055946021094,3.248184952114646,0.7993793575125365
matched_moving_target,0,333,0,23,False,2.4855218503132503,-0.009663500771412536,0.3065593573308715,-5.444094952622436e-08,8.398259865316504e-11,2.4855217964167102,4.114376602317017,1.6288548059003065
matched_moving_target,0,333,0,24,False,2.449581540787121,-0.006439033216152801,1.5796519737614465,-5.703734018425166e-08,9.910191778317312e-09,2.4495814843201544,3.369987191858547,0.9204057075383925
matched_moving_target,0,333,0,25,False,2.4517287235548935,0.002481229423757725,2.0721393609880114,-5.6781541246664347e-08,9.409042434072035e-09,2.451728667341168,4.341176867319564,1.8894481999783959
matched_moving_target,0,333,0,26,False,2.457009674264799,-0.009155684558900923,0.7511595472023717,-5.65427740184532e-08,5.998547436547597e-09,2.4570096182874526,3.4257204611142424,0.9687108428267899
matched_moving_target,0,333,0,27,False,2.446964240226005,-0.015342571212879186,0.3685422277082957,-5.753780030204325e-08,8.093920200735738e-09,2.4469641832635824,3.221956743580786,0.7749925603172034
matched_moving_target,0,334,1,0,False,2.623888703693008,0.0695020199265306,0.6818876717689614,-5.3523557141943456e-08,-1.7707968424929277e-09,2.623888650704686,4.670282980244783,2.0463943295400973
matched_moving_target,0,334,1,1,False,2.562863026378367,-0.023409184581809406,0.20752003186430618,-7.027110981994156e-08,4.093081429346057e-11,2.5628629568099686,3.7549769544407803,1.1921139976308117
matched_moving_target,0,334,1,2,False,2.661685675253845,0.04163613753842643,0.35718103078755836,-4.6145434140498764e-08,-4.189988800362698e-09,2.6616856295698654,4.406308736930261,1.7446231073603955
matched_moving_target,0,334,1,3,False,2.613687915687616,0.012007376402080716,0.23147746007370248,-7.579574301530556e-08,-4.035992873241412e-09,2.6136878406498303,3.336598467971281,0.7229106273214505
matched_moving_target,0,334,1,4,False,2.6008846508701837,-0.0039140123884942035,0.35695370790837094,-7.263966850246106e-08,1.3568701717758813e-09,2.600884578956912,3.8124473893973025,1.2115628104403906
matched_moving_target,0,334,1,5,False,2.6308987342563004,0.02743674999402579,0.23252286364768635,-6.971258414978365e-08,-3.393736847101536e-09,2.630898665240842,3.704754570602244,1.0738559053614019
matched_moving_target,0,334,1,6,False,2.5899587315077466,0.011414537437530736,0.2549290577749242,-6.995880497129292e-08,6.772378213781849e-09,2.5899586622485296,3.863514958424229,1.2735562961756997
matched_moving_target,0,334,1,7,False,2.607412453987336,0.030521993560900462,0.5511169000125068,-7.107120580940318e-08,3.5040557122556493e-09,2.607412383626842,3.9185566331853403,1.3111442495584984
matched_moving_target,0,334,1,8,False,2.6049690404816834,0.011855937820619111,0.13325958203566882,-7.203329843719075e-08,2.093205608844073e-09,2.604968969168718,3.7000206860985494,1.0950517169298313
matched_moving_target,0,334,1,9,False,2.571611522005265,-0.005309008570771656,0.12564987769382605,-7.04176059684869e-08,-5.4862780984876736e-09,2.5716114522918354,3.598304007089842,1.0266925547980068
matched_moving_target,0,334,1,10,False,2.6575582957004373,0.0525143259405505,0.3799510907253521,-5.8728746310521274e-08,-9.270165080010884e-09,2.6575582375589786,4.445766116757043,1.7882078791980645
matched_moving_target,0,334,1,11,False,2.623845587842215,0.05716288701317929,0.600600962385089,-6.348525261046234e-08,2.901998641391401e-10,2.623845524991815,4.339910293585898,1.7160647685940833
matched_moving_target,0,334,1,12,False,2.5758907746019206,0.0666580355284454,0.6371409907047366,-5.800560032298563e-08,7.58738138983972e-09,2.5758907171763763,5.222563522539485,2.6466728053631083
matched_moving_target,0,334,1,13,False,2.6063477254092264,0.03465705623319426,0.21461545615003075,-6.180477463146872e-08,1.3422420508391042e-08,2.6063476642224996,4.494686638998328,1.8883389747758281
matched_moving_target,0,334,1,14,False,2.648876062582766,0.06128710436437057,0.24655227395255236,-3.983240048910375e-08,-3.865281428261369e-10,2.6488760231486896,4.767511881449357,2.1186358583006673
matched_moving_target,0,334,1,15,False,2.6182086965634177,0.06766991584783533,0.14231112062462575,-5.640505840176502e-08,6.2344813755998985e-09,2.61820864072241,4.6300472959702095,2.0118386552477996
matched_moving_target,0,334,1,16,False,2.6426457763561624,0.0615417222014214,0.21873284205097968,-4.3851217768065e-08,2.4010073929048303e-09,2.642645732943457,4.480310365886687,1.8376646329432305
matched_moving_target,0,334,1,17,False,2.608478547208482,0.019913841063254445,0.12802942630743647,-7.016989300723253e-08,3.5150726773736096e-09,2.608478477740288,3.668215119444319,1.0597366417040308
matched_moving_target,0,334,1,18,False,2.6085776495870463,0.0020159083388509025,0.29069302486400805,-7.482705655093014e-08,1.3385559327616647e-09,2.6085775755082605,3.513047962706258,0.9044703871979975
matched_moving_target,0,334,1,19,False,2.6393839867967843,0.02413294627651741,0.3231135748229531,-5.9041212807642296e-08,-1.504311342159781e-09,2.6393839283459837,4.410150409501699,1.7707664811557153
matched_moving_target,0,334,1,20,False,2.544613706190425,-0.022147258002703563,0.18599609031710723,-7.062013551717428e-08,-2.353655048636938e-09,2.5446136362764906,4.193445742990827,1.648832106714336
matched_moving_target,0,334,1,21,True,2.6724332700136078,0.10850632846820574,0.42587175799428145,-1.670810245713028e-08,-1.0525600835364912e-08,2.6724332534725863,5.530831587601355,2.858398334128769
matched_moving_target,0,334,1,22,False,2.607668126374024,0.03647261689470982,0.11729629053617002,-6.636675209392706e-08,6.964796739339363e-09,2.6076680606709393,3.9544804594581047,1.3468123987871654
matched_moving_target,0,334,1,23,False,2.5529636226935937,-0.012264259986051407,0.16321201539486796,-6.238089511612088e-08,3.3235174612400442e-09,2.5529635609365076,4.760885185542664,2.2079216246061564
matched_moving_target,0,334,1,24,False,2.5940742420571157,0.04126296430017273,0.7961930211419547,-6.96605901850944e-08,2.368768292626555e-09,2.5940741730931314,4.382742953795148,1.7886687807020167
matched_moving_target,0,334,1,25,False,2.565010177512557,-0.01697335788363441,0.11835450203285088,-6.881554881488228e-08,-1.7774972604911454e-09,2.5650101093851636,3.4583182525119627,0.8933081431267991
matched_moving_target,0,334,1,26,False,2.6010183237714743,0.027455185187085895,0.12694198652275074,-6.811787400806679e-08,7.01465197039397e-09,2.601018256334779,4.006033891256419,1.4050156349216403
matched_moving_target,0,334,1,27,False,2.5973090307136486,0.0012643447383178241,0.17266933144375654,-7.644314337085234e-08,-2.470279980570922e-09,2.597308955034937,3.2346062451594344,0.6372972901244975
matched_moving_target,0,335,2,0,False,0.9490444407922478,0.009114589035506881,0.20832970582274168,-1.5147732312925655e-07,-2.1698127739000483e-09,0.9490442908296979,1.6797446949214803,0.7307004040917824
matched_moving_target,0,335,2,1,False,0.928696940307071,-0.011986190952918752,0.058014393378386396,-1.9496212644298794e-07,-3.6965275285183452e-09,0.9286967472945657,3.231650630156996,2.3029538828624303
matched_moving_target,0,335,2,2,False,0.9555018809036212,-0.005774621235256849,0.19113628939946906,-1.1444413061667547e-07,-1.1398714860888504e-08,0.9555017676039319,3.2481589174489436,2.2926571498450117
matched_moving_target,0,335,2,3,True,0.9324822747624005,0.10022374692318359,0.7403222398905964,-1.1109124642416646e-07,-8.636170889531058e-09,0.9324821647820666,5.512005063224151,4.579522898442084
matched_moving_target,0,335,2,4,False,0.9594611648548061,0.030392354051509196,0.37778441433590887,-1.0807644912347314e-07,-7.307257021693658e-09,0.9594610578591215,3.8510635097665884,2.891602451907467
matched_moving_target,0,335,2,5,False,0.9390928095981772,-0.0025149627070086833,0.10093710062693638,-1.868667496296439e-07,-4.103917206066399e-09,0.939092624600095,2.9521844979359786,2.013091873335884
matched_moving_target,0,335,2,6,False,0.9481241149693329,0.000992429366774017,0.12695857782733383,-1.624818537493411e-07,-2.3065069854055764e-09,0.9481239541122977,3.2478535401305595,2.2997295860182616
matched_moving_target,0,335,2,7,False,0.9477662744360047,-0.004630731444775993,0.11231220761717672,-1.5609695225293763e-07,-3.4157423556280264e-09,0.947766119900022,3.244863045774924,2.297096925874902
matched_moving_target,0,335,2,8,False,0.9505093457384227,-0.004916965397311679,0.1257422637001428,-1.493725676482427e-07,-4.38137703895336e-09,0.9505091978595808,3.2460914681815893,2.295582270322009
matched_moving_target,0,335,2,9,False,0.9507609377946135,0.006147789851865038,0.18411451151482405,-1.4834120776185955e-07,-2.9890898645135167e-09,0.9507607909368178,1.999305066311332,1.0485442753745144
matched_moving_target,0,335,2,10,False,0.9496468475654098,-0.008389792113780548,0.12454216051122736,-1.5069634429210055e-07,-4.619046478637756e-09,0.949646698376029,3.0072447557019157,2.0575980573258867
matched_moving_target,0,335,2,11,False,0.9524744156689081,-0.007512795216277346,0.13655685185798674,-1.4038092643886557e-07,-5.778311162885075e-09,0.952474276691791,3.245776088990242,2.293301812298451
matched_moving_target,0,335,2,12,False,0.9452154196670157,-0.017007738106479264,0.11843447478342461,-1.5492970817376772e-07,-5.755850907007698e-09,0.9452152662866047,3.2373991055962854,2.292183839309681
matched_moving_target,0,335,2,13,False,0.9428597169379456,0.024566885875188627,0.3710367281604786,-1.412934551581202e-07,-8.194689371521235e-10,0.942859577057425,3.3639490273755097,2.421089450318085
matched_moving_target,0,335,2,14,False,0.9516224162560305,0.00491263672765152,0.19826670961037052,-1.239454263668449e-07,-7.189242978711263e-09,0.9516222935500585,3.251562808992757,2.2999405154426986
