variant,epoch,quantity,count,mean,std,min,p50,p90,p95,p99,max
matched_moving_target,0,observed_return,1428,2.832077604699573,0.8835524401552327,0.8605186626781446,2.790469951177731,3.932147585379776,4.529711734525451,4.824574722391049,4.8708118971266705
matched_moving_target,0,road_return,1428,5.5465907755958925,3.99038968990103e-08,5.546590660245401,5.546590773119766,5.546590826186212,5.546590851630606,5.546590861376351,5.54659087875454
matched_moving_target,0,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
matched_moving_target,0,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
matched_moving_target,0,final_backup,1428,4.259386193901346,0.720499183615923,0.9282263939930511,4.2430641397335105,5.230302527399303,5.442941207581562,5.5382129579620045,5.546590591905637
matched_moving_target,0,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
matched_moving_target,0,observed_continuation_contribution,1428,-2.3089160893946675e-08,2.5405360405511664e-08,-1.6279267570717019e-07,-1.9734902679932696e-08,2.1853201698911134e-09,1.2859799506478122e-08,2.414445613472362e-08,4.8009769168873356e-08
matched_moving_target,0,road_continuation_contribution,1428,-1.5394389418976113e-08,2.300052446312747e-08,-1.3656804833766526e-07,-1.3977739681362224e-08,9.344998444569947e-09,1.9558379736898362e-08,3.9256120593950054e-08,5.6101643557937754e-08
matched_moving_target,50,observed_return,1428,52.67983956536151,3.6025278975125814,45.03031647609406,52.16571876283388,57.58386609146135,58.86632670588891,63.74062841457633,64.13733362603645
matched_moving_target,50,road_return,1428,56.40682144060856,3.0608395782834403,50.741640701293946,56.00487911224365,60.75857289505004,61.876564149856556,65.53141975479126,65.71581745147705
matched_moving_target,50,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
matched_moving_target,50,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
matched_moving_target,50,final_backup,1428,54.637698963456494,3.388110018610322,45.5011650991333,54.30154249038031,59.345914015315394,60.60951284175602,64.60897736307955,65.53963233509435
matched_moving_target,50,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
matched_moving_target,50,observed_continuation_contribution,1428,23.420879887033905,10.41526121120594,5.403128049569499e-06,24.741432898336484,34.605567173847156,37.25554051616637,47.40479660146051,59.64737643258832
matched_moving_target,50,road_continuation_contribution,1428,26.957433270258434,10.7172980127925,5.625338012197755e-06,24.60456717351053,43.92291058332164,48.355387466441414,54.38166707195566,58.732623451114705
matched_moving_target,100,observed_return,1428,142.0947678952941,19.4697094844814,107.7070866681565,143.44012127710096,165.2339674415049,180.12661286975964,184.7148789938606,194.54402228417254
matched_moving_target,100,road_return,1428,151.31058951610277,19.668383011027917,113.4261442565918,153.27189949035645,175.02957403564454,184.42158874511716,200.32187427062988,203.13354194641113
matched_moving_target,100,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
matched_moving_target,100,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
matched_moving_target,100,final_backup,1428,146.98727976244504,19.625230956788638,110.52436425857428,148.61938324443918,169.8460112091199,183.34501059103985,192.42461496276232,200.3265256173747
matched_moving_target,100,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
matched_moving_target,100,observed_continuation_contribution,1428,65.46205152740454,30.54713142783575,1.671893349151129e-05,69.19200029102558,99.85137395319134,107.52523295957181,140.64632877878768,180.79244855999332
