variant,epoch,candidate_statistic,selected_diagnostic,error_scope,bellman_error_mean,count,mean,std,min,p50,p90,p95,p99,max,selected_transition_error_mean,all_transition_error_mean,selected_reward_error_mean,all_reward_error_mean,selected_value_extrapolation_error_mean,all_value_extrapolation_error_mean,selected_bellman_error_mean,all_bellman_error_mean,selected_bellman_abs_error_mean,all_bellman_abs_error_mean,selected_positive_bellman_error_mean,all_positive_bellman_error_mean,selected_observed_weight_mean,all_observed_weight_mean,spearman_model_backup_vs_bellman_error
matched_moving_target,0,candidate_mean,not_applicable,not_applicable,0.0,51,4.259386193901346,0.4657757137963217,3.1165932805400325,4.310598360708567,4.767963227345052,5.147471731041039,5.2237254205684085,5.261139015915812,,,,,,,,,,,,,,,
matched_moving_target,0,candidate_p95,not_applicable,not_applicable,0.0,51,5.193247377102787,0.38266806292296823,3.5205397211659255,5.278586176529369,5.5160283668947505,5.523262212773637,5.542740940461503,5.546571624268413,,,,,,,,,,,,,,,
matched_moving_target,0,candidate_max,not_applicable,not_applicable,0.0,51,5.413923624218957,0.19553029836618646,4.591095882325242,5.508399488942777,5.541715575124357,5.545372982696981,5.546589251151133,5.546590591905637,,,,,,,,,,,,,,,
matched_moving_target,0,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,4.798530501477859,2.6204184497305025,0.8848532438278198,4.312170028686523,6.751593589782715,8.29267430305481,14.941702365875244,16.169353485107422,,,,,,,,,,,,,,,
matched_moving_target,0,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.0251712056349744,0.47453799258286994,0.37404399280927214,0.9620761964598072,1.5199666062997133,1.5873224397948515,2.656097128850436,3.249785382856094,,,,,,,,,,,,,,,
matched_moving_target,0,not_applicable,not_applicable,all_candidates,1.4198842757101298,,0.0,,,,,,,,0.7842520382722128,0.7268176305992194,-0.00179326385558556,-0.007424314159551761,1.7783883233138016e-09,6.746558331276261e-10,2.5795728476002426,1.4198842757101298,2.5795728476002426,1.4201518684490333,2.5795728476002426,1.4200180720795814,0.04618019610643387,0.4702308177947998,0.16186738026162126
matched_moving_target,0,not_applicable,not_applicable,max_selected,2.5795728476002426,,0.0,,,,,,,,0.7842520382722128,0.7268176305992194,-0.00179326385558556,-0.007424314159551761,1.7783883233138016e-09,6.746558331276261e-10,2.5795728476002426,1.4198842757101298,2.5795728476002426,1.4201518684490333,2.5795728476002426,1.4200180720795814,0.04618019610643387,0.4702308177947998,0.16186738026162126
matched_moving_target,50,candidate_mean,not_applicable,not_applicable,0.0,51,54.6376989634565,3.2891922687558752,48.3787804133943,54.35448411383073,58.74766885917826,60.02118323662832,63.190510770085545,64.68085839899524,,,,,,,,,,,,,,,
matched_moving_target,50,candidate_p95,not_applicable,not_applicable,0.0,51,55.96485174774125,3.243953106534037,50.13800263527413,55.76497986979925,60.13023600131961,61.33331733870368,63.8020579802328,65.39268304188037,,,,,,,,,,,,,,,
matched_moving_target,50,candidate_max,not_applicable,not_applicable,0.0,51,56.32437806571255,3.2021327151198262,51.453874492762786,56.07512950822619,60.59726900106116,61.95026136261373,64.02251192383864,65.53963233509435,,,,,,,,,,,,,,,
matched_moving_target,50,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,4.275853311314302,2.418632817452301,0.17574596405029297,3.819608688354492,6.463850021362305,7.943292617797852,13.032838344573975,13.714051246643066,,,,,,,,,,,,,,,
matched_moving_target,50,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.0554076390735305,0.47197471321548723,0.37404399280927214,0.9620761964598072,1.521358748230895,1.8412658121753922,2.603921152461517,2.9535628762546438,,,,,,,,,,,,,,,
matched_moving_target,50,not_applicable,not_applicable,all_candidates,2.1161000860450643,,0.0,,,,,,,,0.7823995445511022,0.7268176305992194,-0.0018992755437705993,-0.007424314159551761,0.13344207464479932,0.16733838596931694,3.452190392406342,2.1161000860450643,3.4565239478662977,2.1308820149410734,3.4543571701363196,2.1234910504930684,0.07246299088001251,0.4702308177947998,0.01829111598768195
