variant,epoch,diagnostic_backup,count,mean,std,min,p50,p90,p95,p99,max,logged_action_transition_error_count,logged_action_transition_error_mean,logged_action_transition_error_std,logged_action_transition_error_min,logged_action_transition_error_p50,logged_action_transition_error_p90,logged_action_transition_error_p95,logged_action_transition_error_p99,logged_action_transition_error_max
matched_moving_target,0,D0_observed_only,51,2.8408619527993113,0.8831070725965171,0.8732937439991821,2.8078307593493252,3.84371766266659,4.550224291404306,4.789559606247505,4.799047477254757,,,,,,,,,
matched_moving_target,0,D1_model_next_no_max,51,4.085071325132788,0.8070127709752737,1.1160134800984514,4.196086847612118,4.9533484722028005,5.323614853332842,5.463250829303522,5.4655280942782625,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
matched_moving_target,0,D2_model_next_candidate_mean,51,4.259386193901346,0.4657757137963217,3.1165932805400325,4.310598360708567,4.767963227345052,5.147471731041039,5.2237254205684085,5.261139015915812,,,,,,,,,
matched_moving_target,0,D3_original_candidate_max,51,5.413923624218957,0.19553029836618646,4.591095882325242,5.508399488942777,5.541715575124357,5.545372982696981,5.546589251151133,5.546590591905637,,,,,,,,,
matched_moving_target,50,D0_observed_only,51,52.63029903781181,3.514277663206533,45.521399850845334,51.94821296215057,57.446351270675656,59.021081304550165,61.90020861625671,63.517110939025876,,,,,,,,,
matched_moving_target,50,D1_model_next_no_max,51,54.452327644243766,3.538066920531499,45.93322253286797,53.98956221307381,59.62052129813732,60.40436557841862,63.41466290705015,64.98326559789822,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
matched_moving_target,50,D2_model_next_candidate_mean,51,54.6376989634565,3.2891922687558752,48.3787804133943,54.35448411383073,58.74766885917826,60.02118323662832,63.190510770085545,64.68085839899524,,,,,,,,,
matched_moving_target,50,D3_original_candidate_max,51,56.32437806571255,3.2021327151198262,51.453874492762786,56.07512950822619,60.59726900106116,61.95026136261373,64.02251192383864,65.53963233509435,,,,,,,,,
matched_moving_target,100,D0_observed_only,51,142.10252783078775,18.76209533980271,108.16658482551574,144.62123008728028,163.76798377037048,175.08166449069978,180.1465814495087,183.58734607696533,,,,,,,,,
matched_moving_target,100,D1_model_next_no_max,51,146.95389554721618,19.553751505510093,111.55993270797455,149.44475234747173,168.31642563968964,179.18112643606912,191.3155721686045,195.55081185938522,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
matched_moving_target,100,D2_model_next_candidate_mean,51,146.98727976244504,19.449466187452295,113.17951194371733,148.6058024743484,167.85497002692787,178.68232622860998,189.31218595811913,193.1883961910549,,,,,,,,,
matched_moving_target,100,D3_original_candidate_max,51,151.99980228160146,20.029008911688607,115.93052567016245,153.65074048529385,177.5272128875712,185.04047681286522,193.95410873008422,200.3265256173747,,,,,,,,,
matched_moving_target,150,D0_observed_only,51,498.76043037559475,110.25922467063756,286.11244888305663,509.5270666694641,636.5859624385834,663.5840762519836,692.2791998910905,716.5742786216736,,,,,,,,,
matched_moving_target,150,D1_model_next_no_max,51,523.7964048462924,113.6511791344347,289.54194770385686,546.2595716550675,647.0617529246836,673.377528268152,769.6917792141472,823.349419023797,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
matched_moving_target,150,D2_model_next_candidate_mean,51,523.2788686223346,112.02827152168057,296.3213084964124,539.606233806068,650.3923100256914,671.6276312654404,753.3428908101957,801.591477988434,,,,,,,,,
matched_moving_target,150,D3_original_candidate_max,51,551.1835436358961,115.57405374914607,308.6057576757619,570.7972450805942,693.2114925392943,700.3806440568235,780.1930108811001,836.8664392583371,,,,,,,,,
matched_moving_target,200,D0_observed_only,51,2575.1516024660127,729.4319572499624,1170.0929604148864,2583.704041466713,3471.453571624756,3633.7835301828386,3891.0427889823914,4055.4894641685487,,,,,,,,,
matched_moving_target,200,D1_model_next_no_max,51,2748.248201257641,762.6398711301719,1212.7289276618062,2885.369082806187,3545.1729641648453,3747.7259368374434,4456.332024955306,4868.554418395226,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
matched_moving_target,200,D2_model_next_candidate_mean,51,2743.5032256761106,750.8479049767305,1251.0633241540195,2835.5499922212707,3613.6474537516137,3730.079214291856,4361.966119555707,4755.004300685321,,,,,,,,,
matched_moving_target,200,D3_original_candidate_max,51,2926.5982030995315,772.4942348781055,1345.4622258536745,3086.8359525494816,3785.720647821861,3896.4529837915707,4507.748357567449,4921.333621518484,,,,,,,,,
frozen_outer_target,0,D0_observed_only,51,2.8408619527993113,0.8831070725965171,0.8732937439991821,2.8078307593493252,3.84371766266659,4.550224291404306,4.789559606247505,4.799047477254757,,,,,,,,,
frozen_outer_target,0,D1_model_next_no_max,51,4.085071325132788,0.8070127709752737,1.1160134800984514,4.196086847612118,4.9533484722028005,5.323614853332842,5.463250829303522,5.4655280942782625,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
frozen_outer_target,0,D2_model_next_candidate_mean,51,4.259386193901346,0.4657757137963217,3.1165932805400325,4.310598360708567,4.767963227345052,5.147471731041039,5.2237254205684085,5.261139015915812,,,,,,,,,
frozen_outer_target,0,D3_original_candidate_max,51,5.413923624218957,0.19553029836618646,4.591095882325242,5.508399488942777,5.541715575124357,5.545372982696981,5.546589251151133,5.546590591905637,,,,,,,,,
frozen_outer_target,50,D0_observed_only,51,61.43788469571693,5.0651094045860665,52.93934147834778,60.94678068161011,67.2408382320404,70.63733458518982,76.29024744987488,80.05708698272706,,,,,,,,,
frozen_outer_target,50,D1_model_next_no_max,51,63.489169262078576,5.204258345603734,53.327620073047896,62.817599984260866,70.0580079403208,72.23162327150392,78.17567696919437,81.64878953032539,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
frozen_outer_target,50,D2_model_next_candidate_mean,51,63.69819097667359,4.941755296401822,54.70810942368349,63.34443549263248,69.79029427530685,71.7540559118354,77.98519464085473,81.37567920699841,,,,,,,,,
frozen_outer_target,50,D3_original_candidate_max,51,65.57362737948934,4.881758963618958,56.07693351384213,65.25893644785282,72.07196948435663,73.96879198855629,78.87127852766794,82.4243664863339,,,,,,,,,
frozen_outer_target,100,D0_observed_only,51,149.0288881249054,24.250855401517814,115.32737380981445,150.7519346046448,169.75152693748473,185.36496118545531,224.22662753105163,233.75136936187744,,,,,,,,,
