variant,epoch,probe_set,count,mean,std,min,p50,p90,p95,p99,max
matched_moving_target,0,training_anchor_states,333,-5.864489946180459e-08,5.212056336787473e-08,-1.8704447768413957e-07,-5.99341376528173e-08,9.261016842287972e-09,2.5709626072512006e-08,5.321717765127695e-08,8.179174670885914e-08
matched_moving_target,0,real_logged_next_states,19584,-4.940140767970724e-08,4.920459588034518e-08,-2.4954698574219947e-07,-5.318993245850834e-08,9.661833377805365e-09,2.8478995606207033e-08,4.5323515429629415e-08,5.897334176552249e-08
matched_moving_target,0,model_generated_next_states,1428,-4.9087415059882766e-08,4.6728276063014733e-08,-2.183004426115076e-07,-4.760831906480689e-08,7.444164840109118e-09,2.782257002564846e-08,4.680729169592723e-08,6.725843348931448e-08
matched_moving_target,50,training_anchor_states,333,49.768224355336784,3.127446151925495,44.48214340209961,49.216312408447266,53.679907989501956,55.23522415161133,61.45875991821289,64.24890899658203
matched_moving_target,50,real_logged_next_states,19584,50.264219515463886,2.9793277532727886,44.56649398803711,49.9487190246582,54.6000904083252,56.423370552062984,59.75141056060791,60.417789459228516
matched_moving_target,50,model_generated_next_states,1428,50.35127465865191,3.1022228630374795,44.51399612426758,49.998348236083984,54.81079406738281,56.03674240112304,60.276894378662114,60.69301223754883
matched_moving_target,100,training_anchor_states,333,136.1990959007103,20.336117106281847,108.96231079101562,135.70799255371094,158.1205841064453,165.57112121582028,223.30872741699227,241.34754943847656
matched_moving_target,100,real_logged_next_states,19584,140.57997932776905,18.66653281378396,104.8847427368164,142.32625579833984,164.02256622314454,173.88967895507807,180.92818054199216,184.4439239501953
matched_moving_target,100,model_generated_next_states,1428,140.66938408282624,19.243414747276518,106.01576232910156,142.06998443603516,163.97518005371094,177.18991241455078,183.03693008422852,194.04534912109375
matched_moving_target,150,training_anchor_states,333,484.3997811898813,119.75034681894462,265.68603515625,488.51055908203125,599.6440673828125,636.20869140625,942.0707128906259,1189.4156494140625
matched_moving_target,150,real_logged_next_states,19584,500.6150212864471,111.32782487355428,276.3524475097656,509.6407470703125,644.6605590820312,668.4126922607422,714.4542034912106,754.959228515625
matched_moving_target,150,model_generated_next_states,1428,501.8906795384169,111.80989650032708,281.3186950683594,517.0438842773438,636.6519775390625,669.2750366210937,752.0727099609375,826.61865234375
matched_moving_target,200,training_anchor_states,333,2523.485133082301,790.4842843778957,1078.3531494140625,2572.22265625,3325.987353515625,3562.458544921873,5280.523593750009,7338.9736328125
matched_moving_target,200,real_logged_next_states,19584,2597.694361250385,735.9501405584894,1148.9512939453125,2623.7296142578125,3554.509033203126,3690.6721191406245,4060.4065576171874,4345.65869140625
matched_moving_target,200,model_generated_next_states,1428,2618.9428714356836,750.0549295342903,1115.3673095703125,2681.90185546875,3508.7439208984374,3731.9005615234373,4568.800908203125,4898.60009765625
frozen_outer_target,0,training_anchor_states,333,-5.864489946180459e-08,5.212056336787473e-08,-1.8704447768413957e-07,-5.99341376528173e-08,9.261016842287972e-09,2.5709626072512006e-08,5.321717765127695e-08,8.179174670885914e-08
frozen_outer_target,0,real_logged_next_states,19584,-4.940140767970724e-08,4.920459588034518e-08,-2.4954698574219947e-07,-5.318993245850834e-08,9.661833377805365e-09,2.8478995606207033e-08,4.5323515429629415e-08,5.897334176552249e-08
frozen_outer_target,0,model_generated_next_states,1428,-4.9087415059882766e-08,4.6728276063014733e-08,-2.183004426115076e-07,-4.760831906480689e-08,7.444164840109118e-09,2.782257002564846e-08,4.680729169592723e-08,6.725843348931448e-08
frozen_outer_target,50,training_anchor_states,333,58.32467214910834,4.814888059154191,50.34486389160156,57.55945587158203,64.4446517944336,66.53881225585937,72.66568817138672,83.7443618774414
frozen_outer_target,50,real_logged_next_states,19584,59.14952874631663,4.672342579030059,49.98627853393555,58.31063270568848,64.88487243652344,68.41127586364745,76.11776054382324,77.17240142822266
frozen_outer_target,50,model_generated_next_states,1428,59.35941472040171,4.803250865531684,50.31381607055664,58.75844764709473,65.7633888244629,67.59529991149901,76.93467231750488,77.65812683105469
frozen_outer_target,100,training_anchor_states,333,141.6810993962102,25.398061099492356,106.67196655273438,136.9251708984375,164.97655334472657,181.1985168457031,249.03691528320314,279.3238220214844
frozen_outer_target,100,real_logged_next_states,19584,147.50835454658744,24.1346854902023,113.11129760742188,149.21773529052734,170.12285461425782,188.825592803955,230.38546142578124,235.447509765625
frozen_outer_target,100,model_generated_next_states,1428,148.21475957555262,24.18005981902515,111.23063659667969,150.19727325439453,170.70380706787108,185.01356964111326,233.24956466674806,236.35223388671875
frozen_outer_target,150,training_anchor_states,333,343.9088632394602,87.83437385758738,218.63868713378906,337.7159118652344,440.3426818847656,483.8371704101562,677.8267919921876,750.3599853515625
frozen_outer_target,150,real_logged_next_states,19584,362.44711866799526,83.91942508242039,218.41973876953125,365.4837951660156,467.8656341552734,495.68805541992185,582.2037420654297,596.3004760742188
frozen_outer_target,150,model_generated_next_states,1428,364.2267884326582,84.97987875753526,211.9630126953125,368.6431884765625,465.39728698730465,491.5952178955078,587.7328698730469,596.6026611328125
frozen_outer_target,200,training_anchor_states,333,872.1633143152918,224.48867100770056,522.9140014648438,846.9193115234375,1127.38525390625,1242.5644287109371,1746.601821289063,1932.3670654296875
frozen_outer_target,200,real_logged_next_states,19584,930.7004844409968,212.27302258222065,541.065185546875,905.8709106445312,1206.3575317382813,1262.8779357910155,1423.9401245117188,1457.9229736328125
frozen_outer_target,200,model_generated_next_states,1428,936.1637135994534,216.4905814947735,535.89208984375,932.0427856445312,1234.090576171875,1277.390509033203,1449.4792785644531,1466.3338623046875
