kappa,lambda_reward,condition,mixture,seed,variant,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret
0.0,0.0,confounded,logger12_balanced,0,current_random_init,0.011128955367826508,0.016406401811588086,0.2459546925566343,0.2459546925566343,0.0007907530984878009,0.0007907530984878009
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,0.01112728205971229,0.016828247960306814,0.255663430420712,0.255663430420712,0.0009703612660630621,0.0009703612660630621
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,0.010933516766170718,0.015626901591625404,0.21359223300970873,0.21359223300970873,0.0007595533876352065,0.0007595533876352065
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,0.016365696126035403,0.022222524171415323,0.18446601941747573,0.18446601941747573,0.0006356304347382741,0.0006356304347382741
0.0,0.0,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.01207970331469208,0.01705908980091262,0.2297734627831715,0.2297734627831715,0.0007816006605589165,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,oracle_compatible_plugin,0.01207970331469208,0.01705908980091262,0.2297734627831715,0.2297734627831715,0.0007816006605589165,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,oracle_initialized_joint,0.011073070578140977,0.01542859801839583,0.21035598705501618,0.21035598705501618,0.000737906775503894,0.000737906775503894
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware_ceiling,0.012995706662819687,0.017797551876535735,0.2297734627831715,0.2297734627831715,0.0007590111860289727,0.0007590111860289727
0.0,0.0,confounded,logger12_balanced,1,current_random_init,0.010103871850349258,0.015717505509017318,0.2686084142394822,0.2686084142394822,0.0010156344462020597,0.0010156344462020597
0.0,0.0,confounded,logger12_balanced,1,collapsed_constrained_reference,0.01671338483399538,0.021786164809916787,0.2168284789644013,0.2168284789644013,0.0007833506103431018,0.0007833506103431018
0.0,0.0,confounded,logger12_balanced,1,true_behavior_fixed,0.03406329219167025,0.041791683500774154,0.35275080906148865,0.35275080906148865,0.0014743963965009766,0.0014743963965009766
0.0,0.0,confounded,logger12_balanced,1,true_behavior_fixed_em,0.012227055552012993,0.017594708266880622,0.284789644012945,0.284789644012945,0.0010618900705136431,0.0010618900705136431
0.0,0.0,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.011092264121797011,0.016339158523787766,0.21359223300970873,0.21359223300970873,0.000933752250739862,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,oracle_compatible_plugin,0.011092264121797011,0.016339158523787766,0.21359223300970873,0.21359223300970873,0.000933752250739862,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,oracle_initialized_joint,0.011484014038992352,0.017044966643303072,0.23300970873786409,0.23300970873786409,0.0007777003695617823,0.0007777003695617823
0.0,0.0,confounded,logger12_balanced,1,oracle_u_aware_ceiling,0.009983043633998339,0.015005522808887345,0.2621359223300971,0.2621359223300971,0.0007915888598979124,0.0007915888598979124
