kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,do_mae,rank_error,mean_regret
0.0,0.0,confounded,logger12_balanced,0,0.0,-1.5874580997888421,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.1,-1.5875646422738519,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.25,-1.5877017444226385,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.5,-1.587868877757039,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.75,-1.587956683106931,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,1.0,-1.5879598363492928,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,1,0.0,-1.5875180190789269,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.1,-1.5877905968239017,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.25,-1.5881711216573111,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.5,-1.588731391692222,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.75,-1.589200270425911,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,1.0,-1.5895765397988166,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,2,0.0,-1.6199633236348763,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.1,-1.6200288749907665,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.25,-1.620097138027194,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.5,-1.6201300030660988,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.75,-1.6200583508448512,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,1.0,-1.619874613056074,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,3,0.0,-1.5607539411829505,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.1,-1.5606384557520263,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.25,-1.5604438393118012,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.5,-1.5600597397580556,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.75,-1.559594301453546,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,1.0,-1.5590347405608886,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,4,0.0,-1.6139939550927545,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.1,-1.6140724553046462,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.25,-1.614169228489155,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.5,-1.614275154990312,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.75,-1.6143119823397418,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,1.0,-1.6142787181014542,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.002,confounded,logger12_balanced,0,0.0,-1.5816639903491454,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.1,-1.5818046193244282,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.25,-1.5819714249861256,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.5,-1.5821280788836325,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.75,-1.5821238022737203,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,1.0,-1.5819413743061976,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,1,0.0,-1.6094752398270713,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,0.1,-1.6096463994454238,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,0.25,-1.609883887465812,0.011186158180301251,0.23300970873786409,0.0008840442066563246
