kappa,lambda_reward,condition,mixture,seed,variant,update,train_observational_nll,validation_observational_nll,prior_p_z1,reward_mode_separation,behavior_separation,posterior_entropy,posterior_effective_usage,latent_collapse,do_mae,rank_error,mean_regret,posterior_u_accuracy,em_iteration
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,0,2.4910762310028076,2.6772000789642334,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.498109778347363,0.4886731391585761,0.004336876464571611,0.5,
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,300,1.543882131576538,1.54464852809906,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.020448749259565382,0.46601941747572817,0.0024535025209965226,0.5,
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,750,0.9599772691726685,0.9617023468017578,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.014561493154872733,0.3559870550161812,0.0016498677185159398,0.5,
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,1500,0.12156590074300766,0.1287536323070526,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.014840828679992446,0.37540453074433655,0.0018292844744956414,0.5,
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,2250,-0.6410053372383118,-0.6137217879295349,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.014548258323770227,0.2459546925566343,0.0009227670188451044,0.5,
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,3000,-1.345535397529602,-1.2330299615859985,0.5,0.0,0.0,0.6931471805599453,2.0,True,0.01112728205971229,0.255663430420712,0.0009703612660630621,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,0,2.056100845336914,2.2671380043029785,0.5,0.01341817589864326,0.3999999761581421,0.5125139355659485,1.6694828963345385,False,0.5014706954657643,0.47896440129449835,0.003939265289924905,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,300,1.2318320274353027,1.2323582172393799,0.5,0.013729112382354433,0.3999999761581421,0.5129770636558533,1.6702562598288024,False,0.01612372314418323,0.34951456310679613,0.0016900491125642243,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,750,0.7796077728271484,0.780988335609436,0.5,0.009286150518344378,0.3999999761581421,0.5129810571670532,1.6702629300292018,False,0.016862362114747054,0.27184466019417475,0.0012597066210248908,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,1500,0.034959446638822556,0.043851692229509354,0.5,0.007803174433887983,0.3999999761581421,0.5129405856132507,1.670195333261047,False,0.015414374495119804,0.24271844660194175,0.0009707684426326717,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,2250,-0.698855996131897,-0.6713213324546814,0.5,0.006629101821756467,0.3999999761581421,0.5127591490745544,1.6698923262899328,False,0.01214184602454391,0.2168284789644013,0.0008355833850343105,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,3000,-1.3934326171875,-1.290074348449707,0.5,0.005123111536214428,0.3999999761581421,0.5121843218803406,1.6689327026046912,False,0.010933516766170718,0.21359223300970873,0.0007595533876352065,0.5,
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,0,2.056100845336914,2.2671380043029785,0.5,0.01341817589864326,0.3999999761581421,0.5125139355659485,1.6694828963345385,False,0.5014706954657643,0.47896440129449835,0.003939265289924905,0.5,0
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,100,1.4378260374069214,1.438094139099121,0.5,0.02030086108799645,0.3999999761581421,0.5129841566085815,1.6702681069195129,False,0.027674058123700395,0.4919093851132686,0.003189311513923773,0.5,1
