kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,train_fitted_log_scale,do_mae,rank_error,mean_regret
0.0,0.0,confounded,logger12_balanced,0,0.0,-0.9621252762981168,-4.598704120140391,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.1,-0.9567391766523148,-4.601378209305444,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.25,-0.9525424567540551,-4.605818434615325,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.5,-0.9522716686692162,-4.613484728899842,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,0.75,-0.956426111417719,-4.620801930750596,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,0,1.0,-0.9639434875717728,-4.627141963199232,0.012079703414572008,0.2297734627831715,0.0007816006605589165
0.0,0.0,confounded,logger12_balanced,1,0.0,-1.200872638761984,-4.523430374306544,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.1,-1.196326505687107,-4.527135557832061,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.25,-1.1896872173513657,-4.53412336384204,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.5,-1.1789478671253923,-4.547686963173565,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,0.75,-1.1690118254099124,-4.562009734641203,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,1,1.0,-1.160158024891236,-4.57620118373827,0.011092265662498085,0.21359223300970873,0.000933752250739862
0.0,0.0,confounded,logger12_balanced,2,0.0,-1.1302167168934705,-4.708395732125141,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.1,-1.1250378643463652,-4.711648723334291,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.25,-1.1256135818996913,-4.717206469726205,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.5,-1.135494424877546,-4.727323807436115,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,0.75,-1.1482259130973407,-4.737524283160512,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,1.0,-1.1625834374556732,-4.746509676822162,0.01248151222919725,0.2459546925566343,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,3,0.0,-1.2146716189988005,-4.566255598147844,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.1,-1.2115762380907855,-4.56755146809119,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.25,-1.2118106111810445,-4.570049407046888,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.5,-1.2179486830532236,-4.575306653337225,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,0.75,-1.2268826332463174,-4.581415483784236,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,1.0,-1.2372471609095435,-4.587583350177642,0.012055514013996042,0.22653721682847897,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,4,0.0,-1.4031368240978717,-4.4631231108216785,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.1,-1.3991872237551999,-4.465799770268687,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.25,-1.3940764294125811,-4.470350940446888,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.5,-1.3882642124506022,-4.4785649653744395,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,0.75,-1.3843784181780818,-4.487171192335484,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,1.0,-1.3810205120696737,-4.495702509206858,0.012740207321043879,0.313915857605178,0.0012650129621755728
0.0,0.002,confounded,logger12_balanced,0,0.0,-1.4624134930250923,-4.301667562787152,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.1,-1.4586213813053994,-4.304960338081038,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.25,-1.4544746763261485,-4.310017926644576,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.5,-1.4514600512112303,-4.3182021737589675,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,0.75,-1.4510691435267504,-4.325242318174541,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,1.0,-1.4517771981607337,-4.330037385365149,0.01430308207524257,0.18770226537216828,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,1,0.0,-1.1904744497019062,-4.6534651555193385,0.011186158180301251,0.23300970873786409,0.0008840442066563246
