kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.0,confounded,logger12_balanced,4,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed,False,0.006603134303904073,0.3999999761581421,0.5,0.0,0.5127823352813721,1.669931045207644,0.5
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed_em,False,0.005921864702462191,0.3999999761581421,0.5,0.0,0.5116198658943176,1.6679909293702113,0.5
0.0,0.0,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,False,0.00541464215138766,0.048675667494535446,0.5,0.0,0.6886776089668274,1.9910808041542356,0.5
0.0,0.0,confounded,logger12_balanced,4,oracle_compatible_plugin,False,0.00541464215138766,0.3999999761581421,0.5,0.0,0.51209557056427,1.6687845892036288,0.5
0.0,0.0,confounded,logger12_balanced,4,oracle_initialized_joint,False,0.005322633611365789,0.41403067111968994,0.4956691563129425,0.004330843687057495,0.4948767423629761,1.6402960475816337,0.5
0.0,0.0,confounded,logger12_balanced,4,oracle_u_aware_ceiling,False,0.005531561161029369,,0.5,,0.0,1.0,1.0
0.0,0.002,confounded,logger12_balanced,0,current_random_init,True,0.006646023660651198,0.17990657687187195,0.9932628273963928,0.4932628273963928,0.03495213761925697,1.0355701427609996,0.5
0.0,0.002,confounded,logger12_balanced,0,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed,False,0.005719261152975094,0.3999999761581421,0.5,0.0,0.5103734731674194,1.6659132526768434,0.501294498381877
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed_em,False,0.00524973557160625,0.3999999761581421,0.5,0.0,0.5120591521263123,1.6687238157822453,0.5003236245954693
0.0,0.002,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,False,0.008479530526513592,0.0937969908118248,0.5,0.0,0.6829239726066589,1.9796577428266362,0.5119741100323625
0.0,0.002,confounded,logger12_balanced,0,oracle_compatible_plugin,False,0.008479530526513592,0.3999999761581421,0.5,0.0,0.512091338634491,1.668777527039374,0.5084142394822007
0.0,0.002,confounded,logger12_balanced,0,oracle_initialized_joint,False,0.004496948414202596,0.41258272528648376,0.504986584186554,0.004986584186553955,0.4984710216522217,1.6462023377633908,0.5003236245954693
0.0,0.002,confounded,logger12_balanced,0,oracle_u_aware_ceiling,False,0.0076411144902887255,,0.5,,0.0,1.0,1.0
0.0,0.002,confounded,logger12_balanced,1,current_random_init,True,0.007340186237406111,0.1848076581954956,0.9933170080184937,0.49331700801849365,0.034970011562108994,1.0355886526479723,0.5
0.0,0.002,confounded,logger12_balanced,1,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed,False,0.006478900841098806,0.3999999761581421,0.5,0.0,0.5111467242240906,1.6672019200272838,0.5016181229773463
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed_em,False,0.006468148760411707,0.3999999761581421,0.5,0.0,0.5099581480026245,1.6652215006415991,0.5003236245954693
