kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy,behavior_table_mae,label_permutation,posterior_label_flipped
0.0,0.0,confounded,logger12_balanced,0,current_random_init,-1.3333309888839722,-1.2113115787506104,-1.2504926919937134,0.011161696227406434,0.011128955367826508,0.016406401811588086,0.2459546925566343,0.2459546925566343,0.0007907530984878009,0.0007907530984878009,True,0.0069014071491835,0.17941603064537048,0.9927771091461182,0.49277710914611816,0.0372672937810421,1.0379704268020506,0.5,0.19418884418490862,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.345535397529602,-1.2330299615859985,-1.2671676874160767,0.011169773693078727,0.01112728205971229,0.016828247960306814,0.255663430420712,0.255663430420712,0.0009703612660630621,0.0009703612660630621,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15292490385472773,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,-1.3934326171875,-1.290074348449707,-1.3257205486297607,0.010951373802103313,0.010933516766170718,0.015626901591625404,0.21359223300970873,0.21359223300970873,0.0007595533876352065,0.0007595533876352065,False,0.005165862232851255,0.3999999761581421,0.5,0.0,0.5120446681976318,1.6686996462805452,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3095686435699463,-1.1885883808135986,-1.2289528846740723,0.01638139405272904,0.016365696126035403,0.022222524171415323,0.18446601941747573,0.18446601941747573,0.0006356304347382741,0.0006356304347382741,False,0.005678202771892444,0.3999999761581421,0.5,0.0,0.5119826793670654,1.6685962087469246,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.3531525135040283,-1.2381236553192139,-1.2837287187576294,0.012154207908703295,0.01207970331469208,0.01705908980091262,0.2297734627831715,0.2297734627831715,0.0007816006605589165,0.0007816006605589165,False,0.005206967017653538,0.040693074464797974,0.5,0.0,0.6907485723495483,1.9952085323033222,0.5,0.11976897517884472,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.354658603668213,-1.2385166883468628,-1.2846789360046387,0.012166107198949378,0.01207970331469208,0.01705908980091262,0.2297734627831715,0.2297734627831715,0.0007816006605589165,0.0007816006605589165,False,0.005206967017653538,0.3999999761581421,0.5,0.0,0.5120177865028381,1.6686547894088686,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,oracle_initialized_joint,-1.965718388557434,-1.554341435432434,-1.7356456518173218,0.011110395993935122,0.011073070578140977,0.01542859801839583,0.21035598705501618,0.21035598705501618,0.000737906775503894,0.000737906775503894,False,0.006121481992940106,0.4111846387386322,0.5058015584945679,0.005801558494567871,0.49598655104637146,1.6421174729084504,0.5,0.0037282058766593537,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.3952048262139751,-1.275181077470558,-1.319582950172497,0.0129671289621429,0.012995706662819687,0.017797551876535735,0.2297734627831715,0.2297734627831715,0.0007590111860289727,0.0007590111860289727,False,0.005179671102657374,,0.5,,0.0,1.0,1.0,,,False
0.0,0.0,confounded,logger12_balanced,1,current_random_init,-1.4084957838058472,-1.2970881462097168,-1.3279367685317993,0.010182503927850186,0.010103871850349258,0.015717505509017318,0.2686084142394822,0.2686084142394822,0.0010156344462020597,0.0010156344462020597,True,0.007638922742322102,0.1847733110189438,0.9933109283447266,0.49331092834472656,0.03529488295316696,1.0359251404287892,0.5,0.1953394964337349,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.2699077129364014,-1.1396150588989258,-1.2035306692123413,0.016774230477954125,0.01671338483399538,0.021786164809916787,0.2168284789644013,0.2168284789644013,0.0007833506103431018,0.0007833506103431018,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15327228903770446,"(0, 1)",False
