kappa,lambda_reward,variant,metric,n_seeds,mean,sd,min,max,ci95_low,ci95_high,inferential_unit
0.0,0.0,collapsed_constrained_reference,behavior_table_mae,5,0.15315799928373758,0.0001480246884190005,0.15292490385472773,0.15329471963147323,0.15297420235728237,0.15334179621019278,model_seed
0.0,0.0,collapsed_constrained_reference,do_mae,5,0.0134238286720954,0.002073468505947511,0.01112728205971229,0.01671338483399538,0.010849277476851025,0.015998379867339776,model_seed
0.0,0.0,collapsed_constrained_reference,latent_collapse,5,1.0,0.0,1.0,1.0,1.0,1.0,model_seed
0.0,0.0,collapsed_constrained_reference,mean_regret,5,0.0009199869892830006,0.0001778004168448944,0.0007117240836681404,0.0011634237026874128,0.0006992186128210727,0.0011407553657449285,model_seed
0.0,0.0,collapsed_constrained_reference,rank_error,5,0.24789644012944984,0.03974131115342072,0.19741100323624594,0.28802588996763756,0.19855108482883352,0.2972417954300661,model_seed
0.0,0.0,collapsed_constrained_reference,reward_mode_separation,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,collapsed_constrained_reference,validation_nll,5,-1.2093580484390258,0.03923154412422843,-1.2330299615859985,-1.1396150588989258,-1.2580704443720228,-1.160645652506029,model_seed
0.0,0.0,current_random_init,behavior_table_mae,5,0.19302077194054923,0.0026514676259298243,0.18851723602662485,0.1953394964337349,0.18972854004702935,0.1963130038340691,model_seed
0.0,0.0,current_random_init,do_mae,5,0.01140361446004735,0.0010463636953911904,0.010103871850349258,0.01249387188910031,0.010104382330452657,0.012702846589642044,model_seed
0.0,0.0,current_random_init,latent_collapse,5,1.0,0.0,1.0,1.0,1.0,1.0,model_seed
0.0,0.0,current_random_init,mean_regret,5,0.0008339244846357422,0.00012110078405623726,0.0006843114395387468,0.0010156344462020597,0.0006835580009188637,0.0009842909683526208,model_seed
0.0,0.0,current_random_init,rank_error,5,0.2401294498381877,0.02500510520657845,0.20064724919093851,0.2686084142394822,0.20908151093188168,0.2711773887444937,model_seed
0.0,0.0,current_random_init,reward_mode_separation,5,0.007055411964302816,0.0004626698983988417,0.006636216704951073,0.007638922742322102,0.00648093140840838,0.007629892520197252,model_seed
0.0,0.0,current_random_init,validation_nll,5,-1.2648476839065552,0.031942046450803147,-1.2970881462097168,-1.2113115787506104,-1.3045089730134698,-1.2251863947996406,model_seed
0.0,0.0,oracle_compatible_plugin,behavior_table_mae,5,6.623182749422238e-09,0.0,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,model_seed
0.0,0.0,oracle_compatible_plugin,do_mae,5,0.012089840611423895,0.0006270619789051685,0.011092264121797011,0.012740209270473484,0.011311240327574938,0.012868440895272852,model_seed
0.0,0.0,oracle_compatible_plugin,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,oracle_compatible_plugin,mean_regret,5,0.0009704015069221429,0.00018350400891739137,0.0007816006605589165,0.0012650129621755728,0.0007425511855233551,0.0011982518283209307,model_seed
0.0,0.0,oracle_compatible_plugin,rank_error,5,0.24595469255663427,0.039701760991538174,0.21359223300970873,0.313915857605178,0.19665844526815066,0.2952509398451179,model_seed
0.0,0.0,oracle_compatible_plugin,reward_mode_separation,5,0.005681806507838175,0.00047859595266397744,0.005206967017653538,0.0063137624500139294,0.00508755114372928,0.00627606187194707,model_seed
