kappa,lambda_reward,condition,mixture,seed,variant,behavior_table_mae,label_permutation,posterior_u_accuracy,posterior_label_flipped
0.0,0.002,confounded,logger12_balanced,1,current_random_init,0.19534873380843137,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,1,collapsed_constrained_reference,0.15327228903770446,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5016181229773463,True
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5003236245954693,False
0.0,0.002,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.11195972363198435,"(0, 1)",0.510032362459547,False
0.0,0.002,confounded,logger12_balanced,1,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5055016181229773,False
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,0.003808179994865429,"(0, 1)",0.501294498381877,True
0.0,0.002,confounded,logger12_balanced,1,oracle_u_aware_ceiling,,,1.0,False
0.0,0.002,confounded,logger12_balanced,2,current_random_init,0.18880744421233736,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,2,collapsed_constrained_reference,0.15317546812196572,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5009708737864078,True
0.0,0.002,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.11474364135044807,"(0, 1)",0.5051779935275081,False
0.0,0.002,confounded,logger12_balanced,2,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5058252427184466,False
0.0,0.002,confounded,logger12_balanced,2,oracle_initialized_joint,0.007319058975025232,"(0, 1)",0.5080906148867314,False
0.0,0.002,confounded,logger12_balanced,2,oracle_u_aware_ceiling,,,1.0,False
0.0,0.002,confounded,logger12_balanced,3,current_random_init,0.19375292768494953,"(1, 0)",0.5,False
0.0,0.002,confounded,logger12_balanced,3,collapsed_constrained_reference,0.15312261577281686,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5009708737864078,False
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5022653721682848,True
0.0,0.002,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.13333333333377778,"(0, 1)",0.5414239482200647,False
0.0,0.002,confounded,logger12_balanced,3,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5097087378640777,False
0.0,0.002,confounded,logger12_balanced,3,oracle_initialized_joint,0.003129561659804838,"(0, 1)",0.5035598705501618,False
0.0,0.002,confounded,logger12_balanced,3,oracle_u_aware_ceiling,,,1.0,False
0.0,0.002,confounded,logger12_balanced,4,current_random_init,0.19297358960741098,"(1, 0)",0.5,False
0.0,0.002,confounded,logger12_balanced,4,collapsed_constrained_reference,0.15329471963147323,"(0, 1)",0.5,False
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5042071197411003,False
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.501294498381877,False
0.0,0.002,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.114216112097548,"(0, 1)",0.5171521035598705,False
0.0,0.002,confounded,logger12_balanced,4,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5093851132686085,False
0.0,0.002,confounded,logger12_balanced,4,oracle_initialized_joint,0.004481053104443595,"(0, 1)",0.5048543689320388,False
0.0,0.002,confounded,logger12_balanced,4,oracle_u_aware_ceiling,,,1.0,False
0.0,0.005,confounded,logger12_balanced,0,current_random_init,0.19432165430237852,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,0,collapsed_constrained_reference,0.15292490385472773,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5058252427184466,True
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5042071197411003,True
0.0,0.005,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.08091970582846891,"(0, 1)",0.5297734627831715,False
0.0,0.005,confounded,logger12_balanced,0,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.529126213592233,False
0.0,0.005,confounded,logger12_balanced,0,oracle_initialized_joint,0.0030067429778751105,"(0, 1)",0.5084142394822007,False
0.0,0.005,confounded,logger12_balanced,0,oracle_u_aware_ceiling,,,1.0,False
0.0,0.005,confounded,logger12_balanced,1,current_random_init,0.19537247798095148,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,1,collapsed_constrained_reference,0.15327228903770446,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5071197411003237,False
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5119741100323625,False
0.0,0.005,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.08200493587431762,"(0, 1)",0.543042071197411,False
0.0,0.005,confounded,logger12_balanced,1,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5411003236245955,False
0.0,0.005,confounded,logger12_balanced,1,oracle_initialized_joint,0.0038642646542294983,"(0, 1)",0.5200647249190938,False
0.0,0.005,confounded,logger12_balanced,1,oracle_u_aware_ceiling,,,1.0,False
0.0,0.005,confounded,logger12_balanced,2,current_random_init,0.18792730940298905,"(1, 0)",0.5,False
0.0,0.005,confounded,logger12_balanced,2,collapsed_constrained_reference,0.15317546812196572,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,2,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5058252427184466,False
0.0,0.005,confounded,logger12_balanced,2,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5048543689320388,False
0.0,0.005,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.07709600826148179,"(0, 1)",0.529126213592233,False
0.0,0.005,confounded,logger12_balanced,2,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5271844660194175,False
0.0,0.005,confounded,logger12_balanced,2,oracle_initialized_joint,0.0030013251640183163,"(0, 1)",0.5197411003236246,False
0.0,0.005,confounded,logger12_balanced,2,oracle_u_aware_ceiling,,,1.0,False
0.0,0.005,confounded,logger12_balanced,3,current_random_init,0.19377765781763528,"(1, 0)",0.5,False
0.0,0.005,confounded,logger12_balanced,3,collapsed_constrained_reference,0.15312261577281686,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5061488673139158,False
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5074433656957928,False
0.0,0.005,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.07828460600684778,"(0, 1)",0.5320388349514563,False
0.0,0.005,confounded,logger12_balanced,3,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5288025889967638,False
0.0,0.005,confounded,logger12_balanced,3,oracle_initialized_joint,0.0042927231230103936,"(0, 1)",0.5281553398058253,False
0.0,0.005,confounded,logger12_balanced,3,oracle_u_aware_ceiling,,,1.0,False
0.0,0.005,confounded,logger12_balanced,4,current_random_init,0.19293714416109856,"(1, 0)",0.5,False
0.0,0.005,confounded,logger12_balanced,4,collapsed_constrained_reference,0.15329471963147323,"(0, 1)",0.5,False
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.511326860841424,False
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5009708737864078,False
0.0,0.005,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.0980125347777647,"(0, 1)",0.5362459546925566,False
0.0,0.005,confounded,logger12_balanced,4,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.517799352750809,False
0.0,0.005,confounded,logger12_balanced,4,oracle_initialized_joint,0.0016543948820357975,"(0, 1)",0.517799352750809,False
0.0,0.005,confounded,logger12_balanced,4,oracle_u_aware_ceiling,,,1.0,False
0.0,0.01,confounded,logger12_balanced,0,current_random_init,0.19416556908852525,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,0,collapsed_constrained_reference,0.15292490385472773,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5262135922330097,False
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5132686084142395,False
0.0,0.01,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.02528567463199112,"(0, 1)",0.5533980582524272,False
0.0,0.01,confounded,logger12_balanced,0,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5550161812297735,False
0.0,0.01,confounded,logger12_balanced,0,oracle_initialized_joint,0.002723343174104034,"(0, 1)",0.5355987055016181,False
0.0,0.01,confounded,logger12_balanced,0,oracle_u_aware_ceiling,,,1.0,False
0.0,0.01,confounded,logger12_balanced,1,current_random_init,0.19576808456331493,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,1,collapsed_constrained_reference,0.15327228903770446,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.511326860841424,False
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5129449838187702,False
0.0,0.01,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.022696542574709936,"(0, 1)",0.5559870550161812,False
0.0,0.01,confounded,logger12_balanced,1,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5563106796116505,False
0.0,0.01,confounded,logger12_balanced,1,oracle_initialized_joint,0.00598597808060343,"(0, 1)",0.5326860841423948,False
0.0,0.01,confounded,logger12_balanced,1,oracle_u_aware_ceiling,,,1.0,False
0.0,0.01,confounded,logger12_balanced,2,current_random_init,0.18767921489973866,"(1, 0)",0.5,False
0.0,0.01,confounded,logger12_balanced,2,collapsed_constrained_reference,0.15317546812196572,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5132686084142395,False
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5313915857605178,False
0.0,0.01,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.022220170498302563,"(0, 1)",0.5508090614886731,False
0.0,0.01,confounded,logger12_balanced,2,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5504854368932038,False
0.0,0.01,confounded,logger12_balanced,2,oracle_initialized_joint,0.0022839232455801398,"(0, 1)",0.5119741100323625,False
0.0,0.01,confounded,logger12_balanced,2,oracle_u_aware_ceiling,,,1.0,False
0.0,0.01,confounded,logger12_balanced,3,current_random_init,0.1938305810507801,"(1, 0)",0.5,False
0.0,0.01,confounded,logger12_balanced,3,collapsed_constrained_reference,0.15312261577281686,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5236245954692557,False
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5048543689320388,False
0.0,0.01,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.02345607115202686,"(0, 1)",0.5488673139158576,False
0.0,0.01,confounded,logger12_balanced,3,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.5508090614886731,False
0.0,0.01,confounded,logger12_balanced,3,oracle_initialized_joint,0.005885063691708399,"(0, 1)",0.5446601941747573,False
0.0,0.01,confounded,logger12_balanced,3,oracle_u_aware_ceiling,,,1.0,False
0.0,0.01,confounded,logger12_balanced,4,current_random_init,0.19345695471598046,"(1, 0)",0.5,False
0.0,0.01,confounded,logger12_balanced,4,collapsed_constrained_reference,0.15329471963147323,"(0, 1)",0.5,False
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5242718446601942,False
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5203883495145631,False
