variant,outer_iteration,epoch,optimizer_updates,training_loss,validation_loss,gradient_norm_mean,prediction_count,prediction_mean,prediction_std,prediction_min,prediction_max,prediction_p99,target_count,target_mean,target_std,target_min,target_max,target_p99,cached_target_blake2b_128,wall_seconds_cumulative,gradient_norm_max
full_aamas_frozen,0,0,0,28.789627509888923,29.18557672889699,10.675736228126448,127872,-5.8644899247073956e-08,5.2120563877682587e-08,-1.8704447768413957e-07,8.179172539257706e-08,5.68006868206794e-08,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,0.0,
full_aamas_frozen,1,1,125,27.63597784423828,21.94881577214771,14.159921255621446,127872,0.7645642174061973,0.16300666530640678,0.4225059747695923,1.2212224006652832,1.146200180053711,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,25.652764200931415,36.09515731138313
full_aamas_frozen,1,2,250,4.617475463390351,0.522783306682469,21.361066200530647,127872,5.273392308288971,0.6553812625444239,3.298480987548828,6.995294094085693,6.818758487701416,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,25.975441535003483,57.81428820529654
full_aamas_frozen,1,3,375,0.41815790510177614,0.3827215749495485,1.4962959887711091,127872,5.300999441192494,0.5090059065361678,3.7338054180145264,6.652886867523193,6.533019065856934,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,26.303528344957158,3.5439792332387694
full_aamas_frozen,1,4,500,0.2940303649902344,0.3189373988088059,1.0573191433269793,127872,5.3164717672174575,0.43847070180527753,3.9352686405181885,6.420163154602051,6.329375743865967,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,26.646948023000732,2.5509121134068495
full_aamas_frozen,1,5,625,0.23196381664276122,0.2760676797437634,0.8627646006780864,127872,5.324926220268399,0.3865693512264225,4.096097946166992,6.278042793273926,6.197404861450195,127872,5.356900201049982,0.3053639170565646,3.2493410879771267,5.5959422719134455,5.5465863153035535,06fb5ce17a7318df557bcc12f9a8dbca,26.974924735957757,2.0715243097928306
full_aamas_frozen,2,6,750,2.250661061167717,0.3322228745254033,36.601790443769694,127872,10.823137357622176,0.7830623781342545,8.23418140411377,12.936074256896973,12.620800971984863,127872,10.846170265859273,0.5590295166080984,8.146019760352322,12.621781359920261,12.064362565666034,fffb80c06e08be2f03b2f7fa82b26734,40.60700661398005,213.15530888469894
full_aamas_frozen,2,7,875,0.22853488981723785,0.2751973019481745,1.4579766733352484,127872,10.833576030872605,0.728500645952071,8.44649600982666,12.728175163269043,12.606887817382812,127872,10.846170265859273,0.5590295166080984,8.146019760352322,12.621781359920261,12.064362565666034,fffb80c06e08be2f03b2f7fa82b26734,41.01690048491582,3.0756582462676523
full_aamas_frozen,2,8,1000,0.18950770473480225,0.23726723783154105,1.2524798406088777,127872,10.836310535453043,0.6896882155791075,8.617690086364746,12.69199275970459,12.461549758911133,127872,10.846170265859273,0.5590295166080984,8.146019760352322,12.621781359920261,12.064362565666034,fffb80c06e08be2f03b2f7fa82b26734,41.437461692956276,2.540401367156497
full_aamas_frozen,2,9,1125,0.1648999766111374,0.20993126257642744,1.122261173604947,127872,10.837553759945465,0.6594008738082173,8.759218215942383,12.662060737609863,12.33012580871582,127872,10.846170265859273,0.5590295166080984,8.146019760352322,12.621781359920261,12.064362565666034,fffb80c06e08be2f03b2f7fa82b26734,41.88817177794408,2.449146276261537
